I_BG,I_S,I_D,V_BG,V_S,V_D
-1.164e-12,-2.762e-12,6.7981e-12,-2.0,0.0,0.1
-1.178e-12,-3.594e-12,6.7242e-12,-1.95,0.0,0.1
-7.52e-13,-2.082e-12,6.7163e-12,-1.9,0.0,0.1
-1.216e-12,-2.596e-12,6.674e-12,-1.85,0.0,0.1
-1.148e-12,-2.91e-12,6.7743e-12,-1.8,0.0,0.1
-3.42e-13,-2.46e-12,6.7043e-12,-1.75,0.0,0.1
-1.14e-12,-2.988e-12,6.6965e-12,-1.7,0.0,0.1
-1.26e-12,-2.51e-12,6.7245e-12,-1.65,0.0,0.1
-9.02e-13,-3.028e-12,6.7269e-12,-1.6,0.0,0.1
-1.26e-12,-3.452e-12,6.7324e-12,-1.55,0.0,0.1
-7.3e-13,-2.544e-12,6.6785e-12,-1.5,0.0,0.1
-5.38e-13,-2.56e-12,6.6649e-12,-1.45,0.0,0.1
-1.418e-12,-2.926e-12,6.6614e-12,-1.4,0.0,0.1
-6.62e-13,-3.462e-12,6.7193e-12,-1.35,0.0,0.1
-1.098e-12,-2.44e-12,6.7083e-12,-1.3,0.0,0.1
-9.6e-13,-1.638e-12,6.7201e-12,-1.25,0.0,0.1
-1.022e-12,-2.54e-12,6.6129e-12,-1.2,0.0,0.1
-1.526e-12,-3.1e-12,6.6208e-12,-1.15,0.0,0.1
-1.218e-12,-2.452e-12,6.7268e-12,-1.1,0.0,0.1
-1.096e-12,-3.038e-12,6.6642e-12,-1.05,0.0,0.1
-1.214e-12,-2.656e-12,6.6796e-12,-1.0,0.0,0.1
-6.2e-13,-1.792e-12,6.6627e-12,-0.95,0.0,0.1
-1.33e-12,-2.62e-12,6.6615e-12,-0.9,0.0,0.1
-1.368e-12,-2.726e-12,6.7085e-12,-0.85,0.0,0.1
-8.54e-13,-3.04e-12,6.7567e-12,-0.8,0.0,0.1
-1.164e-12,-2.552e-12,6.7283e-12,-0.75,0.0,0.1
-7.4e-13,-2.944e-12,6.6393e-12,-0.7,0.0,0.1
-7.7e-13,-1.962e-12,6.7523e-12,-0.65,0.0,0.1
-1.306e-12,-3.698e-12,6.6546e-12,-0.6,0.0,0.1
-1.16e-12,-2.356e-12,6.7448e-12,-0.55,0.0,0.1
-1.59e-12,-3.29e-12,6.7415e-12,-0.5,0.0,0.1
-1.35e-12,-2.708e-12,6.6807e-12,-0.45,0.0,0.1
-8.88e-13,-3.474e-12,6.6473e-12,-0.4,0.0,0.1
-1.13e-12,-2.434e-12,6.6659e-12,-0.35,0.0,0.1
-9e-13,-1.938e-12,6.7473e-12,-0.3,0.0,0.1
-1.428e-12,-2.956e-12,6.7748e-12,-0.25,0.0,0.1
-5.98e-13,-2.802e-12,6.7656e-12,-0.2,0.0,0.1
-2.78e-13,-3.466e-12,6.8301e-12,-0.15,0.0,0.1
-5.76e-13,-3.536e-12,7.0799e-12,-0.1,0.0,0.1
-1.424e-12,-2.922e-12,7.3162e-12,-0.05,0.0,0.1
-9.82e-13,-4.108e-12,7.7848e-12,0.0,0.0,0.1
-3.4e-13,-4.718e-12,8.7306e-12,0.05,0.0,0.1
-7.26e-13,-6.332e-12,1.0497e-11,0.1,0.0,0.1
-1.086e-12,-9.124e-12,1.33181e-11,0.15,0.0,0.1
-5.82e-13,-1.446e-11,1.80452e-11,0.2,0.0,0.1
-1.25e-12,-2.1686e-11,2.54112e-11,0.25,0.0,0.1
-6.7e-13,-3.4004e-11,3.67197e-11,0.3,0.0,0.1
-4.08e-13,-5.2634e-11,5.37635e-11,0.35,0.0,0.1
-1.468e-12,-7.4966e-11,7.70789e-11,0.4,0.0,0.1
-5.64e-13,-1.13586e-10,1.096996e-10,0.45,0.0,0.1
-1.482e-12,-1.57952e-10,1.5014e-10,0.5,0.0,0.1
-1.058e-12,-2.17004e-10,2.21396e-10,0.55,0.0,0.1
-1.218e-12,-3.07074e-10,3.1063e-10,0.6,0.0,0.1
-8.64e-13,-4.21346e-10,4.1821e-10,0.65,0.0,0.1
-1.008e-12,-5.4625e-10,5.5348e-10,0.7,0.0,0.1
-1.45e-12,-7.15994e-10,7.12432e-10,0.75,0.0,0.1
-8.62e-13,-9.13516e-10,9.1421e-10,0.8,0.0,0.1
-3.94e-13,-1.09202e-09,1.0814e-09,0.85,0.0,0.1
-1.326e-12,-1.37488e-09,1.36936e-09,0.9,0.0,0.1
-7.76e-13,-1.70254e-09,1.69698e-09,0.95,0.0,0.1
-9.18e-13,-2.08948e-09,2.07496e-09,1.0,0.0,0.1
-6.24e-13,-2.52598e-09,2.5102e-09,1.05,0.0,0.1
-4.02e-13,-2.9652e-09,2.94852e-09,1.1,0.0,0.1
-9.24e-13,-3.49734e-09,3.52254e-09,1.15,0.0,0.1
-6.96e-13,-4.1045e-09,4.1017e-09,1.2,0.0,0.1
-6e-13,-4.7682e-09,4.76996e-09,1.25,0.0,0.1
-1.04e-12,-5.5012e-09,5.4976e-09,1.3,0.0,0.1
-9.82e-13,-6.272e-09,6.26698e-09,1.35,0.0,0.1
-9.12e-13,-7.10996e-09,7.07216e-09,1.4,0.0,0.1
-1.088e-12,-8.05098e-09,8.06766e-09,1.45,0.0,0.1
-1.326e-12,-9.07638e-09,9.01828e-09,1.5,0.0,0.1
-1.134e-12,-1.011694e-08,1.01193e-08,1.55,0.0,0.1
-1.062e-12,-1.11452e-08,1.10332e-08,1.6,0.0,0.1
-1.246e-12,-1.22699e-08,1.22258e-08,1.65,0.0,0.1
-1.23e-12,-1.36045e-08,1.35221e-08,1.7,0.0,0.1
-8.18e-13,-1.50102e-08,1.49253e-08,1.75,0.0,0.1
-9.38e-13,-1.64561e-08,1.63601e-08,1.8,0.0,0.1
-1.268e-12,-1.80431e-08,1.79831e-08,1.85,0.0,0.1
-8.08e-13,-1.97596e-08,1.96838e-08,1.9,0.0,0.1
-6.52e-13,-2.15412e-08,2.14466e-08,1.95,0.0,0.1
-7.16e-13,-2.33283e-08,2.32043e-08,2.0,0.0,0.1
-1.024e-12,-2.53147e-08,2.52094e-08,2.05,0.0,0.1
-1.132e-12,-2.73404e-08,2.72065e-08,2.1,0.0,0.1
-1.53e-12,-2.94932e-08,2.93746e-08,2.15,0.0,0.1
-7.36e-13,-3.17024e-08,3.15929e-08,2.2,0.0,0.1
-7.44e-13,-3.41531e-08,3.39891e-08,2.25,0.0,0.1
-9.7e-13,-3.66627e-08,3.64196e-08,2.3,0.0,0.1
-1.012e-12,-3.92956e-08,3.91583e-08,2.35,0.0,0.1
-7.82e-13,-4.20926e-08,4.1938e-08,2.4,0.0,0.1
-7.24e-13,-4.49791e-08,4.47893e-08,2.45,0.0,0.1
-5.96e-13,-4.81294e-08,4.78413e-08,2.5,0.0,0.1
