VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,1.4716e-05,6.12e-13,-1.4733e-05,8.125
10.0,1.4724e-05,2e-15,-1.4721e-05,8.0
10.0,1.4709e-05,6.74e-13,-1.4707e-05,7.875
10.0,1.47e-05,5.52e-13,-1.4685e-05,7.75
10.0,1.4677e-05,3.9e-13,-1.4683e-05,7.625
10.0,1.4653e-05,2.54e-13,-1.4674e-05,7.5
10.0,1.4659e-05,4.98e-13,-1.4647e-05,7.375
10.0,1.4628e-05,3.46e-13,-1.4636e-05,7.25
10.0,1.4645e-05,2.08e-13,-1.463e-05,7.125
10.0,1.4605e-05,1.44e-13,-1.4611e-05,7.0
10.0,1.4598e-05,4.82e-13,-1.4594e-05,6.875
10.0,1.4581e-05,7.24e-13,-1.4579e-05,6.75
10.0,1.456e-05,3.78e-13,-1.4563e-05,6.625
10.0,1.4544e-05,4.7e-13,-1.4535e-05,6.5
10.0,1.451e-05,5.6e-13,-1.4515e-05,6.375
10.0,1.4489e-05,3.4e-13,-1.4495e-05,6.25
10.0,1.4461e-05,1.1e-13,-1.4462e-05,6.125
10.0,1.4437e-05,6.12e-13,-1.4428e-05,6.0
10.0,1.4391e-05,4e-13,-1.4386e-05,5.875
10.0,1.4376e-05,1.64e-13,-1.4366e-05,5.75
10.0,1.4319e-05,3.2e-13,-1.4324e-05,5.625
10.0,1.4291e-05,7.68e-13,-1.4282e-05,5.5
10.0,1.4241e-05,4.6e-13,-1.4232e-05,5.375
10.0,1.4173e-05,2.44e-13,-1.4187e-05,5.25
10.0,1.4128e-05,5.9e-13,-1.4127e-05,5.125
10.0,1.4064e-05,8.12e-13,-1.4057e-05,5.0
10.0,1.4015e-05,2.04e-13,-1.4e-05,4.875
10.0,1.3942e-05,3.14e-13,-1.3938e-05,4.75
10.0,1.3865e-05,5.54e-13,-1.3863e-05,4.625
10.0,1.3779e-05,5.48e-13,-1.3765e-05,4.5
10.0,1.3683e-05,4.42e-13,-1.3685e-05,4.375
10.0,1.359e-05,3.48e-13,-1.3584e-05,4.25
10.0,1.3473e-05,5.58e-13,-1.3479e-05,4.125
10.0,1.337e-05,3.5e-13,-1.3369e-05,4.0
10.0,1.323e-05,2.08e-13,-1.3232e-05,3.875
10.0,1.3112e-05,6.72e-13,-1.3095e-05,3.75
10.0,1.2956e-05,9.96e-13,-1.2949e-05,3.625
10.0,1.28e-05,6.2e-13,-1.2792e-05,3.5
10.0,1.2623e-05,8.14e-13,-1.2614e-05,3.375
10.0,1.2439e-05,6.42e-13,-1.2421e-05,3.25
10.0,1.2231e-05,5.2e-13,-1.2217e-05,3.125
10.0,1.2007e-05,-2e-14,-1.2001e-05,3.0
10.0,1.1779e-05,5.94e-13,-1.1774e-05,2.875
10.0,1.1538e-05,5.46e-13,-1.1529e-05,2.75
10.0,1.127e-05,6.8e-13,-1.1264e-05,2.625
10.0,1.0975e-05,3.36e-13,-1.0979e-05,2.5
10.0,1.0669e-05,6.66e-13,-1.0661e-05,2.375
10.0,1.0341e-05,6.08e-13,-1.0331e-05,2.25
10.0,9.9851e-06,6.72e-13,-9.9784e-06,2.125
10.0,9.6096e-06,5e-13,-9.6013e-06,2.0
10.0,9.207e-06,2.48e-13,-9.1999e-06,1.875
10.0,8.7891e-06,4.24e-13,-8.7834e-06,1.75
10.0,8.339e-06,7.8e-14,-8.3375e-06,1.625
10.0,7.8673e-06,6e-14,-7.8653e-06,1.5
10.0,7.3682e-06,1.6e-13,-7.3618e-06,1.375
10.0,6.8419e-06,1.66e-13,-6.8365e-06,1.25
10.0,6.2941e-06,2e-15,-6.2885e-06,1.125
10.0,5.7117e-06,3.44e-13,-5.7083e-06,1.0
10.0,5.1029e-06,7.94e-13,-5.1005e-06,0.875
10.0,4.4617e-06,8.04e-13,-4.4581e-06,0.75
10.0,3.795e-06,3.92e-13,-3.7925e-06,0.625
10.0,3.0956e-06,9.9e-13,-3.0941e-06,0.5
10.0,2.3718e-06,5e-13,-2.3706e-06,0.375
10.0,1.6135e-06,4.98e-13,-1.6114e-06,0.25
10.0,8.2138e-07,4.42e-13,-8.2051e-07,0.125
10.0,4.27964e-10,6.78e-13,-2.66814e-10,0.0
9.5,2.35366e-10,4.1e-13,-3.32558e-10,0.0
9.5,6.6547e-07,3.06e-13,-6.6534e-07,0.125
9.5,1.2967e-06,1.14e-13,-1.295e-06,0.25
9.5,1.893e-06,-4.44e-13,-1.8943e-06,0.375
9.5,2.456e-06,-3.92e-13,-2.4565e-06,0.5
9.5,2.9895e-06,-6.34e-13,-2.9924e-06,0.625
9.5,3.4951e-06,-2.44e-13,-3.4972e-06,0.75
9.5,3.9682e-06,5.58e-13,-3.9705e-06,0.875
9.5,4.4159e-06,2.28e-13,-4.4137e-06,1.0
9.5,4.8305e-06,-8.76e-13,-4.8339e-06,1.125
9.5,5.215e-06,-4.76e-13,-5.2208e-06,1.25
9.5,5.5775e-06,-1.04e-13,-5.5832e-06,1.375
9.5,5.9172e-06,-2.72e-13,-5.9159e-06,1.5
9.5,6.2293e-06,2.6e-14,-6.2333e-06,1.625
9.5,6.5186e-06,6.66e-13,-6.5237e-06,1.75
9.5,6.7893e-06,-3e-13,-6.79e-06,1.875
9.5,7.0363e-06,-3.08e-13,-7.0365e-06,2.0
9.5,7.2574e-06,-7.5e-13,-7.2649e-06,2.125
9.5,7.4704e-06,-4.6e-13,-7.4746e-06,2.25
9.5,7.6615e-06,-5.6e-13,-7.6614e-06,2.375
9.5,7.8284e-06,2e-15,-7.8394e-06,2.5
9.5,7.991e-06,6.4e-14,-7.9905e-06,2.625
9.5,8.1329e-06,-5.38e-13,-8.1366e-06,2.75
9.5,8.264e-06,-1.94e-13,-8.2733e-06,2.875
9.5,8.3906e-06,-2.06e-13,-8.3894e-06,3.0
9.5,8.4938e-06,3.2e-14,-8.5096e-06,3.125
9.5,8.6072e-06,9.4e-14,-8.6071e-06,3.25
9.5,8.6846e-06,-1e-13,-8.6973e-06,3.375
9.5,8.7667e-06,-7.06e-13,-8.7634e-06,3.5
9.5,8.8476e-06,-1e-13,-8.8492e-06,3.625
9.5,8.9034e-06,-1.64e-13,-8.9087e-06,3.75
9.5,8.9622e-06,-2.7e-13,-8.9689e-06,3.875
9.5,9.0305e-06,-3.6e-13,-9.0312e-06,4.0
9.5,9.0722e-06,-1.18e-13,-9.0806e-06,4.125
9.5,9.1219e-06,-5.16e-13,-9.1204e-06,4.25
9.5,9.1653e-06,-2.12e-13,-9.1633e-06,4.375
