VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,8.22e-13,-2.64e-13,1.094e-12,0.0
10.0,7.82e-13,1.52e-13,9.2e-13,0.125
10.0,7.3e-13,-2.9e-13,1.042e-12,0.25
10.0,4.88e-13,-2.74e-13,1.244e-12,0.375
10.0,1.132e-12,5.8e-13,8.92e-13,0.5
10.0,7.98e-13,3.86e-13,1.222e-12,0.625
10.0,4.14e-13,-8e-15,1.24e-12,0.75
10.0,8.2e-13,-1.76e-13,1.042e-12,0.875
10.0,8.6e-13,-1.9e-13,1.342e-12,1.0
10.0,5.46e-13,2.24e-13,1.054e-12,1.125
10.0,9.76e-13,-1.64e-13,1.144e-12,1.25
10.0,6.96e-13,-2.4e-14,1.11e-12,1.375
10.0,7.9e-13,-6.8e-14,1.142e-12,1.5
10.0,4.8e-13,1.72e-13,1.018e-12,1.625
10.0,4.98e-13,-1.38e-13,1.004e-12,1.75
10.0,5.38e-13,4e-15,1.074e-12,1.875
10.0,4.92e-13,-1.32e-13,9e-13,2.0
10.0,9.34e-13,-2.2e-14,1.196e-12,2.125
10.0,5.44e-13,2.48e-13,9.82e-13,2.25
10.0,9.82e-13,2.28e-13,7.22e-13,2.375
10.0,8.4e-13,2.48e-13,1.24e-12,2.5
10.0,7.02e-13,-1.24e-13,8.18e-13,2.625
10.0,6.76e-13,1.8e-13,1.178e-12,2.75
10.0,8.54e-13,-2.8e-14,9.76e-13,2.875
10.0,6.82e-13,-3.62e-13,1.068e-12,3.0
10.0,6.94e-13,-1.02e-13,9.84e-13,3.125
10.0,5.2e-13,-1.3e-13,7.94e-13,3.25
10.0,1.146e-12,-1.96e-13,1.11e-12,3.375
10.0,9.4e-13,-5.24e-13,7.68e-13,3.5
10.0,7.98e-13,-2.68e-13,1.056e-12,3.625
10.0,4.82e-13,-1.58e-13,1.192e-12,3.75
10.0,5.4e-13,3.28e-13,9.78e-13,3.875
10.0,6.9e-13,-2.94e-13,1.204e-12,4.0
10.0,5.86e-13,-3.2e-14,1.232e-12,4.125
10.0,7.44e-13,4.2e-14,8.32e-13,4.25
10.0,6.12e-13,-4.6e-14,1.014e-12,4.375
10.0,8.14e-13,-5.4e-14,5.76e-13,4.5
10.0,5.9e-13,-3.22e-13,7.92e-13,4.625
10.0,1.058e-12,-1.34e-13,8.88e-13,4.75
10.0,6.14e-13,7.8e-14,1.282e-12,4.875
10.0,7.08e-13,-1.88e-13,1.188e-12,5.0
10.0,1.328e-12,2.8e-14,1.02e-12,5.125
10.0,6.18e-13,1.08e-13,8.84e-13,5.25
10.0,4.16e-13,-5.2e-14,1.074e-12,5.375
10.0,1.026e-12,-2.32e-13,1.182e-12,5.5
10.0,1.024e-12,8e-14,1.296e-12,5.625
10.0,6.7e-13,1.74e-13,9.54e-13,5.75
10.0,8.02e-13,-1.88e-13,1.026e-12,5.875
10.0,7.66e-13,-4.8e-14,1.08e-12,6.0
10.0,1.424e-12,-3.84e-13,1.028e-12,6.125
10.0,5.46e-13,-5.6e-14,1.072e-12,6.25
10.0,8.32e-13,4.98e-13,8.2e-13,6.375
10.0,1.156e-12,-2.9e-13,1.138e-12,6.5
10.0,6.2e-13,-1e-14,1.136e-12,6.625
10.0,7.46e-13,-2.94e-13,1.028e-12,6.75
10.0,6.06e-13,-1.36e-13,1.118e-12,6.875
10.0,3.3e-13,-7e-14,8.28e-13,7.0
10.0,6.36e-13,-3.2e-14,1.094e-12,7.125
10.0,7.22e-13,1.8e-13,1.004e-12,7.25
10.0,1.086e-12,-2.2e-14,9.18e-13,7.375
10.0,7.92e-13,2.3e-13,8.16e-13,7.5
10.0,1.048e-12,9.8e-14,9.96e-13,7.625
10.0,6.24e-13,-1.2e-14,1.264e-12,7.75
10.0,6.14e-13,1.9e-13,1.042e-12,7.875
10.0,6.94e-13,3.44e-13,1.108e-12,8.0
10.0,5.98e-13,-2.12e-13,1.146e-12,8.125
10.0,1.126e-12,-4.7e-13,8.58e-13,8.25
10.0,7.24e-13,-1e-14,1.198e-12,8.375
10.0,6.18e-13,-5e-14,1.072e-12,8.5
10.0,9.9e-13,4.8e-14,1.124e-12,8.625
10.0,9.02e-13,7.2e-14,1.098e-12,8.75
10.0,1.116e-12,-1.34e-13,1.162e-12,8.875
10.0,4.42e-13,3.92e-13,1.194e-12,9.0
10.0,4.48e-13,-1.46e-13,9.12e-13,9.125
10.0,6.64e-13,-1.18e-13,1.054e-12,9.25
10.0,7.34e-13,-2.34e-13,8.92e-13,9.375
10.0,1.122e-12,-1.52e-13,1.224e-12,9.5
10.0,5e-13,-4.02e-13,1.124e-12,9.625
10.0,7.26e-13,2.26e-13,1.14e-12,9.75
10.0,8.48e-13,-2.4e-14,9.82e-13,9.875
10.0,1.08e-12,-6.6e-14,8.84e-13,10.0
10.0,4.32e-13,-4.78e-13,1.156e-12,10.0
10.0,9.7e-13,-4.76e-13,9.84e-13,9.875
10.0,6.98e-13,4.2e-13,8.76e-13,9.75
10.0,7.54e-13,-4.6e-13,8.26e-13,9.625
10.0,4.56e-13,2.3e-13,8.6e-13,9.5
10.0,4.18e-13,2.3e-13,8.56e-13,9.375
10.0,3.82e-13,-4.14e-13,8.34e-13,9.25
10.0,7.7e-13,5.16e-13,7.46e-13,9.125
10.0,7.24e-13,1.16e-13,1.17e-12,9.0
10.0,1.14e-13,-1.18e-13,1.298e-12,8.875
10.0,5.16e-13,7.8e-14,7.04e-13,8.75
10.0,1.048e-12,-5.98e-13,1.194e-12,8.625
10.0,1.036e-12,-1.44e-13,1.03e-12,8.5
10.0,4.72e-13,-1.94e-13,1.356e-12,8.375
10.0,5.64e-13,1.2e-13,7.86e-13,8.25
10.0,7.16e-13,2.68e-13,7.66e-13,8.125
10.0,2.64e-13,5e-14,9.36e-13,8.0
10.0,1.246e-12,-1.2e-14,8.52e-13,7.875
10.0,6.34e-13,2e-14,8.16e-13,7.75
10.0,8.8e-13,1.74e-13,9.7e-13,7.625
10.0,5.4e-13,-3.04e-13,9.6e-13,7.5
10.0,6.78e-13,3.76e-13,1.08e-12,7.375
10.0,8.42e-13,1.14e-13,9.62e-13,7.25
10.0,7.6e-13,-1.94e-13,1.04e-12,7.125
10.0,8.92e-13,-3.08e-13,1.154e-12,7.0
10.0,6.52e-13,-1.04e-13,9.08e-13,6.875
10.0,7.98e-13,-1.42e-13,1.188e-12,6.75
10.0,6.58e-13,-3.02e-13,1.196e-12,6.625
10.0,8.28e-13,6.8e-14,1.016e-12,6.5
10.0,3.46e-13,-8.4e-14,1.002e-12,6.375
10.0,7.16e-13,3.88e-13,1.022e-12,6.25
10.0,5.36e-13,-1.2e-13,1.12e-12,6.125
10.0,7.56e-13,8e-15,8.74e-13,6.0
10.0,8.56e-13,8.2e-14,1.1e-12,5.875
10.0,7.82e-13,-7.2e-14,1.2e-12,5.75
10.0,4.54e-13,-2.04e-13,1.026e-12,5.625
10.0,8.24e-13,2e-15,9.22e-13,5.5
10.0,8.68e-13,-3.02e-13,1.21e-12,5.375
10.0,2.88e-13,-6.8e-14,9.34e-13,5.25
10.0,6.3e-13,1.56e-13,1.17e-12,5.125
10.0,9.34e-13,5.2e-14,7.02e-13,5.0
10.0,8.54e-13,1.04e-13,9.08e-13,4.875
10.0,1.038e-12,-5.66e-13,1.018e-12,4.75
10.0,7.18e-13,-8e-14,1.148e-12,4.625
10.0,5.14e-13,-1.04e-13,1.128e-12,4.5
10.0,5.94e-13,5.84e-13,9.88e-13,4.375
10.0,7.26e-13,9.2e-14,1.134e-12,4.25
10.0,9.86e-13,-1.72e-13,1.166e-12,4.125
10.0,7.06e-13,8e-15,8.56e-13,4.0
10.0,8.86e-13,4.6e-13,1.054e-12,3.875
10.0,8.54e-13,6.2e-14,9.64e-13,3.75
10.0,5.62e-13,-5.98e-13,1.002e-12,3.625
10.0,6.76e-13,-4.96e-13,1.006e-12,3.5
10.0,6.4e-13,-4.2e-14,1.06e-12,3.375
10.0,7.18e-13,3.18e-13,9.06e-13,3.25
10.0,8.96e-13,-3.34e-13,1.326e-12,3.125
10.0,7.72e-13,7e-14,1.088e-12,3.0
10.0,8.48e-13,-1.56e-13,8.84e-13,2.875
10.0,1.058e-12,-2.04e-13,1.168e-12,2.75
10.0,7.48e-13,6.8e-14,9.22e-13,2.625
10.0,4.56e-13,5.06e-13,7.6e-13,2.5
10.0,2.5e-13,-7.68e-13,1.006e-12,2.375
10.0,8.3e-13,-8.68e-13,1.336e-12,2.25
10.0,8.2e-14,4.16e-13,1.012e-12,2.125
10.0,9.04e-13,-1.4e-14,9.02e-13,2.0
10.0,6.46e-13,4.28e-13,8.8e-13,1.875
10.0,4.6e-13,3.8e-14,9.92e-13,1.75
10.0,8.06e-13,5.96e-13,1.27e-12,1.625
10.0,6.76e-13,3.32e-13,1.15e-12,1.5
10.0,7.46e-13,2.52e-13,9.52e-13,1.375
10.0,5.58e-13,-5.42e-13,1e-12,1.25
10.0,6.9e-13,2.62e-13,9.32e-13,1.125
10.0,1.168e-12,-6.8e-14,1.194e-12,1.0
10.0,6.26e-13,-2.2e-14,1.192e-12,0.875
10.0,4.08e-13,-5.86e-13,8.8e-13,0.75
10.0,1.022e-12,3.44e-13,1.002e-12,0.625
10.0,1.226e-12,1.2e-14,1.076e-12,0.5
10.0,4.84e-13,-3e-13,1.028e-12,0.375
10.0,6.42e-13,-1.4e-13,6.84e-13,0.25
10.0,8.5e-13,-2.54e-13,7.9e-13,0.125
10.0,1.024e-12,-3.46e-13,1.156e-12,0.0
9.5,5.14e-13,-6.8e-14,1.27e-12,0.0
9.5,7.54e-13,6.8e-14,7.9e-13,0.125
9.5,1.9e-13,-4.8e-14,1.136e-12,0.25
9.5,7.46e-13,-3.9e-13,1.206e-12,0.375
9.5,5.14e-13,6.6e-13,8.34e-13,0.5
9.5,6.04e-13,2.46e-13,1.098e-12,0.625
9.5,7.8e-13,7.8e-14,1.178e-12,0.75
9.5,5.7e-13,-3.52e-13,1.026e-12,0.875
9.5,4.76e-13,4.8e-13,8.8e-13,1.0
9.5,9.7e-13,-4.42e-13,9.24e-13,1.125
9.5,5.88e-13,1.3e-13,7.9e-13,1.25
9.5,5.3e-13,-2.6e-13,1.068e-12,1.375
9.5,9.58e-13,-4.78e-13,1.11e-12,1.5
9.5,8.02e-13,2.36e-13,9.28e-13,1.625
9.5,9.4e-13,-3.72e-13,1.074e-12,1.75
9.5,8.08e-13,-3.2e-13,1.018e-12,1.875
9.5,4.5e-13,-2.64e-13,1.036e-12,2.0
9.5,4.92e-13,8e-15,1.214e-12,2.125
9.5,4.24e-13,1.98e-13,9.62e-13,2.25
9.5,1.264e-12,8.2e-14,1.106e-12,2.375
9.5,8.94e-13,-2.1e-13,9.54e-13,2.5
9.5,3.92e-13,-1.42e-13,1.154e-12,2.625
9.5,1.136e-12,-3.2e-13,9.74e-13,2.75
9.5,7.76e-13,-3.08e-13,1.136e-12,2.875
9.5,6.32e-13,-8e-15,1.346e-12,3.0
9.5,9.3e-13,-7.4e-14,9.7e-13,3.125
9.5,9.98e-13,3.12e-13,1.138e-12,3.25
9.5,5e-13,-3.18e-13,1.01e-12,3.375
9.5,9.24e-13,-5.5e-13,8.74e-13,3.5
9.5,9.48e-13,5e-14,8.7e-13,3.625
