VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,2.6796e-05,8.6e-14,-2.6784e-05,8.125
10.0,2.6694e-05,4.2e-14,-2.6691e-05,8.0
10.0,2.6585e-05,-2.82e-13,-2.6598e-05,7.875
10.0,2.6485e-05,1.72e-13,-2.6485e-05,7.75
10.0,2.6384e-05,-2e-15,-2.638e-05,7.625
10.0,2.6264e-05,1.42e-12,-2.6276e-05,7.5
10.0,2.6162e-05,2.52e-13,-2.6154e-05,7.375
10.0,2.6039e-05,1.72e-13,-2.6024e-05,7.25
10.0,2.5899e-05,-1.73e-12,-2.5894e-05,7.125
10.0,2.5762e-05,-1.16e-13,-2.5768e-05,7.0
10.0,2.5619e-05,1.902e-12,-2.562e-05,6.875
10.0,2.5484e-05,-5.26e-13,-2.5476e-05,6.75
10.0,2.5334e-05,1.366e-12,-2.5325e-05,6.625
10.0,2.5169e-05,1.374e-12,-2.5163e-05,6.5
10.0,2.5e-05,2.8e-13,-2.4994e-05,6.375
10.0,2.4818e-05,-3.28e-13,-2.482e-05,6.25
10.0,2.4634e-05,-3.12e-13,-2.4635e-05,6.125
10.0,2.4443e-05,1.86e-12,-2.4441e-05,6.0
10.0,2.4238e-05,8.4e-13,-2.4237e-05,5.875
10.0,2.4028e-05,6.06e-13,-2.4027e-05,5.75
10.0,2.3811e-05,9.28e-13,-2.3812e-05,5.625
10.0,2.3581e-05,-1.378e-12,-2.3586e-05,5.5
10.0,2.3345e-05,5.88e-13,-2.3341e-05,5.375
10.0,2.3096e-05,-1.504e-12,-2.31e-05,5.25
10.0,2.2826e-05,-5.9e-13,-2.283e-05,5.125
10.0,2.2562e-05,1.774e-12,-2.2555e-05,5.0
10.0,2.228e-05,8.32e-13,-2.2275e-05,4.875
10.0,2.1983e-05,-1.062e-12,-2.1994e-05,4.75
10.0,2.168e-05,-7.88e-13,-2.1679e-05,4.625
10.0,2.1365e-05,3.32e-13,-2.1354e-05,4.5
10.0,2.1036e-05,5.98e-13,-2.1034e-05,4.375
10.0,2.0685e-05,7.08e-13,-2.0692e-05,4.25
10.0,2.0333e-05,5.02e-13,-2.0341e-05,4.125
10.0,1.9969e-05,1.228e-12,-1.997e-05,4.0
10.0,1.9585e-05,5.14e-13,-1.9583e-05,3.875
10.0,1.9193e-05,-2e-14,-1.9196e-05,3.75
10.0,1.8784e-05,-1.04e-13,-1.8781e-05,3.625
10.0,1.836e-05,9.74e-13,-1.8356e-05,3.5
10.0,1.7926e-05,5.22e-13,-1.7924e-05,3.375
10.0,1.7469e-05,-4.16e-13,-1.7469e-05,3.25
10.0,1.7004e-05,5.58e-13,-1.7e-05,3.125
10.0,1.6521e-05,4.48e-13,-1.6521e-05,3.0
10.0,1.6026e-05,2.24e-13,-1.6029e-05,2.875
10.0,1.5514e-05,3e-14,-1.5509e-05,2.75
10.0,1.4985e-05,3.22e-13,-1.4981e-05,2.625
10.0,1.4436e-05,-1.2e-14,-1.4437e-05,2.5
10.0,1.3873e-05,2.92e-13,-1.3874e-05,2.375
10.0,1.3294e-05,4.12e-13,-1.3296e-05,2.25
10.0,1.2707e-05,4.64e-13,-1.2707e-05,2.125
10.0,1.2101e-05,2.16e-13,-1.21e-05,2.0
10.0,1.1473e-05,5.38e-13,-1.1473e-05,1.875
10.0,1.083e-05,2.4e-13,-1.0832e-05,1.75
10.0,1.0172e-05,6.8e-13,-1.0166e-05,1.625
