VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,7.8064e-09,-3.26e-13,-6.1369e-09,0.0
10.0,2.4354e-06,-1.86e-13,-2.4374e-06,0.125
10.0,4.83e-06,-6.68e-13,-4.8276e-06,0.25
10.0,7.1733e-06,-2.6e-13,-7.1694e-06,0.375
10.0,9.4656e-06,-7.02e-13,-9.4638e-06,0.5
10.0,1.1703e-05,2.18e-13,-1.1704e-05,0.625
10.0,1.3896e-05,-1.19e-12,-1.3897e-05,0.75
10.0,1.6028e-05,-2.98e-13,-1.6029e-05,0.875
10.0,1.8127e-05,-9.92e-13,-1.8122e-05,1.0
10.0,2.0175e-05,-1.054e-12,-2.0179e-05,1.125
10.0,2.2178e-05,-5.06e-13,-2.2183e-05,1.25
10.0,2.4142e-05,-8.16e-13,-2.4142e-05,1.375
10.0,2.604e-05,-2.18e-13,-2.604e-05,1.5
10.0,2.7904e-05,-1.96e-13,-2.7907e-05,1.625
10.0,2.9726e-05,-6.7e-13,-2.9734e-05,1.75
10.0,3.1504e-05,-3.7e-13,-3.1507e-05,1.875
10.0,3.3242e-05,-6.84e-13,-3.3249e-05,2.0
10.0,3.4932e-05,-8.7e-13,-3.4934e-05,2.125
10.0,3.6564e-05,-2.4e-13,-3.657e-05,2.25
10.0,3.8171e-05,-2.28e-13,-3.8174e-05,2.375
10.0,3.9739e-05,-5.2e-13,-3.9745e-05,2.5
10.0,4.1251e-05,-1.452e-12,-4.1266e-05,2.625
10.0,4.2735e-05,-2.176e-12,-4.2743e-05,2.75
10.0,4.4181e-05,-2.72e-13,-4.4189e-05,2.875
10.0,4.5571e-05,-5.76e-13,-4.5577e-05,3.0
10.0,4.6936e-05,-5.4e-14,-4.6938e-05,3.125
10.0,4.825e-05,7.4e-13,-4.8252e-05,3.25
10.0,4.9535e-05,-8.94e-13,-4.9542e-05,3.375
10.0,5.0779e-05,-9.48e-13,-5.0774e-05,3.5
10.0,5.1974e-05,7.32e-13,-5.1987e-05,3.625
10.0,5.3152e-05,-1.58e-13,-5.3151e-05,3.75
10.0,5.4285e-05,-1.92e-12,-5.4295e-05,3.875
10.0,5.5367e-05,-1.658e-12,-5.537e-05,4.0
10.0,5.6425e-05,-8.4e-13,-5.6431e-05,4.125
10.0,5.7452e-05,-6.48e-13,-5.7458e-05,4.25
10.0,5.8454e-05,-1.288e-12,-5.8449e-05,4.375
10.0,5.9386e-05,-1.07e-12,-5.9405e-05,4.5
10.0,6.0312e-05,-9.16e-13,-6.0323e-05,4.625
10.0,6.1202e-05,-1.07e-12,-6.1213e-05,4.75
10.0,6.2057e-05,8.4e-14,-6.2077e-05,4.875
10.0,6.2874e-05,-1.54e-13,-6.2894e-05,5.0
10.0,6.3681e-05,-4.96e-13,-6.3682e-05,5.125
10.0,6.4435e-05,-1.336e-12,-6.4431e-05,5.25
10.0,6.5148e-05,-1.18e-12,-6.517e-05,5.375
10.0,6.5866e-05,-3.48e-13,-6.587e-05,5.5
10.0,6.6539e-05,-1.2e-14,-6.656e-05,5.625
10.0,6.7195e-05,-9.02e-13,-6.7212e-05,5.75
10.0,6.7806e-05,-4.64e-13,-6.7822e-05,5.875
10.0,6.8396e-05,-1.102e-12,-6.8418e-05,6.0
10.0,6.8985e-05,-1.058e-12,-6.8992e-05,6.125
10.0,6.9534e-05,-8.06e-13,-6.9564e-05,6.25
10.0,7.0068e-05,-1.352e-12,-7.0085e-05,6.375
10.0,7.0577e-05,-4.72e-13,-7.0574e-05,6.5
10.0,7.1063e-05,-1.11e-12,-7.1088e-05,6.625
10.0,7.1521e-05,-1.11e-12,-7.1525e-05,6.75
10.0,7.1971e-05,-3.86e-13,-7.1966e-05,6.875
10.0,7.2388e-05,-8.02e-13,-7.24e-05,7.0
10.0,7.2802e-05,-2.43e-12,-7.2815e-05,7.125
10.0,7.3194e-05,-1.51e-12,-7.3199e-05,7.25
10.0,7.3576e-05,-8.66e-13,-7.3581e-05,7.375
10.0,7.3929e-05,-4.08e-13,-7.3947e-05,7.5
10.0,7.4287e-05,-8.74e-13,-7.4297e-05,7.625
10.0,7.4621e-05,-4.74e-13,-7.4631e-05,7.75
10.0,7.4942e-05,-7.6e-14,-7.4949e-05,7.875
10.0,7.5271e-05,-6.32e-13,-7.5279e-05,8.0
10.0,7.5563e-05,-4.8e-14,-7.5583e-05,8.125
10.0,7.5855e-05,-3.7e-13,-7.5882e-05,8.25
10.0,7.6133e-05,1.38e-13,-7.6145e-05,8.375
10.0,7.6416e-05,2.58e-13,-7.643e-05,8.5
10.0,7.6679e-05,-8.14e-13,-7.6694e-05,8.625
10.0,7.6938e-05,5.72e-13,-7.695e-05,8.75
10.0,7.7203e-05,-6.3e-13,-7.7203e-05,8.875
10.0,7.7437e-05,-7.52e-13,-7.7449e-05,9.0
10.0,7.7688e-05,-1.384e-12,-7.768e-05,9.125
10.0,7.792e-05,-1.418e-12,-7.7935e-05,9.25
10.0,7.815e-05,-6.06e-13,-7.8164e-05,9.375
10.0,7.8382e-05,4.44e-13,-7.839e-05,9.5
10.0,7.8591e-05,-1.788e-12,-7.8616e-05,9.625
10.0,7.8814e-05,-5.98e-13,-7.8833e-05,9.75
10.0,7.9016e-05,6.38e-13,-7.9056e-05,9.875
10.0,7.9228e-05,-1.36e-12,-7.9246e-05,10.0
10.0,7.925e-05,4.3e-13,-7.9271e-05,10.0
10.0,7.9053e-05,1.648e-12,-7.9049e-05,9.875
10.0,7.8841e-05,-8.2e-14,-7.8862e-05,9.75
10.0,7.8643e-05,9.08e-13,-7.8652e-05,9.625
10.0,7.8418e-05,3e-13,-7.8408e-05,9.5
10.0,7.8195e-05,7.92e-13,-7.8184e-05,9.375
10.0,7.7954e-05,1.094e-12,-7.796e-05,9.25
10.0,7.7737e-05,9.64e-13,-7.7719e-05,9.125
10.0,7.7479e-05,-1.98e-13,-7.7464e-05,9.0
10.0,7.7211e-05,-1.2e-13,-7.7216e-05,8.875
10.0,7.6955e-05,1.96e-13,-7.6947e-05,8.75
10.0,7.6702e-05,-3.6e-13,-7.669e-05,8.625
10.0,7.6415e-05,3.7e-13,-7.6422e-05,8.5
10.0,7.614e-05,1.21e-12,-7.6136e-05,8.375
10.0,7.5844e-05,3.98e-13,-7.5841e-05,8.25
10.0,7.5564e-05,1.588e-12,-7.5537e-05,8.125
10.0,7.5238e-05,-9.58e-13,-7.5236e-05,8.0
10.0,7.4923e-05,5.84e-13,-7.4907e-05,7.875
10.0,7.4571e-05,1.252e-12,-7.4575e-05,7.75
10.0,7.424e-05,-5.8e-14,-7.4226e-05,7.625
10.0,7.3888e-05,4.1e-13,-7.3875e-05,7.5
10.0,7.3498e-05,-2.238e-12,-7.3503e-05,7.375
10.0,7.3127e-05,-5.4e-13,-7.3104e-05,7.25
