VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,4.1248e-09,-1.704e-12,-4.84296e-09,0.0
10.0,2.0567e-06,4.12e-13,-2.0562e-06,0.125
10.0,4.075e-06,4.1e-13,-4.0712e-06,0.25
10.0,6.0482e-06,1.12e-13,-6.047e-06,0.375
10.0,7.9758e-06,-1.128e-12,-7.9786e-06,0.5
10.0,9.8631e-06,-8.3e-13,-9.8661e-06,0.625
10.0,1.1707e-05,6.5e-13,-1.1706e-05,0.75
10.0,1.3497e-05,1.612e-12,-1.3494e-05,0.875
10.0,1.5256e-05,3.96e-13,-1.5255e-05,1.0
10.0,1.697e-05,1.314e-12,-1.6975e-05,1.125
10.0,1.8647e-05,-7.02e-13,-1.8652e-05,1.25
10.0,2.029e-05,2.2e-14,-2.0288e-05,1.375
10.0,2.1871e-05,-1.018e-12,-2.1873e-05,1.5
10.0,2.3428e-05,-9.18e-13,-2.3432e-05,1.625
10.0,2.4944e-05,1.736e-12,-2.4952e-05,1.75
10.0,2.6426e-05,7.56e-13,-2.6428e-05,1.875
10.0,2.7868e-05,-1.222e-12,-2.7871e-05,2.0
10.0,2.9269e-05,-5.34e-13,-2.9278e-05,2.125
10.0,3.0626e-05,-2.72e-13,-3.0628e-05,2.25
10.0,3.1959e-05,5.2e-14,-3.1958e-05,2.375
10.0,3.3243e-05,4.6e-14,-3.3259e-05,2.5
10.0,3.4503e-05,-8.36e-13,-3.451e-05,2.625
10.0,3.5727e-05,-4.52e-13,-3.5727e-05,2.75
10.0,3.6906e-05,8e-15,-3.6914e-05,2.875
10.0,3.8048e-05,-9.18e-13,-3.806e-05,3.0
10.0,3.9168e-05,3.66e-13,-3.9175e-05,3.125
10.0,4.0252e-05,-4.34e-13,-4.0261e-05,3.25
10.0,4.1302e-05,2.08e-13,-4.131e-05,3.375
10.0,4.2317e-05,-6.14e-13,-4.232e-05,3.5
10.0,4.3302e-05,-2.82e-13,-4.3307e-05,3.625
10.0,4.4251e-05,4.36e-13,-4.4253e-05,3.75
10.0,4.5163e-05,-9.96e-13,-4.5176e-05,3.875
10.0,4.6064e-05,-1.312e-12,-4.6053e-05,4.0
10.0,4.6914e-05,6.04e-13,-4.6917e-05,4.125
10.0,4.7729e-05,-6.52e-13,-4.7742e-05,4.25
10.0,4.8545e-05,-1.152e-12,-4.8542e-05,4.375
10.0,4.9314e-05,-8.36e-13,-4.9311e-05,4.5
10.0,5.0044e-05,-1.048e-12,-5.0052e-05,4.625
10.0,5.0756e-05,-1.932e-12,-5.0765e-05,4.75
10.0,5.143e-05,-1.924e-12,-5.1444e-05,4.875
10.0,5.2097e-05,4.32e-13,-5.2103e-05,5.0
10.0,5.2735e-05,6.04e-13,-5.2728e-05,5.125
10.0,5.3338e-05,-5.12e-13,-5.3346e-05,5.25
10.0,5.3912e-05,-3.12e-12,-5.3925e-05,5.375
10.0,5.4487e-05,-6.26e-13,-5.4489e-05,5.5
10.0,5.5034e-05,-4.44e-13,-5.5039e-05,5.625
10.0,5.5554e-05,-5.38e-13,-5.5552e-05,5.75
10.0,5.603e-05,7.86e-13,-5.605e-05,5.875
10.0,5.6518e-05,1.094e-12,-5.6529e-05,6.0
10.0,5.6977e-05,-1.502e-12,-5.6975e-05,6.125
10.0,5.7416e-05,-7.6e-13,-5.7426e-05,6.25
10.0,5.783e-05,-2.26e-13,-5.7854e-05,6.375
10.0,5.8238e-05,-4.8e-14,-5.8244e-05,6.5
10.0,5.8615e-05,5.1e-13,-5.8632e-05,6.625
10.0,5.8978e-05,-6.22e-13,-5.8994e-05,6.75
10.0,5.9362e-05,-8e-15,-5.9362e-05,6.875
10.0,5.9693e-05,6.42e-13,-5.969e-05,7.0
10.0,6.0013e-05,-4.9e-13,-6.0021e-05,7.125
10.0,6.0312e-05,-9.78e-13,-6.033e-05,7.25
10.0,6.0611e-05,-4e-13,-6.062e-05,7.375
10.0,6.0902e-05,-3.2e-13,-6.0906e-05,7.5
10.0,6.1184e-05,-8.72e-13,-6.1197e-05,7.625
10.0,6.1445e-05,-4.86e-13,-6.1452e-05,7.75
10.0,6.1701e-05,5.32e-13,-6.1707e-05,7.875
10.0,6.1958e-05,-1.52e-13,-6.1959e-05,8.0
10.0,6.2192e-05,-9.66e-13,-6.2207e-05,8.125
10.0,6.2414e-05,-4.5e-13,-6.2426e-05,8.25
10.0,6.2648e-05,3.7e-13,-6.2653e-05,8.375
10.0,6.2847e-05,4.16e-13,-6.2864e-05,8.5
10.0,6.3076e-05,-5.78e-13,-6.3076e-05,8.625
10.0,6.3271e-05,7.02e-13,-6.3285e-05,8.75
10.0,6.3459e-05,-6.26e-13,-6.3472e-05,8.875
10.0,6.3657e-05,-2.336e-12,-6.3689e-05,9.0
10.0,6.3851e-05,1.326e-12,-6.3864e-05,9.125
10.0,6.4035e-05,-1.052e-12,-6.4047e-05,9.25
10.0,6.4195e-05,-1.752e-12,-6.4226e-05,9.375
10.0,6.4381e-05,-6.66e-13,-6.4401e-05,9.5
10.0,6.4557e-05,-4e-14,-6.4567e-05,9.625
10.0,6.4742e-05,-3.76e-13,-6.4733e-05,9.75
10.0,6.4893e-05,-1.106e-12,-6.4908e-05,9.875
10.0,6.5049e-05,-1.622e-12,-6.5069e-05,10.0
10.0,6.5073e-05,5.72e-13,-6.5071e-05,10.0
10.0,6.4919e-05,-3.4e-13,-6.491e-05,9.875
10.0,6.4741e-05,1.276e-12,-6.4741e-05,9.75
10.0,6.457e-05,8.4e-13,-6.4583e-05,9.625
10.0,6.4415e-05,1.252e-12,-6.4395e-05,9.5
10.0,6.4222e-05,-8.08e-13,-6.4247e-05,9.375
10.0,6.4049e-05,4.8e-13,-6.4051e-05,9.25
10.0,6.3887e-05,3.64e-13,-6.3887e-05,9.125
10.0,6.3675e-05,3.7e-13,-6.3675e-05,9.0
10.0,6.3488e-05,1.1e-12,-6.3481e-05,8.875
10.0,6.3287e-05,-1.108e-12,-6.3289e-05,8.75
10.0,6.3098e-05,4.6e-14,-6.3088e-05,8.625
10.0,6.2878e-05,2.28e-13,-6.2861e-05,8.5
10.0,6.2649e-05,4.3e-13,-6.2637e-05,8.375
10.0,6.2413e-05,9e-14,-6.2412e-05,8.25
10.0,6.2169e-05,-5.72e-13,-6.2177e-05,8.125
10.0,6.1939e-05,-1.914e-12,-6.1925e-05,8.0
10.0,6.1667e-05,-2.266e-12,-6.1677e-05,7.875
10.0,6.1419e-05,-1.98e-13,-6.1422e-05,7.75
10.0,6.1145e-05,2.88e-12,-6.113e-05,7.625
10.0,6.0854e-05,0.0,-6.0845e-05,7.5
10.0,6.0569e-05,4.12e-13,-6.0549e-05,7.375
10.0,6.026e-05,-4.94e-13,-6.0249e-05,7.25
10.0,5.9944e-05,4.56e-13,-5.9929e-05,7.125
10.0,5.9616e-05,-1.96e-13,-5.961e-05,7.0
10.0,5.926e-05,-4.82e-13,-5.9256e-05,6.875
10.0,5.8909e-05,1.412e-12,-5.8909e-05,6.75
10.0,5.8531e-05,7.2e-14,-5.8528e-05,6.625
10.0,5.8141e-05,-1.978e-12,-5.8138e-05,6.5
10.0,5.7748e-05,1.51e-12,-5.7735e-05,6.375
10.0,5.7317e-05,9.52e-13,-5.7328e-05,6.25
10.0,5.6886e-05,-8.2e-14,-5.6865e-05,6.125
10.0,5.642e-05,1.488e-12,-5.6411e-05,6.0
10.0,5.5936e-05,6.06e-13,-5.593e-05,5.875
10.0,5.5445e-05,4.68e-13,-5.5421e-05,5.75
10.0,5.4914e-05,2.5e-13,-5.4915e-05,5.625
10.0,5.4371e-05,1.44e-13,-5.437e-05,5.5
10.0,5.3805e-05,1.376e-12,-5.381e-05,5.375
10.0,5.3228e-05,1.46e-13,-5.3217e-05,5.25
10.0,5.261e-05,-7e-13,-5.2607e-05,5.125
10.0,5.198e-05,2.26e-13,-5.1961e-05,5.0
10.0,5.131e-05,6.88e-13,-5.1303e-05,4.875
10.0,5.063e-05,1e-13,-5.0627e-05,4.75
10.0,4.991e-05,1.2e-14,-4.9904e-05,4.625
10.0,4.9166e-05,-8.72e-13,-4.9163e-05,4.5
10.0,4.8402e-05,2.8e-13,-4.8393e-05,4.375
10.0,4.7605e-05,1.568e-12,-4.7597e-05,4.25
10.0,4.6767e-05,7.8e-13,-4.6768e-05,4.125
10.0,4.5921e-05,1.964e-12,-4.5916e-05,4.0
10.0,4.5032e-05,1.95e-12,-4.5027e-05,3.875
10.0,4.4116e-05,1.156e-12,-4.4106e-05,3.75
10.0,4.3159e-05,1.54e-12,-4.3162e-05,3.625
