VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,3.28034e-09,1.06e-13,-5.32272e-09,0.0
10.0,2.3355e-06,5.62e-13,-2.3339e-06,0.125
10.0,4.6267e-06,2.62e-13,-4.6256e-06,0.25
10.0,6.8692e-06,1.166e-12,-6.8672e-06,0.375
10.0,9.0578e-06,1.756e-12,-9.0621e-06,0.5
10.0,1.11993e-05,6.58e-13,-1.12018e-05,0.625
10.0,1.3289e-05,-6.72e-13,-1.3291e-05,0.75
10.0,1.5316e-05,5.4e-13,-1.5317e-05,0.875
10.0,1.7312e-05,8.3e-13,-1.731e-05,1.0
10.0,1.926e-05,9.36e-13,-1.9264e-05,1.125
10.0,2.1161e-05,-1.514e-12,-2.1167e-05,1.25
10.0,2.3023e-05,-1.056e-12,-2.3025e-05,1.375
10.0,2.4824e-05,-1.228e-12,-2.4825e-05,1.5
10.0,2.6584e-05,-1.304e-12,-2.6586e-05,1.625
10.0,2.8304e-05,-1.514e-12,-2.831e-05,1.75
10.0,2.999e-05,4.16e-13,-2.9987e-05,1.875
10.0,3.1621e-05,-1.936e-12,-3.1621e-05,2.0
10.0,3.3211e-05,-2.106e-12,-3.3216e-05,2.125
10.0,3.4751e-05,-2.4e-14,-3.4756e-05,2.25
10.0,3.6257e-05,2.53e-12,-3.6259e-05,2.375
10.0,3.7731e-05,-1.19e-12,-3.7727e-05,2.5
10.0,3.9141e-05,-3.76e-13,-3.9156e-05,2.625
10.0,4.0541e-05,-1.316e-12,-4.054e-05,2.75
10.0,4.1878e-05,4.44e-13,-4.188e-05,2.875
10.0,4.3169e-05,-8.84e-13,-4.3178e-05,3.0
10.0,4.4438e-05,-1.2e-13,-4.4446e-05,3.125
10.0,4.567e-05,6.42e-13,-4.5673e-05,3.25
10.0,4.686e-05,-6.86e-13,-4.6857e-05,3.375
10.0,4.7989e-05,-9.08e-13,-4.8005e-05,3.5
10.0,4.9107e-05,-1.074e-12,-4.9118e-05,3.625
10.0,5.0192e-05,-1.022e-12,-5.0201e-05,3.75
10.0,5.1245e-05,-1.006e-12,-5.1239e-05,3.875
10.0,5.2233e-05,-2.05e-12,-5.2247e-05,4.0
10.0,5.321e-05,-7.98e-13,-5.3211e-05,4.125
10.0,5.4144e-05,-1.336e-12,-5.4141e-05,4.25
10.0,5.504e-05,-3.222e-12,-5.506e-05,4.375
