VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,3.2434e-09,-1.506e-12,-4.85774e-09,0.0
10.0,2.115e-06,1.226e-12,-2.1142e-06,0.125
10.0,4.1925e-06,2.52e-13,-4.1904e-06,0.25
10.0,6.2267e-06,4.78e-13,-6.2236e-06,0.375
10.0,8.2115e-06,-1.268e-12,-8.216e-06,0.5
10.0,1.01586e-05,-1.42e-12,-1.01611e-05,0.625
10.0,1.2057e-05,1.026e-12,-1.2058e-05,0.75
10.0,1.3904e-05,3.72e-13,-1.3906e-05,0.875
10.0,1.5725e-05,-4.34e-13,-1.5721e-05,1.0
10.0,1.7501e-05,-1.4e-13,-1.7505e-05,1.125
10.0,1.9239e-05,-9.76e-13,-1.9243e-05,1.25
10.0,2.0936e-05,1.2e-13,-2.0935e-05,1.375
10.0,2.258e-05,-7.08e-13,-2.2581e-05,1.5
10.0,2.4188e-05,1.42e-13,-2.419e-05,1.625
10.0,2.5767e-05,1.1e-13,-2.5774e-05,1.75
10.0,2.7304e-05,-2.2e-13,-2.7308e-05,1.875
10.0,2.8808e-05,-2.52e-13,-2.8811e-05,2.0
10.0,3.0268e-05,-4.56e-13,-3.0273e-05,2.125
10.0,3.1687e-05,-3.76e-13,-3.169e-05,2.25
10.0,3.3067e-05,-2.46e-13,-3.307e-05,2.375
10.0,3.4418e-05,-8.24e-13,-3.4422e-05,2.5
10.0,3.5727e-05,-6.42e-13,-3.5738e-05,2.625
10.0,3.701e-05,2.8e-13,-3.7002e-05,2.75
10.0,3.8254e-05,-8.42e-13,-3.8239e-05,2.875
10.0,3.9438e-05,-4.74e-13,-3.945e-05,3.0
10.0,4.0615e-05,-1.242e-12,-4.0616e-05,3.125
10.0,4.175e-05,-8.46e-13,-4.1752e-05,3.25
10.0,4.2853e-05,-1.766e-12,-4.2863e-05,3.375
10.0,4.3924e-05,2.76e-13,-4.3924e-05,3.5
10.0,4.4947e-05,-3.52e-13,-4.4967e-05,3.625
10.0,4.5956e-05,9.84e-13,-4.5963e-05,3.75
10.0,4.6936e-05,-1.168e-12,-4.6941e-05,3.875
10.0,4.786e-05,3.98e-13,-4.7879e-05,4.0
10.0,4.8765e-05,6.86e-13,-4.8777e-05,4.125
10.0,4.9649e-05,1.08e-13,-4.9661e-05,4.25
10.0,5.049e-05,1.57e-12,-5.0502e-05,4.375
10.0,5.1306e-05,-5.14e-13,-5.1314e-05,4.5
10.0,5.21e-05,2.52e-13,-5.2092e-05,4.625
10.0,5.2877e-05,-6.52e-13,-5.2861e-05,4.75
10.0,5.3598e-05,-5.98e-13,-5.3606e-05,4.875
10.0,5.4301e-05,-1.1e-13,-5.4311e-05,5.0
10.0,5.4969e-05,1.14e-13,-5.4978e-05,5.125
10.0,5.5639e-05,-7.74e-13,-5.5644e-05,5.25
10.0,5.6251e-05,-6.2e-13,-5.626e-05,5.375
10.0,5.6841e-05,5.4e-13,-5.6854e-05,5.5
10.0,5.7424e-05,-5.5e-13,-5.7448e-05,5.625
10.0,5.7996e-05,-6.74e-13,-5.8014e-05,5.75
10.0,5.852e-05,-4.18e-13,-5.8534e-05,5.875
10.0,5.9038e-05,2.78e-13,-5.9062e-05,6.0
10.0,5.954e-05,2.2e-14,-5.9537e-05,6.125
10.0,6e-05,3.86e-13,-6.0016e-05,6.25
10.0,6.0461e-05,-6.54e-13,-6.0475e-05,6.375
10.0,6.0891e-05,-3.2e-13,-6.0907e-05,6.5
