VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,2.4296e-10,3.238e-12,-4.56134e-10,0.0
10.0,9.0274e-07,2.924e-12,-9.0346e-07,0.125
10.0,1.7799e-06,3.58e-12,-1.7788e-06,0.25
10.0,2.6298e-06,2.736e-12,-2.6303e-06,0.375
10.0,3.4519e-06,2.672e-12,-3.4517e-06,0.5
10.0,4.2527e-06,2.526e-12,-4.2528e-06,0.625
10.0,5.0302e-06,2.824e-12,-5.0305e-06,0.75
10.0,5.7848e-06,2.984e-12,-5.7838e-06,0.875
10.0,6.5097e-06,3.024e-12,-6.5187e-06,1.0
10.0,7.2287e-06,2.642e-12,-7.2219e-06,1.125
10.0,7.8989e-06,1.934e-12,-7.9032e-06,1.25
10.0,8.5631e-06,1.96e-12,-8.5648e-06,1.375
10.0,9.2007e-06,2.766e-12,-9.2057e-06,1.5
10.0,9.8196e-06,2.826e-12,-9.8222e-06,1.625
10.0,1.0414e-05,2.492e-12,-1.04183e-05,1.75
10.0,1.0991e-05,2.12e-12,-1.09917e-05,1.875
10.0,1.1546e-05,2.75e-12,-1.15422e-05,2.0
10.0,1.2075e-05,2.75e-12,-1.2075e-05,2.125
10.0,1.2587e-05,2.858e-12,-1.2586e-05,2.25
10.0,1.3078e-05,2.72e-12,-1.3079e-05,2.375
10.0,1.3554e-05,1.978e-12,-1.3553e-05,2.5
10.0,1.4003e-05,1.838e-12,-1.4004e-05,2.625
10.0,1.444e-05,2.89e-12,-1.4441e-05,2.75
10.0,1.4846e-05,2.368e-12,-1.4849e-05,2.875
10.0,1.5245e-05,2.446e-12,-1.525e-05,3.0
10.0,1.563e-05,2.036e-12,-1.5627e-05,3.125
10.0,1.5994e-05,2.554e-12,-1.5989e-05,3.25
10.0,1.6342e-05,2.216e-12,-1.634e-05,3.375
10.0,1.6669e-05,2.094e-12,-1.6669e-05,3.5
10.0,1.6994e-05,2.618e-12,-1.6991e-05,3.625
10.0,1.7289e-05,2.68e-12,-1.7295e-05,3.75
10.0,1.7569e-05,2.026e-12,-1.7572e-05,3.875
10.0,1.7846e-05,1.876e-12,-1.7851e-05,4.0
10.0,1.8102e-05,2.094e-12,-1.8106e-05,4.125
10.0,1.8349e-05,2.498e-12,-1.8347e-05,4.25
10.0,1.8577e-05,1.908e-12,-1.8581e-05,4.375
10.0,1.8791e-05,2.338e-12,-1.8804e-05,4.5
10.0,1.9014e-05,2.976e-12,-1.9014e-05,4.625
10.0,1.9205e-05,2.488e-12,-1.921e-05,4.75
