VAR2 SMU1 Vg (V),SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
10.0,2.25424e-09,-2.72e-13,-2.20076e-09,0.0
10.0,7.0389e-07,-1.79e-12,-7.0462e-07,0.125
10.0,1.391e-06,-1.4e-14,-1.3905e-06,0.25
10.0,2.0598e-06,1.686e-12,-2.0607e-06,0.375
10.0,2.7104e-06,3.6e-13,-2.7119e-06,0.5
10.0,3.3445e-06,-9.8e-13,-3.3443e-06,0.625
10.0,3.9595e-06,1e-12,-3.9597e-06,0.75
10.0,4.5544e-06,-1.062e-12,-4.5522e-06,0.875
10.0,5.1343e-06,-1.824e-12,-5.1353e-06,1.0
10.0,5.6988e-06,-1.256e-12,-5.7018e-06,1.125
10.0,6.2452e-06,-6.38e-13,-6.2476e-06,1.25
10.0,6.7754e-06,-9.72e-13,-6.7799e-06,1.375
10.0,7.2869e-06,-4.98e-13,-7.2877e-06,1.5
10.0,7.7843e-06,-2.078e-12,-7.7851e-06,1.625
10.0,8.2694e-06,-2.592e-12,-8.2686e-06,1.75
10.0,8.7321e-06,-2.056e-12,-8.7384e-06,1.875
10.0,9.1904e-06,-8.24e-13,-9.1881e-06,2.0
10.0,9.6238e-06,-8.8e-13,-9.6245e-06,2.125
10.0,1.00451e-05,-1.63e-12,-1.0042e-05,2.25
10.0,1.04537e-05,-4.04e-13,-1.04513e-05,2.375
10.0,1.08465e-05,-2.218e-12,-1.08475e-05,2.5
10.0,1.12259e-05,-1.288e-12,-1.12275e-05,2.625
10.0,1.1597e-05,-1.106e-12,-1.15937e-05,2.75
10.0,1.1958e-05,1.68e-13,-1.1956e-05,2.875
10.0,1.2302e-05,-7.46e-13,-1.2298e-05,3.0
10.0,1.2626e-05,-7.4e-13,-1.2626e-05,3.125
10.0,1.2943e-05,-1.99e-12,-1.2951e-05,3.25
10.0,1.3253e-05,-1.268e-12,-1.3253e-05,3.375
10.0,1.3549e-05,-1.454e-12,-1.355e-05,3.5
10.0,1.3828e-05,-1.498e-12,-1.3834e-05,3.625
10.0,1.4108e-05,-1.638e-12,-1.4114e-05,3.75
10.0,1.4369e-05,-1.004e-12,-1.437e-05,3.875
10.0,1.4622e-05,-1.022e-12,-1.4621e-05,4.0
10.0,1.4861e-05,-2.284e-12,-1.4863e-05,4.125
10.0,1.5093e-05,-1.104e-12,-1.5105e-05,4.25
10.0,1.5331e-05,-1.542e-12,-1.5324e-05,4.375
10.0,1.5533e-05,-2e-12,-1.5542e-05,4.5
10.0,1.575e-05,-2.134e-12,-1.5759e-05,4.625
10.0,1.5943e-05,-2.38e-12,-1.5951e-05,4.75
10.0,1.6141e-05,-1.036e-12,-1.6147e-05,4.875
10.0,1.6322e-05,-1.28e-12,-1.6333e-05,5.0
10.0,1.6503e-05,-1.46e-12,-1.6509e-05,5.125
10.0,1.6681e-05,-9.16e-13,-1.6678e-05,5.25
10.0,1.6846e-05,-1.5e-12,-1.684e-05,5.375
10.0,1.6996e-05,-2.23e-12,-1.7001e-05,5.5
10.0,1.7148e-05,-1.352e-12,-1.7156e-05,5.625
10.0,1.7303e-05,-1.414e-12,-1.7293e-05,5.75
10.0,1.7439e-05,-1.282e-12,-1.7437e-05,5.875
10.0,1.7575e-05,-1.946e-12,-1.7574e-05,6.0
10.0,1.7706e-05,-7.86e-13,-1.7707e-05,6.125
10.0,1.783e-05,-5.38e-13,-1.7832e-05,6.25
10.0,1.7951e-05,-1.296e-12,-1.7956e-05,6.375
10.0,1.8073e-05,-1.2e-12,-1.808e-05,6.5
10.0,1.818e-05,-1.678e-12,-1.8181e-05,6.625
10.0,1.8294e-05,-1.41e-12,-1.8299e-05,6.75
10.0,1.8409e-05,-1.018e-12,-1.8406e-05,6.875
10.0,1.8504e-05,-8.78e-13,-1.851e-05,7.0
10.0,1.8602e-05,-8.48e-13,-1.8611e-05,7.125
10.0,1.8714e-05,-5.6e-14,-1.8714e-05,7.25
10.0,1.8807e-05,-2.028e-12,-1.8811e-05,7.375
10.0,1.8894e-05,-1.994e-12,-1.89e-05,7.5
10.0,1.8983e-05,-1.928e-12,-1.8996e-05,7.625
10.0,1.9076e-05,-1.972e-12,-1.9082e-05,7.75
10.0,1.916e-05,-1.63e-12,-1.9169e-05,7.875
10.0,1.9252e-05,-1.574e-12,-1.9255e-05,8.0
10.0,1.9329e-05,-1.414e-12,-1.9337e-05,8.125
10.0,1.9406e-05,-1.308e-12,-1.9414e-05,8.25
10.0,1.9498e-05,-9.24e-13,-1.9494e-05,8.375
