I_BG,I_S,I_D,V_BG,V_S,V_D
-5.9e-13,1.12e-13,1.186e-12,-2.0,0.0,0.1
-6.9e-13,4.04e-13,1.444e-12,-1.9,0.0,0.1
-6.7e-13,1.104e-12,1.158e-12,-1.8,0.0,0.1
-1.05e-12,2e-15,7.8e-13,-1.7,0.0,0.1
-2.4e-13,7.46e-13,1.066e-12,-1.6,0.0,0.1
-5.32e-13,1.25e-12,7.9e-13,-1.5,0.0,0.1
-1.106e-12,-9.8e-14,1.04e-12,-1.4,0.0,0.1
-1.44e-13,7.48e-13,1.158e-12,-1.3,0.0,0.1
-7.34e-13,1.22e-12,4.9e-13,-1.2,0.0,0.1
-6.94e-13,1.38e-13,9.56e-13,-1.1,0.0,0.1
1.22e-13,2.82e-13,1.254e-12,-1.0,0.0,0.1
-3.64e-13,1.534e-12,7.92e-13,-0.9,0.0,0.1
-7.7e-13,-3.2e-13,6.18e-13,-0.8,0.0,0.1
2.38e-13,9.96e-13,1.586e-12,-0.7,0.0,0.1
-2.46e-13,2.228e-12,7.28e-13,-0.6,0.0,0.1
-3.62e-13,-6.58e-13,6.82e-13,-0.5,0.0,0.1
2.48e-13,3.98e-13,1.324e-12,-0.4,0.0,0.1
1.6e-14,1.036e-12,5.3e-13,-0.3,0.0,0.1
-2.92e-13,-7.98e-13,7.22e-13,-0.2,0.0,0.1
2.6e-13,1.47e-12,1.432e-12,-0.1,0.0,0.1
-1.28e-13,9.8e-14,2.12e-13,0.0,0.0,0.1
-4.66e-13,-3.8e-13,6.5e-13,0.1,0.0,0.1
-2.12e-13,1.006e-12,1.24e-12,0.2,0.0,0.1
-2.16e-13,5.32e-13,2.74e-13,0.3,0.0,0.1
-5.08e-13,-4.76e-13,5.18e-13,0.4,0.0,0.1
-3.8e-14,7.18e-13,9.52e-13,0.5,0.0,0.1
-2.44e-13,2.88e-13,1.02e-13,0.6,0.0,0.1
-5e-14,4.06e-13,6.44e-13,0.7,0.0,0.1
1.94e-13,6.44e-13,5.58e-13,0.8,0.0,0.1
5.18e-13,7.52e-13,-8.2e-14,0.9,0.0,0.1
-8.68e-13,-2.64e-13,5.88e-13,1.0,0.0,0.1
2.56e-13,9.56e-13,8.78e-13,1.1,0.0,0.1
-5e-14,1.38e-12,3e-14,1.2,0.0,0.1
7.4e-14,-2.028e-12,2e-14,1.3,0.0,0.1
1.8e-14,1.08e-12,1.004e-12,1.4,0.0,0.1
-6.2e-14,1.288e-12,8e-14,1.5,0.0,0.1
-4.7e-13,-1.144e-12,8.8e-14,1.6,0.0,0.1
3.54e-13,9.08e-13,5.96e-13,1.7,0.0,0.1
1.98e-13,1.692e-12,-4.2e-14,1.8,0.0,0.1
1.98e-13,-1.93e-12,1.42e-13,1.9,0.0,0.1
4.44e-13,1.67e-12,6.6e-13,2.0,0.0,0.1
5.08e-13,6.26e-13,2.02e-13,2.1,0.0,0.1
-1.94e-13,-1.326e-12,3.24e-13,2.2,0.0,0.1
2.74e-13,5.4e-13,5.7e-13,2.3,0.0,0.1
6e-14,5.72e-13,2.6e-13,2.4,0.0,0.1
-3.22e-13,-6.3e-13,7.6e-14,2.5,0.0,0.1
5.08e-13,1.196e-12,5.54e-13,2.6,0.0,0.1
4.26e-13,6.08e-13,0.0,2.7,0.0,0.1
3.02e-13,-2.8e-13,8.6e-14,2.8,0.0,0.1
8.56e-13,6.5e-13,6.78e-13,2.9,0.0,0.1
8.06e-13,1.274e-12,2.14e-13,3.0,0.0,0.1
1.64e-13,5.4e-14,3.38e-13,3.1,0.0,0.1
9.64e-13,2.94e-13,2.86e-13,3.2,0.0,0.1
9.26e-13,7.76e-13,3.3e-13,3.3,0.0,0.1
2.94e-13,-9.6e-13,1.02e-13,3.4,0.0,0.1
9.08e-13,1.436e-12,6.76e-13,3.5,0.0,0.1
3.64e-13,1.164e-12,-2.24e-13,3.6,0.0,0.1
3.8e-13,-5.98e-13,1e-13,3.7,0.0,0.1
7.86e-13,-2.34e-13,3.72e-13,3.8,0.0,0.1
4.94e-13,2.034e-12,4.28e-13,3.9,0.0,0.1
3.58e-13,-1.644e-12,1.78e-13,4.0,0.0,0.1
1.262e-12,2.02e-13,6.92e-13,4.1,0.0,0.1
6.04e-13,9.9e-13,2.68e-13,4.2,0.0,0.1
4.56e-13,-1.774e-12,5.4e-13,4.3,0.0,0.1
1.252e-12,1.48e-13,1.108e-12,4.4,0.0,0.1
7.08e-13,9.98e-13,6.72e-13,4.5,0.0,0.1
5.66e-13,-2.658e-12,9.66e-13,4.6,0.0,0.1
7.62e-13,-1.44e-12,1.534e-12,4.7,0.0,0.1
8.46e-13,-1.442e-12,2.22e-12,4.8,0.0,0.1
5.76e-13,-3.118e-12,2.594e-12,4.9,0.0,0.1
1.362e-12,-4.724e-12,4.608e-12,5.0,0.0,0.1
7.74e-13,-4.792e-12,6.986e-12,5.1,0.0,0.1
6.4e-14,-1.002e-11,7.72e-12,5.2,0.0,0.1
1.556e-12,-1.1922e-11,1.1814e-11,5.3,0.0,0.1
9.58e-13,-1.126e-11,1.3048e-11,5.4,0.0,0.1
6.4e-13,-2.1304e-11,1.9604e-11,5.5,0.0,0.1
1.346e-12,-2.9516e-11,2.4092e-11,5.6,0.0,0.1
1.308e-12,-2.9034e-11,3.1638e-11,5.7,0.0,0.1
3.92e-13,-4.5122e-11,3.4988e-11,5.8,0.0,0.1
1.136e-12,-6.499e-11,6.277e-11,5.9,0.0,0.1
9.78e-13,-1.0016e-10,1.05472e-10,6.0,0.0,0.1
