I_BG,I_S,I_D,V_BG,V_S,V_D
-5.1e-13,1.92e-13,4.74e-13,-2.07,0.0,0.1
-4.36e-13,1.714e-12,9.24e-13,-1.89,0.0,0.1
-1.18e-12,2.78e-13,1.096e-12,-1.71,0.0,0.1
-2.28e-13,-3.04e-13,8.6e-13,-1.53,0.0,0.1
-6.54e-13,1.94e-12,1.43e-12,-1.35,0.0,0.1
-8.68e-13,-3.8e-13,8.84e-13,-1.17,0.0,0.1
-2.46e-13,6.98e-13,1.12e-12,-0.989,0.0,0.1
-5.48e-13,-2.4e-14,2.68e-13,-0.809,0.0,0.1
-7.7e-13,3.3e-13,1.136e-12,-0.629,0.0,0.1
-3.12e-13,1.008e-12,1.36e-12,-0.449,0.0,0.1
1.3e-13,-7.8e-14,5.14e-13,-0.269,0.0,0.1
-4.52e-13,4.12e-13,2.114e-12,-0.089,0.0,0.1
-5.84e-13,-3.984e-12,4.316e-12,0.091,0.0,0.1
-1.36e-13,-1.3432e-11,1.4674e-11,0.271,0.0,0.1
-3.46e-13,-5.494e-11,5.9066e-11,0.451,0.0,0.1
-9.86e-13,-1.64834e-10,1.63718e-10,0.631,0.0,0.1
-2.54e-13,-3.76522e-10,3.74844e-10,0.811,0.0,0.1
-1.56e-13,-6.86568e-10,6.97718e-10,0.991,0.0,0.1
-3.56e-13,-1.05062e-09,9.865e-10,1.172,0.0,0.1
-2.36e-13,-1.89496e-09,1.85322e-09,1.352,0.0,0.1
1e-14,-3.48012e-09,3.42908e-09,1.532,0.0,0.1
-5.9e-13,-6.06646e-09,5.97074e-09,1.712,0.0,0.1
-4.82e-13,-1.01663e-08,1.001488e-08,1.892,0.0,0.1
-2.32e-13,-1.542e-08,1.50648e-08,2.072,0.0,0.1
3.26e-13,-2.35433e-08,2.3282e-08,2.252,0.0,0.1
-9.08e-13,-3.4298e-08,3.39238e-08,2.432,0.0,0.1
-4.24e-13,-4.78903e-08,4.74701e-08,2.612,0.0,0.1
-3.5e-13,-6.44464e-08,6.37956e-08,2.792,0.0,0.1
-3.08e-13,-8.38229e-08,8.34599e-08,2.972,0.0,0.1
-5.22e-13,-1.06138e-07,1.054446e-07,3.152,0.0,0.1
-3.9e-13,-1.3095e-07,1.3087e-07,3.333,0.0,0.1
-4.72e-13,-1.5853e-07,1.5837e-07,3.513,0.0,0.1
-1.28e-13,-1.8815e-07,1.8811e-07,3.693,0.0,0.1
-3.02e-13,-2.195e-07,2.1968e-07,3.873,0.0,0.1
3.2e-14,-2.5326e-07,2.53e-07,4.053,0.0,0.1
-5.92e-13,-2.8777e-07,2.8779e-07,4.233,0.0,0.1
4.96e-13,-3.2392e-07,3.2384e-07,4.413,0.0,0.1
-5.42e-13,-3.6144e-07,3.6094e-07,4.593,0.0,0.1
-2.54e-13,-3.9938e-07,3.9941e-07,4.773,0.0,0.1
-6.54e-13,-4.3909e-07,4.3943e-07,4.953,0.0,0.1
-1.3e-13,-4.7965e-07,4.7895e-07,5.133,0.0,0.1
1e-14,-5.2123e-07,5.2152e-07,5.314,0.0,0.1
-4.32e-13,-5.6396e-07,5.6376e-07,5.494,0.0,0.1
1.1e-13,-6.0709e-07,6.0683e-07,5.674,0.0,0.1
-1.58e-13,-6.5096e-07,6.51e-07,5.854,0.0,0.1
3.74e-13,-6.9511e-07,6.9518e-07,6.034,0.0,0.1
-6.96e-13,-7.4143e-07,7.4069e-07,6.214,0.0,0.1
-3e-14,-7.8588e-07,7.8638e-07,6.394,0.0,0.1
-3.3e-13,-8.3274e-07,8.3325e-07,6.574,0.0,0.1
-8.38e-13,-8.7988e-07,8.7874e-07,6.754,0.0,0.1
-1.04e-13,-9.2765e-07,9.2812e-07,6.934,0.0,0.1
-2.8e-13,-9.7661e-07,9.7629e-07,7.114,0.0,0.1
1.6e-14,-1.02547e-06,1.02538e-06,7.294,0.0,0.1
-4.82e-13,-1.07495e-06,1.07501e-06,7.475,0.0,0.1
2.76e-13,-1.12471e-06,1.1253e-06,7.655,0.0,0.1
-1.28e-13,-1.1743e-06,1.1744e-06,7.835,0.0,0.1
-8.24e-13,-1.2257e-06,1.2239e-06,8.015,0.0,0.1
4.6e-14,-1.2768e-06,1.277e-06,8.195,0.0,0.1
-4.32e-13,-1.3285e-06,1.328e-06,8.375,0.0,0.1
-2.78e-13,-1.3811e-06,1.38e-06,8.555,0.0,0.1
1.26e-13,-1.4321e-06,1.433e-06,8.735,0.0,0.1
-1.98e-13,-1.4878e-06,1.4857e-06,8.915,0.0,0.1
2.08e-13,-1.5388e-06,1.5386e-06,9.095,0.0,0.1
-3.26e-13,-1.5931e-06,1.5931e-06,9.275,0.0,0.1
3.36e-13,-1.6474e-06,1.6464e-06,9.455,0.0,0.1
-4.42e-13,-1.701e-06,1.7005e-06,9.636,0.0,0.1
4.44e-13,-1.7558e-06,1.7555e-06,9.816,0.0,0.1
-1.4e-13,-1.8105e-06,1.8083e-06,9.996,0.0,0.1
6.2e-14,-1.865e-06,1.8662e-06,10.176,0.0,0.1
-5.54e-13,-1.9202e-06,1.9187e-06,10.356,0.0,0.1
6e-15,-1.9757e-06,1.9748e-06,10.536,0.0,0.1
-1.08e-13,-2.0298e-06,2.0307e-06,10.716,0.0,0.1
-2.92e-13,-2.0878e-06,2.0855e-06,10.896,0.0,0.1
-2.16e-13,-2.1405e-06,2.1417e-06,11.076,0.0,0.1
-4.5e-13,-2.199e-06,2.1973e-06,11.256,0.0,0.1
1.64e-13,-2.2545e-06,2.2534e-06,11.436,0.0,0.1
-8.56e-13,-2.3104e-06,2.3101e-06,11.617,0.0,0.1
4.24e-13,-2.3681e-06,2.3674e-06,11.797,0.0,0.1
-3.78e-13,-2.4245e-06,2.4231e-06,11.977,0.0,0.1
2.54e-13,-2.4806e-06,2.4822e-06,12.157,0.0,0.1
-1.62e-13,-2.5383e-06,2.5351e-06,12.337,0.0,0.1
1.14e-13,-2.5953e-06,2.5962e-06,12.517,0.0,0.1
-1.12e-13,-2.652e-06,2.6512e-06,12.697,0.0,0.1
-3.64e-13,-2.7103e-06,2.7081e-06,12.877,0.0,0.1
3.24e-13,-2.7651e-06,2.7665e-06,13.057,0.0,0.1
-8.6e-14,-2.8266e-06,2.8229e-06,13.237,0.0,0.1
5.52e-13,-2.8805e-06,2.8811e-06,13.417,0.0,0.1
-5.06e-13,-2.9395e-06,2.939e-06,13.597,0.0,0.1
2.68e-13,-2.9979e-06,2.9965e-06,13.778,0.0,0.1
-5.08e-13,-3.0534e-06,3.0535e-06,13.958,0.0,0.1
9.8e-14,-3.1119e-06,3.1119e-06,14.138,0.0,0.1
-3.18e-13,-3.1705e-06,3.1674e-06,14.318,0.0,0.1
6.4e-13,-3.2276e-06,3.2294e-06,14.498,0.0,0.1
-1.86e-13,-3.2855e-06,3.2818e-06,14.678,0.0,0.1
2.94e-13,-3.3437e-06,3.3441e-06,14.858,0.0,0.1
-1.58e-13,-3.4005e-06,3.4007e-06,15.038,0.0,0.1
-4.6e-14,-3.4616e-06,3.4581e-06,15.218,0.0,0.1
-2.74e-13,-3.5153e-06,3.517e-06,15.398,0.0,0.1
-1.98e-13,-3.5782e-06,3.5752e-06,15.578,0.0,0.1
1e-13,-3.6336e-06,3.6326e-06,15.758,0.0,0.1
-1.5e-13,-3.6917e-06,3.6917e-06,15.939,0.0,0.1
2.28e-13,-3.7507e-06,3.7497e-06,16.119,0.0,0.1
-1.84e-13,-3.8085e-06,3.8076e-06,16.299,0.0,0.1
2.82e-13,-3.8672e-06,3.8686e-06,16.479,0.0,0.1
-1.28e-13,-3.926e-06,3.921e-06,16.659,0.0,0.1
