I_BG,I_S,I_D,V_BG,V_S,V_D
-7.9e-13,-4.78e-13,4.27166e-12,-4.0,0.0,0.1
-6.98e-13,-5.66e-13,4.26372e-12,-3.95,0.0,0.1
-7.44e-13,-3.34e-13,4.26266e-12,-3.9,0.0,0.1
-5.24e-13,-7.72e-13,4.29699e-12,-3.85,0.0,0.1
-8.66e-13,-1.21e-12,4.26791e-12,-3.8,0.0,0.1
-5.92e-13,-7.04e-13,4.29977e-12,-3.75,0.0,0.1
-5.76e-13,-1e-12,4.27757e-12,-3.7,0.0,0.1
-6.22e-13,-6.98e-13,4.31658e-12,-3.65,0.0,0.1
-6.36e-13,-3.98e-13,4.28314e-12,-3.6,0.0,0.1
-8.24e-13,-3.88e-13,4.29163e-12,-3.55,0.0,0.1
-1.16e-12,-6.2e-13,4.27433e-12,-3.5,0.0,0.1
-6.32e-13,-8.34e-13,4.2694e-12,-3.45,0.0,0.1
-2.08e-13,-9.6e-13,4.29648e-12,-3.4,0.0,0.1
-8.66e-13,-6.62e-13,4.26893e-12,-3.35,0.0,0.1
-7.62e-13,-1.18e-13,4.29997e-12,-3.3,0.0,0.1
-1.14e-12,-1.6e-13,4.29328e-12,-3.25,0.0,0.1
-5.18e-13,-8.36e-13,4.3072e-12,-3.2,0.0,0.1
-5.04e-13,-6.24e-13,4.31078e-12,-3.15,0.0,0.1
-2.94e-13,-3.94e-13,4.30448e-12,-3.1,0.0,0.1
-6.96e-13,-6.6e-13,4.32245e-12,-3.05,0.0,0.1
-7.74e-13,-3.72e-13,4.35874e-12,-3.0,0.0,0.1
-8.7e-13,-2.96e-13,4.30092e-12,-2.95,0.0,0.1
-7.06e-13,-4.94e-13,4.30249e-12,-2.9,0.0,0.1
-5.94e-13,-8.18e-13,4.35298e-12,-2.85,0.0,0.1
-3.72e-13,4e-14,4.31172e-12,-2.8,0.0,0.1
-2.48e-13,-6.5e-13,4.32939e-12,-2.75,0.0,0.1
-8.18e-13,-1.58e-13,4.29046e-12,-2.7,0.0,0.1
-7.56e-13,-7.42e-13,4.2847e-12,-2.65,0.0,0.1
-5.4e-13,-1.004e-12,4.27459e-12,-2.6,0.0,0.1
-8.38e-13,-1.186e-12,4.30369e-12,-2.55,0.0,0.1
-4e-13,-6.02e-13,4.27887e-12,-2.5,0.0,0.1
-6.6e-13,-1.106e-12,4.2908e-12,-2.45,0.0,0.1
-2.86e-13,-7.16e-13,4.28437e-12,-2.4,0.0,0.1
-1.66e-13,-5.48e-13,4.30703e-12,-2.35,0.0,0.1
-8.88e-13,-2.18e-13,4.32625e-12,-2.3,0.0,0.1
-1.056e-12,-8.76e-13,4.33759e-12,-2.25,0.0,0.1
-4.64e-13,-7.66e-13,4.32675e-12,-2.2,0.0,0.1
-4.86e-13,2.36e-13,4.29388e-12,-2.15,0.0,0.1
-5.22e-13,-6.7e-13,4.30273e-12,-2.1,0.0,0.1
-5.4e-13,-4.78e-13,4.31991e-12,-2.05,0.0,0.1
-7.02e-13,-1.1e-13,4.3222e-12,-2.0,0.0,0.1
-7.42e-13,-7.48e-13,4.28913e-12,-1.95,0.0,0.1
-5.38e-13,-9.78e-13,4.31248e-12,-1.9,0.0,0.1
-3.94e-13,-7.42e-13,4.34359e-12,-1.85,0.0,0.1
-2.7e-13,-4.68e-13,4.33188e-12,-1.8,0.0,0.1
-5.1e-13,-4.62e-13,4.29505e-12,-1.75,0.0,0.1
-5.16e-13,-6.7e-13,4.31169e-12,-1.7,0.0,0.1
-8.62e-13,-4.48e-13,4.32622e-12,-1.65,0.0,0.1
-6.56e-13,-1.294e-12,4.29104e-12,-1.6,0.0,0.1
-7.56e-13,-8.32e-13,4.32949e-12,-1.55,0.0,0.1
-5.14e-13,-8.02e-13,4.28503e-12,-1.5,0.0,0.1
-5.02e-13,-3.82e-13,4.31219e-12,-1.45,0.0,0.1
-7e-13,-3.26e-13,4.31427e-12,-1.4,0.0,0.1
-7.48e-13,-4.42e-13,4.29845e-12,-1.35,0.0,0.1
-6.06e-13,-9.64e-13,4.3063e-12,-1.3,0.0,0.1
-7.46e-13,-1.028e-12,4.33996e-12,-1.25,0.0,0.1
5.6e-14,-8.72e-13,4.29374e-12,-1.2,0.0,0.1
-8.1e-13,-4.92e-13,4.28715e-12,-1.15,0.0,0.1
-2.62e-13,-4.28e-13,4.32485e-12,-1.1,0.0,0.1
-7.9e-13,-6.56e-13,4.32512e-12,-1.05,0.0,0.1
-1.17e-12,-5.56e-13,4.31175e-12,-1.0,0.0,0.1
-9.76e-13,-1.086e-12,4.30043e-12,-0.95,0.0,0.1
-5.22e-13,-1.142e-12,4.34107e-12,-0.9,0.0,0.1
-2.76e-13,-9.34e-13,4.33185e-12,-0.85,0.0,0.1
-7.32e-13,-6.6e-14,4.29839e-12,-0.8,0.0,0.1
-7.8e-13,-7.96e-13,4.3156e-12,-0.75,0.0,0.1
-7.16e-13,-9.6e-14,4.32533e-12,-0.7,0.0,0.1
-5.26e-13,-9.82e-13,4.33927e-12,-0.65,0.0,0.1
-6.18e-13,-6.1e-13,4.3386e-12,-0.6,0.0,0.1
-2.26e-13,-7.24e-13,4.31341e-12,-0.55,0.0,0.1
-6.34e-13,-9.8e-13,4.31751e-12,-0.5,0.0,0.1
-7.58e-13,-5.64e-13,4.3127e-12,-0.45,0.0,0.1
-6.72e-13,-3.12e-13,4.3211e-12,-0.4,0.0,0.1
-7.92e-13,-8.42e-13,4.32159e-12,-0.35,0.0,0.1
-5.16e-13,-7.5e-13,4.318e-12,-0.3,0.0,0.1
-4.18e-13,-8e-13,4.32241e-12,-0.25,0.0,0.1
-5.46e-13,-7.6e-13,4.33994e-12,-0.2,0.0,0.1
-4.22e-13,-1.8e-14,4.35024e-12,-0.15,0.0,0.1
-4.46e-13,-4.74e-13,4.30427e-12,-0.1,0.0,0.1
-8.88e-13,-1.106e-12,4.32384e-12,-0.05,0.0,0.1
-9.16e-13,-9.5e-13,4.38121e-12,0.0,0.0,0.1
-2.94e-13,-8.14e-13,4.32712e-12,0.05,0.0,0.1
-1.02e-12,-7.3e-13,4.35439e-12,0.1,0.0,0.1
-6.14e-13,-5.54e-13,4.40158e-12,0.15,0.0,0.1
-1.096e-12,-6.06e-13,4.4803e-12,0.2,0.0,0.1
-7.06e-13,-1.164e-12,4.5646e-12,0.25,0.0,0.1
-6.86e-13,-1.384e-12,4.7357e-12,0.3,0.0,0.1
-9.04e-13,-1.084e-12,4.94727e-12,0.35,0.0,0.1
-6.2e-13,-2.802e-12,5.38653e-12,0.4,0.0,0.1
