I_BG,I_S,I_D,V_BG,V_S,V_D
-4.98e-13,-5.28e-13,4.66e-13,-1.0,0.0,0.1
-8.36e-13,7.52e-13,1.468e-12,-0.8,0.0,0.1
-3e-13,9.4e-13,8.94e-13,-0.6,0.0,0.1
8.2e-14,-3.64e-13,6.22e-13,-0.4,0.0,0.1
3.4e-14,1.566e-12,1.234e-12,-0.2,0.0,0.1
-7.6e-13,-2.48e-13,3.1e-13,0.0,0.0,0.1
1e-13,2.48e-13,8.28e-13,0.2,0.0,0.1
1.4e-14,4.44e-13,-3.1e-13,0.4,0.0,0.1
-3.98e-13,1.636e-12,9.96e-13,0.6,0.0,0.1
8.6e-14,7.58e-13,7.6e-13,0.8,0.0,0.1
3.34e-13,-1.042e-12,-4.6e-13,1.0,0.0,0.1
1.62e-13,2.888e-12,1.21e-12,1.2,0.0,0.1
-7.8e-14,-2.92e-13,-3.8e-14,1.4,0.0,0.1
-1.8e-14,6.24e-13,4.74e-13,1.6,0.0,0.1
4.22e-13,8.58e-13,-4.78e-13,1.8,0.0,0.1
2.68e-13,-6.68e-13,6.6e-14,2.0,0.0,0.1
6.2e-13,1.264e-12,4.84e-13,2.2,0.0,0.1
9.64e-13,6.38e-13,-3.62e-13,2.4,0.0,0.1
1.22e-13,6.38e-13,9.24e-13,2.6,0.0,0.1
3.22e-13,-1.34e-13,-6e-15,2.8,0.0,0.1
9.72e-13,-4.7e-13,-1.04e-13,3.0,0.0,0.1
8.9e-13,1.928e-12,1.94e-13,3.2,0.0,0.1
6.28e-13,-7.14e-13,-1.02e-13,3.4,0.0,0.1
1.106e-12,6.26e-13,1.14e-13,3.6,0.0,0.1
1.146e-12,4.8e-13,-5.38e-13,3.8,0.0,0.1
9.12e-13,-4.04e-13,2.84e-13,4.0,0.0,0.1
8.58e-13,4.64e-13,1.54e-13,4.2,0.0,0.1
8.82e-13,-6.44e-13,-5.4e-13,4.4,0.0,0.1
1.15e-12,7.98e-13,5e-13,4.6,0.0,0.1
9.66e-13,-4.62e-13,3.22e-13,4.8,0.0,0.1
1.514e-12,-1.006e-12,3.08e-13,5.0,0.0,0.1
1.056e-12,4.14e-13,2.46e-13,5.2,0.0,0.1
1.208e-12,-2.218e-12,1.248e-12,5.4,0.0,0.1
1.812e-12,-1.86e-12,3.796e-12,5.6,0.0,0.1
1.782e-12,-1.1436e-11,1.0542e-11,5.8,0.0,0.1
1.108e-12,-2.9312e-11,3.3768e-11,6.0,0.0,0.1
1.202e-12,-8.1384e-11,8.4102e-11,6.2,0.0,0.1
2.146e-12,-2.1711e-10,2.14108e-10,6.4,0.0,0.1
1.414e-12,-3.60558e-10,3.48212e-10,6.6,0.0,0.1
1.79e-12,-4.1712e-10,4.52672e-10,6.8,0.0,0.1
1.466e-12,-7.5357e-10,7.95952e-10,7.0,0.0,0.1
1.866e-12,-9.55754e-10,9.9881e-10,7.2,0.0,0.1
1.366e-12,-1.69454e-09,1.51618e-09,7.4,0.0,0.1
1.304e-12,-1.83592e-09,1.78914e-09,7.6,0.0,0.1
1.418e-12,-1.95166e-09,1.86292e-09,7.8,0.0,0.1
1.82e-12,-2.38248e-09,2.35768e-09,8.0,0.0,0.1
1.93e-12,-3.2967e-09,3.328e-09,8.2,0.0,0.1
1.716e-12,-4.18648e-09,4.0758e-09,8.4,0.0,0.1
1.484e-12,-5.87456e-09,5.4906e-09,8.6,0.0,0.1
2.102e-12,-6.44018e-09,6.38258e-09,8.8,0.0,0.1
2.182e-12,-6.72098e-09,6.72922e-09,9.0,0.0,0.1
