,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,1.66e-09,2e-11,-1.66e-09,0.0
1,1.785e-06,0.0,-1.7853e-06,0.1
2,3.4954e-06,0.0,-3.4955e-06,0.2
3,5.1411e-06,0.0,-5.1407e-06,0.3
4,6.7375e-06,0.0,-6.7374e-06,0.4
5,8.2844e-06,0.0,-8.2826e-06,0.5
6,9.7826e-06,2e-11,-9.7832e-06,0.6
7,1.12443e-05,0.0,-1.12429e-05,0.7
8,1.2658e-05,0.0,-1.266e-05,0.8
9,1.404e-05,2e-11,-1.4042e-05,0.9
10,1.538e-05,0.0,-1.5378e-05,1.0
11,1.5338e-05,0.0,-1.5336e-05,1.0
12,1.3918e-05,0.0,-1.3916e-05,0.9
13,1.247e-05,0.0,-1.2474e-05,0.8
14,1.1e-05,0.0,-1.0998e-05,0.7
15,9.5102e-06,0.0,-9.5089e-06,0.6
16,7.9885e-06,0.0,-7.9898e-06,0.5
17,6.4471e-06,0.0,-6.4469e-06,0.4
18,4.8748e-06,0.0,-4.8751e-06,0.3
19,3.279e-06,0.0,-3.2785e-06,0.2
20,1.6536e-06,0.0,-1.653e-06,0.1
21,4.8e-10,0.0,-6e-11,0.0
