,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,1.56e-09,0.0,-1.26e-09,0.0
1,1.9112e-06,2e-11,-1.9102e-06,0.1
2,3.7295e-06,0.0,-3.7281e-06,0.2
3,5.4775e-06,0.0,-5.4772e-06,0.3
4,7.1654e-06,0.0,-7.1649e-06,0.4
5,8.8032e-06,0.0,-8.8031e-06,0.5
6,1.03846e-05,0.0,-1.03877e-05,0.6
7,1.1916e-05,0.0,-1.1916e-05,0.7
8,1.3398e-05,0.0,-1.3394e-05,0.8
9,1.4836e-05,0.0,-1.4838e-05,0.9
10,1.623e-05,0.0,-1.6234e-05,1.0
11,1.6184e-05,2e-11,-1.6178e-05,1.0
12,1.4676e-05,0.0,-1.4676e-05,0.9
13,1.3148e-05,0.0,-1.3152e-05,0.8
14,1.1604e-05,0.0,-1.1606e-05,0.7
15,1.0034e-05,0.0,-1.0032e-05,0.6
16,8.428e-06,0.0,-8.4282e-06,0.5
17,6.8034e-06,0.0,-6.8025e-06,0.4
18,5.1462e-06,0.0,-5.1461e-06,0.3
19,3.4598e-06,0.0,-3.4602e-06,0.2
20,1.7446e-06,0.0,-1.7449e-06,0.1
21,1.7e-09,0.0,-5.6e-10,0.0
