,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,2.2e-10,0.0,-2.6e-10,0.0
1,6.39e-07,2e-11,-6.3914e-07,0.1
2,1.2533e-06,0.0,-1.2537e-06,0.2
3,1.8491e-06,0.0,-1.8489e-06,0.3
4,2.4288e-06,0.0,-2.4288e-06,0.4
5,2.9908e-06,0.0,-2.9917e-06,0.5
6,3.5394e-06,0.0,-3.5385e-06,0.6
7,4.0698e-06,0.0,-4.0707e-06,0.7
8,4.5921e-06,0.0,-4.5929e-06,0.8
9,5.0971e-06,-2e-11,-5.0992e-06,0.9
10,5.5918e-06,0.0,-5.5927e-06,1.0
11,5.5762e-06,0.0,-5.577e-06,1.0
12,5.0598e-06,2e-11,-5.0607e-06,0.9
13,4.5333e-06,0.0,-4.5323e-06,0.8
14,3.9979e-06,0.0,-3.9981e-06,0.7
15,3.4557e-06,0.0,-3.4547e-06,0.6
16,2.8996e-06,-2e-11,-2.8998e-06,0.5
17,2.3377e-06,2e-11,-2.3381e-06,0.4
18,1.7666e-06,0.0,-1.7668e-06,0.3
19,1.1878e-06,0.0,-1.188e-06,0.2
20,5.9828e-07,0.0,-5.9872e-07,0.1
21,1.6e-10,0.0,-7.2e-10,0.0
