,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,1.4e-10,0.0,-1.2e-10,0.0
1,4.6092e-07,0.0,-4.6098e-07,0.1
2,9.0446e-07,0.0,-9.0502e-07,0.2
3,1.3354e-06,2e-11,-1.3359e-06,0.3
4,1.7551e-06,0.0,-1.7551e-06,0.4
5,2.1646e-06,0.0,-2.1641e-06,0.5
6,2.5653e-06,0.0,-2.5652e-06,0.6
7,2.9539e-06,0.0,-2.9555e-06,0.7
8,3.3369e-06,0.0,-3.3362e-06,0.8
9,3.7104e-06,0.0,-3.7096e-06,0.9
10,4.0715e-06,0.0,-4.0719e-06,1.0
11,4.0651e-06,0.0,-4.0666e-06,1.0
12,3.6861e-06,0.0,-3.6859e-06,0.9
13,3.3011e-06,0.0,-3.301e-06,0.8
14,2.9099e-06,2e-11,-2.9105e-06,0.7
15,2.5132e-06,0.0,-2.5131e-06,0.6
16,2.1107e-06,0.0,-2.1107e-06,0.5
17,1.7019e-06,0.0,-1.7017e-06,0.4
18,1.2857e-06,0.0,-1.2858e-06,0.3
19,8.6378e-07,-2e-11,-8.6344e-07,0.2
20,4.3488e-07,0.0,-4.3502e-07,0.1
21,2.2e-10,0.0,-4.2e-10,0.0
