,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,3.8e-10,0.0,-2.8e-10,0.0
1,4.2414e-07,0.0,-4.2398e-07,0.1
2,8.2944e-07,-2e-11,-8.2954e-07,0.2
3,1.2197e-06,2e-11,-1.2197e-06,0.3
4,1.6011e-06,0.0,-1.6016e-06,0.4
5,1.9694e-06,2e-11,-1.9693e-06,0.5
6,2.3263e-06,0.0,-2.3267e-06,0.6
7,2.6746e-06,0.0,-2.6749e-06,0.7
8,3.0134e-06,0.0,-3.0139e-06,0.8
9,3.3422e-06,0.0,-3.3425e-06,0.9
10,3.6624e-06,0.0,-3.6616e-06,1.0
11,3.6521e-06,0.0,-3.6529e-06,1.0
12,3.3108e-06,2e-11,-3.3113e-06,0.9
13,2.9663e-06,0.0,-2.9678e-06,0.8
14,2.6192e-06,-2e-11,-2.6193e-06,0.7
15,2.2631e-06,2e-11,-2.2637e-06,0.6
16,1.9018e-06,2e-11,-1.9025e-06,0.5
17,1.5339e-06,0.0,-1.5334e-06,0.4
18,1.1597e-06,0.0,-1.1597e-06,0.3
19,7.798e-07,0.0,-7.7924e-07,0.2
20,3.9286e-07,0.0,-3.927e-07,0.1
21,1.8e-10,0.0,-4e-10,0.0
