,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,5.8e-10,0.0,-4e-10,0.0
1,8.2132e-07,0.0,-8.2082e-07,0.1
2,1.6104e-06,0.0,-1.61e-06,0.2
3,2.375e-06,0.0,-2.3747e-06,0.3
4,3.1199e-06,0.0,-3.1194e-06,0.4
5,3.846e-06,0.0,-3.8463e-06,0.5
6,4.5513e-06,0.0,-4.5529e-06,0.6
7,5.2418e-06,0.0,-5.2419e-06,0.7
8,5.9093e-06,0.0,-5.9103e-06,0.8
9,6.5616e-06,0.0,-6.5625e-06,0.9
10,7.196e-06,0.0,-7.1965e-06,1.0
11,7.1749e-06,0.0,-7.1741e-06,1.0
12,6.5154e-06,0.0,-6.5143e-06,0.9
13,5.8421e-06,0.0,-5.841e-06,0.8
14,5.1552e-06,2e-11,-5.1551e-06,0.7
15,4.4583e-06,0.0,-4.4588e-06,0.6
16,3.7496e-06,0.0,-3.7501e-06,0.5
17,3.0264e-06,0.0,-3.0266e-06,0.4
18,2.2904e-06,0.0,-2.2913e-06,0.3
19,1.5406e-06,2e-11,-1.5411e-06,0.2
20,7.7718e-07,0.0,-7.7712e-07,0.1
21,1.06e-09,0.0,-6.4e-10,0.0
