,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,1e-10,2.4e-10,-3.2e-10,0.0
1,7.5208e-07,2.2e-10,-7.5246e-07,0.1
2,1.469e-06,6e-11,-1.4695e-06,0.2
3,2.1575e-06,2e-11,-2.1583e-06,0.3
4,2.8247e-06,2e-11,-2.826e-06,0.4
5,3.4701e-06,2e-11,-3.4694e-06,0.5
6,4.092e-06,0.0,-4.0917e-06,0.6
7,4.6971e-06,0.0,-4.6962e-06,0.7
8,5.2868e-06,0.0,-5.2869e-06,0.8
9,5.8579e-06,0.0,-5.8577e-06,0.9
10,6.4117e-06,0.0,-6.4122e-06,1.0
11,6.3918e-06,2e-11,-6.3934e-06,1.0
12,5.8019e-06,2e-11,-5.8044e-06,0.9
13,5.2044e-06,0.0,-5.2041e-06,0.8
14,4.5955e-06,2e-11,-4.5957e-06,0.7
15,3.9753e-06,0.0,-3.9765e-06,0.6
16,3.3426e-06,0.0,-3.3421e-06,0.5
17,2.6988e-06,2e-11,-2.6977e-06,0.4
18,2.0411e-06,0.0,-2.0419e-06,0.3
19,1.3731e-06,0.0,-1.3732e-06,0.2
20,6.927e-07,2e-11,-6.9306e-07,0.1
21,1.6e-10,0.0,-6.2e-10,0.0
