,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,4.4e-10,0.0,-6.4e-10,0.0
1,1.9164e-06,0.0,-1.915e-06,0.1
2,3.7571e-06,2e-11,-3.7578e-06,0.2
3,5.5392e-06,2e-11,-5.5413e-06,0.3
4,7.2705e-06,0.0,-7.2731e-06,0.4
5,8.9531e-06,-2e-11,-8.9536e-06,0.5
6,1.05871e-05,0.0,-1.05865e-05,0.6
7,1.218e-05,0.0,-1.2178e-05,0.7
8,1.3732e-05,0.0,-1.3734e-05,0.8
9,1.5246e-05,0.0,-1.5248e-05,0.9
10,1.672e-05,0.0,-1.672e-05,1.0
11,1.6684e-05,2e-11,-1.668e-05,1.0
12,1.5122e-05,0.0,-1.5122e-05,0.9
13,1.3552e-05,0.0,-1.3552e-05,0.8
14,1.1952e-05,2e-11,-1.195e-05,0.7
15,1.0322e-05,0.0,-1.0322e-05,0.6
16,8.6717e-06,0.0,-8.6697e-06,0.5
17,6.9925e-06,0.0,-6.9944e-06,0.4
18,5.2867e-06,0.0,-5.2874e-06,0.3
19,3.5543e-06,0.0,-3.5548e-06,0.2
20,1.7928e-06,0.0,-1.7919e-06,0.1
21,3e-10,0.0,-4e-10,0.0
