,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,8.2e-10,0.0,-9.4e-10,0.0
1,1.02124e-06,0.0,-1.02066e-06,0.1
2,1.9983e-06,0.0,-1.9986e-06,0.2
3,2.9465e-06,0.0,-2.946e-06,0.3
4,3.8697e-06,-2e-11,-3.8689e-06,0.4
5,4.7628e-06,0.0,-4.763e-06,0.5
6,5.6345e-06,0.0,-5.6345e-06,0.6
7,6.4834e-06,0.0,-6.4825e-06,0.7
8,7.3119e-06,0.0,-7.3118e-06,0.8
9,8.1182e-06,0.0,-8.1202e-06,0.9
10,8.9076e-06,0.0,-8.9081e-06,1.0
11,8.8913e-06,0.0,-8.8914e-06,1.0
12,8.0717e-06,0.0,-8.0729e-06,0.9
13,7.232e-06,0.0,-7.2328e-06,0.8
14,6.3812e-06,0.0,-6.3801e-06,0.7
15,5.5162e-06,0.0,-5.5155e-06,0.6
16,4.6349e-06,2e-11,-4.6333e-06,0.5
17,3.7381e-06,0.0,-3.7389e-06,0.4
18,2.8266e-06,0.0,-2.827e-06,0.3
19,1.8998e-06,0.0,-1.9008e-06,0.2
20,9.5778e-07,0.0,-9.5814e-07,0.1
21,2.2e-10,-2e-11,-8.2e-10,0.0
