,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,8.4e-10,0.0,-2.8e-10,0.0
1,1.7199e-06,0.0,-1.7181e-06,0.1
2,3.3776e-06,2e-11,-3.3768e-06,0.2
3,4.9846e-06,0.0,-4.9846e-06,0.3
4,6.5488e-06,0.0,-6.5497e-06,0.4
5,8.0665e-06,0.0,-8.0687e-06,0.5
6,9.5499e-06,0.0,-9.5511e-06,0.6
7,1.09973e-05,0.0,-1.09975e-05,0.7
8,1.2402e-05,0.0,-1.2402e-05,0.8
9,1.3772e-05,0.0,-1.3772e-05,0.9
10,1.5116e-05,0.0,-1.5112e-05,1.0
11,1.5082e-05,0.0,-1.5084e-05,1.0
12,1.3682e-05,0.0,-1.3682e-05,0.9
13,1.2256e-05,0.0,-1.2254e-05,0.8
14,1.0808e-05,0.0,-1.0808e-05,0.7
15,9.3382e-06,0.0,-9.3397e-06,0.6
16,7.8431e-06,0.0,-7.8435e-06,0.5
17,6.326e-06,0.0,-6.326e-06,0.4
18,4.7829e-06,0.0,-4.7847e-06,0.3
19,3.2152e-06,0.0,-3.2164e-06,0.2
20,1.6215e-06,2e-11,-1.6221e-06,0.1
21,6.2e-10,0.0,-8.2e-10,0.0
