,SMU2 Current Measurement (A),SMU1 Current Measurement (A),SMU3 Current Measurement (A),SMU2 Voltage Output (V)
0,8e-11,0.0,-1.2e-10,0.0
1,6.1686e-07,0.0,-6.1682e-07,0.1
2,1.2054e-06,0.0,-1.2057e-06,0.2
3,1.7736e-06,0.0,-1.7737e-06,0.3
4,2.3209e-06,0.0,-2.3212e-06,0.4
5,2.8511e-06,0.0,-2.8508e-06,0.5
6,3.368e-06,0.0,-3.3681e-06,0.6
7,3.8711e-06,0.0,-3.8694e-06,0.7
8,4.3573e-06,0.0,-4.3577e-06,0.8
9,4.8311e-06,2e-11,-4.8299e-06,0.9
10,5.2886e-06,0.0,-5.2897e-06,1.0
11,5.2706e-06,2e-11,-5.27e-06,1.0
12,4.7742e-06,0.0,-4.7753e-06,0.9
13,4.279e-06,0.0,-4.2772e-06,0.8
14,3.7764e-06,0.0,-3.7763e-06,0.7
15,3.2638e-06,0.0,-3.2641e-06,0.6
16,2.7424e-06,0.0,-2.7422e-06,0.5
17,2.2113e-06,0.0,-2.2116e-06,0.4
18,1.6724e-06,0.0,-1.6719e-06,0.3
19,1.1239e-06,0.0,-1.1245e-06,0.2
20,5.6694e-07,0.0,-5.6698e-07,0.1
21,5.8e-10,0.0,-4e-10,0.0
