I_BG,I_S,I_D,V_BG,V_S,V_D
2.422e-12,-3.877e-07,3.886e-07,13.958,0.0,0.1
3.458e-12,-4.1559e-07,4.1576e-07,14.138,0.0,0.1
2.974e-12,-4.4345e-07,4.4937e-07,14.318,0.0,0.1
2.964e-12,-4.7615e-07,4.7882e-07,14.498,0.0,0.1
3.048e-12,-5.0065e-07,4.9907e-07,14.678,0.0,0.1
3.024e-12,-5.3288e-07,5.302e-07,14.858,0.0,0.1
3.3e-12,-5.6356e-07,5.6428e-07,15.038,0.0,0.1
3.324e-12,-5.9787e-07,5.9647e-07,15.218,0.0,0.1
3.31e-12,-6.2732e-07,6.2532e-07,15.398,0.0,0.1
3.27e-12,-6.59e-07,6.6116e-07,15.578,0.0,0.1
3.676e-12,-6.9862e-07,6.9707e-07,15.758,0.0,0.1
3.326e-12,-7.3376e-07,7.3091e-07,15.939,0.0,0.1
3.334e-12,-7.6835e-07,7.6727e-07,16.119,0.0,0.1
3.356e-12,-8.0556e-07,8.0204e-07,16.299,0.0,0.1
3.07e-12,-8.3841e-07,8.3707e-07,16.479,0.0,0.1
3.67e-12,-8.6996e-07,8.6972e-07,16.659,0.0,0.1
3.6e-12,-9.0204e-07,8.9946e-07,16.839,0.0,0.1
3.692e-12,-9.3216e-07,9.2869e-07,17.019,0.0,0.1
3.168e-12,-9.6354e-07,9.6308e-07,17.199,0.0,0.1
3.988e-12,-9.9719e-07,9.9393e-07,17.379,0.0,0.1
3.714e-12,-1.03283e-06,1.02867e-06,17.559,0.0,0.1
3.724e-12,-1.06332e-06,1.06361e-06,17.739,0.0,0.1
3.658e-12,-1.09215e-06,1.08997e-06,17.919,0.0,0.1
3.844e-12,-1.12027e-06,1.11976e-06,18.1,0.0,0.1
3.908e-12,-1.1438e-06,1.1391e-06,18.28,0.0,0.1
3.688e-12,-1.1722e-06,1.1707e-06,18.46,0.0,0.1
3.948e-12,-1.2044e-06,1.2036e-06,18.64,0.0,0.1
4.23e-12,-1.2376e-06,1.2348e-06,18.82,0.0,0.1
4.658e-12,-1.2658e-06,1.2666e-06,19.0,0.0,0.1
3.924e-12,-1.2636e-06,1.2639e-06,19.0,0.0,0.1
3.226e-12,-1.2198e-06,1.2191e-06,18.82,0.0,0.1
3.21e-12,-1.1707e-06,1.1697e-06,18.64,0.0,0.1
3.446e-12,-1.1279e-06,1.1262e-06,18.46,0.0,0.1
3.048e-12,-1.0789e-06,1.0799e-06,18.28,0.0,0.1
3.302e-12,-1.0322e-06,1.0312e-06,18.1,0.0,0.1
3.028e-12,-9.8278e-07,9.793e-07,17.919,0.0,0.1
3.052e-12,-9.3169e-07,9.3091e-07,17.739,0.0,0.1
2.69e-12,-8.797e-07,8.7911e-07,17.559,0.0,0.1
2.514e-12,-8.2592e-07,8.2796e-07,17.379,0.0,0.1
2.284e-12,-7.7524e-07,7.7475e-07,17.199,0.0,0.1
3.078e-12,-7.216e-07,7.2098e-07,17.019,0.0,0.1
1.65e-12,-6.7165e-07,6.7354e-07,16.839,0.0,0.1
2.622e-12,-6.2041e-07,6.2046e-07,16.659,0.0,0.1
2.302e-12,-5.7225e-07,5.7324e-07,16.479,0.0,0.1
2.864e-12,-5.2201e-07,5.2094e-07,16.299,0.0,0.1
2.544e-12,-4.7292e-07,4.73e-07,16.119,0.0,0.1
2.386e-12,-4.2511e-07,4.2341e-07,15.939,0.0,0.1
2.386e-12,-3.7841e-07,3.7723e-07,15.758,0.0,0.1
2.222e-12,-3.3529e-07,3.3275e-07,15.578,0.0,0.1
2.114e-12,-2.9374e-07,2.9158e-07,15.398,0.0,0.1
1.962e-12,-2.5193e-07,2.5281e-07,15.218,0.0,0.1
2.218e-12,-2.1997e-07,2.1965e-07,15.038,0.0,0.1
1.832e-12,-1.8821e-07,1.8992e-07,14.858,0.0,0.1
2.39e-12,-1.5859e-07,1.6066e-07,14.678,0.0,0.1
1.772e-12,-1.3387e-07,1.3299e-07,14.498,0.0,0.1
1.53e-12,-1.1243e-07,1.126e-07,14.318,0.0,0.1
1.432e-12,-9.43267e-08,9.37731e-08,14.138,0.0,0.1
1.198e-12,-8.03267e-08,8.01685e-08,13.958,0.0,0.1
1.716e-12,-6.56057e-08,6.76376e-08,13.778,0.0,0.1
1.41e-12,-5.60192e-08,5.41537e-08,13.597,0.0,0.1
1.692e-12,-4.37101e-08,4.45326e-08,13.417,0.0,0.1
1.3e-12,-3.54262e-08,3.57951e-08,13.237,0.0,0.1
1.786e-12,-2.94172e-08,2.95335e-08,13.057,0.0,0.1
8.18e-13,-2.30006e-08,2.25728e-08,12.877,0.0,0.1
9.36e-13,-1.74311e-08,1.77065e-08,12.697,0.0,0.1
1.552e-12,-1.34443e-08,1.30927e-08,12.517,0.0,0.1
1.208e-12,-1.00417e-08,1.02303e-08,12.337,0.0,0.1
9.58e-13,-7.54468e-09,7.57684e-09,12.157,0.0,0.1
1.3e-12,-5.55678e-09,5.70932e-09,11.977,0.0,0.1
1.162e-12,-3.78056e-09,3.88114e-09,11.797,0.0,0.1
8.6e-13,-2.78686e-09,2.81872e-09,11.617,0.0,0.1
1.166e-12,-2.18228e-09,2.17704e-09,11.436,0.0,0.1
1.286e-12,-1.63058e-09,1.52558e-09,11.256,0.0,0.1
5.78e-13,-1.20246e-09,1.19502e-09,11.076,0.0,0.1
