I_BG,I_S,I_D,V_BG,V_S,V_D
-1.228e-12,-3.16e-13,1.588e-12,-5.0,0.0,0.1
-1.002e-12,8.84e-13,2.098e-12,-4.95,0.0,0.1
-1.22e-12,3.78e-13,1.802e-12,-4.9,0.0,0.1
-9.74e-13,-5.04e-13,1.56e-12,-4.85,0.0,0.1
-1.39e-12,9.6e-13,2.1e-12,-4.8,0.0,0.1
-7.76e-13,8.2e-13,1.934e-12,-4.75,0.0,0.1
-9.76e-13,1.06e-13,1.872e-12,-4.7,0.0,0.1
-1.344e-12,-4.88e-13,2.068e-12,-4.65,0.0,0.1
-8.7e-13,5.6e-13,1.492e-12,-4.6,0.0,0.1
-1.17e-12,8.34e-13,2.068e-12,-4.55,0.0,0.1
-1.332e-12,1.94e-13,1.924e-12,-4.5,0.0,0.1
-1.034e-12,5.72e-13,1.674e-12,-4.45,0.0,0.1
-1.176e-12,6.58e-13,2.106e-12,-4.4,0.0,0.1
-9.04e-13,6e-14,1.732e-12,-4.35,0.0,0.1
-8.4e-13,-7.68e-13,1.522e-12,-4.3,0.0,0.1
-9.94e-13,1.466e-12,2.226e-12,-4.25,0.0,0.1
-9.78e-13,-5.6e-14,1.926e-12,-4.2,0.0,0.1
-7.46e-13,-4.8e-14,1.304e-12,-4.15,0.0,0.1
-1.194e-12,4.94e-13,1.906e-12,-4.1,0.0,0.1
-8.14e-13,3.64e-13,2.012e-12,-4.05,0.0,0.1
-9.62e-13,-3.8e-13,1.51e-12,-4.0,0.0,0.1
-1.572e-12,-3.4e-14,1.764e-12,-3.95,0.0,0.1
-2.82e-13,3.6e-14,1.754e-12,-3.9,0.0,0.1
-1.026e-12,5.44e-13,2.152e-12,-3.85,0.0,0.1
-1.394e-12,-7.6e-14,2.278e-12,-3.8,0.0,0.1
-8.8e-13,5e-14,1.774e-12,-3.75,0.0,0.1
-1.062e-12,1.008e-12,2.278e-12,-3.7,0.0,0.1
-1.136e-12,3.8e-14,1.908e-12,-3.65,0.0,0.1
-1.052e-12,-6.04e-13,1.408e-12,-3.6,0.0,0.1
-1.362e-12,1.498e-12,1.924e-12,-3.55,0.0,0.1
-1.266e-12,6.58e-13,2.036e-12,-3.5,0.0,0.1
-9.64e-13,-3e-13,1.556e-12,-3.45,0.0,0.1
-1.07e-12,8.6e-13,1.746e-12,-3.4,0.0,0.1
-1.032e-12,-4e-15,1.786e-12,-3.35,0.0,0.1
-1.076e-12,5.54e-13,1.826e-12,-3.3,0.0,0.1
-1.528e-12,3.44e-13,1.948e-12,-3.25,0.0,0.1
-6.84e-13,-6.26e-13,2.06e-12,-3.2,0.0,0.1
-1.312e-12,3.9e-13,1.866e-12,-3.15,0.0,0.1
-1.1e-12,2.1e-13,2.148e-12,-3.1,0.0,0.1
-8.12e-13,-6.4e-14,1.644e-12,-3.05,0.0,0.1
-1.304e-12,5.12e-13,2.192e-12,-3.0,0.0,0.1
-1.388e-12,3.98e-13,1.89e-12,-2.95,0.0,0.1
-8.48e-13,-4.36e-13,1.722e-12,-2.9,0.0,0.1
-9.6e-13,7.74e-13,2.018e-12,-2.85,0.0,0.1
-1.28e-12,4e-13,2.094e-12,-2.8,0.0,0.1
-1.054e-12,-5.92e-13,1.446e-12,-2.75,0.0,0.1
-1.552e-12,5.78e-13,2.118e-12,-2.7,0.0,0.1
