I_BG,I_S,I_D,V_BG,V_S,V_D
-4.8e-13,-2.026e-12,2.568e-12,-4.0,0.0,0.1
-5.62e-13,-2.25e-12,2.702e-12,-3.853,0.0,0.1
-1.24e-13,-1.23e-12,2.67e-12,-3.705,0.0,0.1
-4.38e-13,2.456e-12,2.71e-12,-3.558,0.0,0.1
-7.42e-13,-1.428e-12,3.072e-12,-3.411,0.0,0.1
-6.34e-13,-1.822e-12,2.228e-12,-3.264,0.0,0.1
-4.5e-13,2.222e-12,2.36e-12,-3.116,0.0,0.1
-4.4e-13,-7.16e-13,2.928e-12,-2.969,0.0,0.1
1.86e-13,-1.922e-12,2.588e-12,-2.822,0.0,0.1
7.2e-14,8.32e-13,2.492e-12,-2.674,0.0,0.1
-6.82e-13,1.8e-13,2.62e-12,-2.527,0.0,0.1
-1.28e-13,-1.674e-12,2.596e-12,-2.38,0.0,0.1
-4.5e-13,1.206e-12,2.372e-12,-2.233,0.0,0.1
-8.78e-13,5.68e-13,2.64e-12,-2.085,0.0,0.1
-1.24e-13,-2.504e-12,2.634e-12,-1.938,0.0,0.1
7e-14,7.42e-13,2.532e-12,-1.791,0.0,0.1
-5.84e-13,2.222e-12,2.792e-12,-1.643,0.0,0.1
-3.14e-13,-2.694e-12,2.416e-12,-1.496,0.0,0.1
-2.86e-13,7.2e-13,2.54e-12,-1.349,0.0,0.1
-3.4e-13,1.828e-12,2.774e-12,-1.202,0.0,0.1
-2.32e-13,-1.802e-12,3.092e-12,-1.054,0.0,0.1
2.4e-14,-1.014e-12,2.506e-12,-0.907,0.0,0.1
-5.66e-13,7.14e-13,2.754e-12,-0.76,0.0,0.1
-5e-13,-3.108e-12,2.862e-12,-0.612,0.0,0.1
-1.4e-13,-3.44e-13,2.376e-12,-0.465,0.0,0.1
-3.04e-13,1.374e-12,2.556e-12,-0.318,0.0,0.1
-4.6e-14,-2.048e-12,2.666e-12,-0.171,0.0,0.1
-2.44e-13,-1.516e-12,2.454e-12,-0.023,0.0,0.1
-6.72e-13,2.048e-12,2.416e-12,0.124,0.0,0.1
-4.58e-13,-7.64e-13,2.744e-12,0.271,0.0,0.1
-2.2e-13,-2.282e-12,2.95e-12,0.419,0.0,0.1
-3.46e-13,-3.21e-12,6.73e-12,0.566,0.0,0.1
-7.52e-13,-2.8162e-11,2.8738e-11,0.713,0.0,0.1
-3.24e-13,-9.4458e-11,9.0318e-11,0.86,0.0,0.1
4.8e-14,-2.36452e-10,2.39336e-10,1.008,0.0,0.1
-3.22e-13,-5.25192e-10,5.16478e-10,1.155,0.0,0.1
-2.92e-13,-1.061522e-09,1.040912e-09,1.302,0.0,0.1
1e-14,-1.73872e-09,1.69318e-09,1.45,0.0,0.1
-6.08e-13,-2.82602e-09,2.83478e-09,1.597,0.0,0.1
-2.3e-13,-4.35e-09,4.35144e-09,1.744,0.0,0.1
2.4e-14,-6.28338e-09,6.27114e-09,1.891,0.0,0.1
-4.6e-14,-8.63746e-09,8.59636e-09,2.039,0.0,0.1
4.16e-13,-1.12603e-08,1.10999e-08,2.186,0.0,0.1
-8.06e-13,-1.47663e-08,1.45663e-08,2.333,0.0,0.1
1.04e-13,-1.89e-08,1.87079e-08,2.481,0.0,0.1
-6e-15,-2.38384e-08,2.36051e-08,2.628,0.0,0.1
-2.26e-13,-2.9741e-08,2.94188e-08,2.775,0.0,0.1
-5.3e-13,-3.64041e-08,3.61609e-08,2.922,0.0,0.1
1.62e-13,-4.43145e-08,4.40562e-08,3.07,0.0,0.1
-3.44e-13,-5.29836e-08,5.25537e-08,3.217,0.0,0.1
-1.14e-13,-6.26102e-08,6.22149e-08,3.364,0.0,0.1
-1.1e-13,-7.36666e-08,7.30812e-08,3.512,0.0,0.1
2.1e-13,-8.53444e-08,8.48002e-08,3.659,0.0,0.1
-1.4e-14,-9.80349e-08,9.72826e-08,3.806,0.0,0.1
-4.78e-13,-1.113948e-07,1.107989e-07,3.953,0.0,0.1
-3.2e-14,-1.2551e-07,1.2536e-07,4.101,0.0,0.1
-4.76e-13,-1.4153e-07,1.412e-07,4.248,0.0,0.1
-1.16e-13,-1.5781e-07,1.5773e-07,4.395,0.0,0.1
-2.96e-13,-1.7508e-07,1.7492e-07,4.543,0.0,0.1
2.78e-13,-1.9261e-07,1.9245e-07,4.69,0.0,0.1
-2.22e-13,-2.1065e-07,2.1013e-07,4.837,0.0,0.1
-1.94e-13,-2.2882e-07,2.2883e-07,4.985,0.0,0.1
-4e-15,-2.4786e-07,2.4794e-07,5.132,0.0,0.1
-5.6e-13,-2.6722e-07,2.6685e-07,5.279,0.0,0.1
1.94e-13,-2.8681e-07,2.8685e-07,5.426,0.0,0.1
-7.4e-14,-3.0712e-07,3.069e-07,5.574,0.0,0.1
4.14e-13,-3.2777e-07,3.2727e-07,5.721,0.0,0.1
-2.94e-13,-3.4794e-07,3.4736e-07,5.868,0.0,0.1
2.68e-13,-3.6862e-07,3.6898e-07,6.016,0.0,0.1
-3.4e-13,-3.9013e-07,3.9041e-07,6.163,0.0,0.1
-1.84e-13,-4.1217e-07,4.1163e-07,6.31,0.0,0.1
2.92e-13,-4.3437e-07,4.342e-07,6.457,0.0,0.1
-2.06e-13,-4.5711e-07,4.5684e-07,6.605,0.0,0.1
1.34e-13,-4.8002e-07,4.7974e-07,6.752,0.0,0.1
-3.08e-13,-5.03e-07,5.0247e-07,6.899,0.0,0.1
5.78e-13,-5.2547e-07,5.2581e-07,7.047,0.0,0.1
2.1e-13,-5.4989e-07,5.4962e-07,7.194,0.0,0.1
-1.06e-13,-5.7305e-07,5.7257e-07,7.341,0.0,0.1
1.06e-13,-5.9715e-07,5.9708e-07,7.488,0.0,0.1
1.8e-14,-6.207e-07,6.207e-07,7.636,0.0,0.1
6.46e-13,-6.4569e-07,6.4544e-07,7.783,0.0,0.1
-1.62e-13,-6.7026e-07,6.698e-07,7.93,0.0,0.1
3.2e-13,-6.942e-07,6.9459e-07,8.078,0.0,0.1
1.42e-13,-7.1912e-07,7.1902e-07,8.225,0.0,0.1
2.68e-13,-7.4416e-07,7.4342e-07,8.372,0.0,0.1
8.12e-13,-7.6912e-07,7.6941e-07,8.519,0.0,0.1
3.2e-14,-7.9463e-07,7.9466e-07,8.667,0.0,0.1
5.7e-13,-8.2041e-07,8.2001e-07,8.814,0.0,0.1
-7.6e-14,-8.4614e-07,8.457e-07,8.961,0.0,0.1
3.28e-13,-8.7139e-07,8.7196e-07,9.109,0.0,0.1
2.56e-13,-8.9828e-07,8.9798e-07,9.256,0.0,0.1
2.86e-13,-9.2357e-07,9.2284e-07,9.403,0.0,0.1
4.64e-13,-9.4984e-07,9.5051e-07,9.55,0.0,0.1
5.32e-13,-9.7714e-07,9.7683e-07,9.698,0.0,0.1
2.98e-13,-1.00381e-06,1.00325e-06,9.845,0.0,0.1
8.4e-14,-1.03026e-06,1.03014e-06,9.992,0.0,0.1
4.52e-13,-1.0559e-06,1.05691e-06,10.14,0.0,0.1
3.92e-13,-1.08467e-06,1.08393e-06,10.287,0.0,0.1
2.58e-13,-1.11129e-06,1.11031e-06,10.434,0.0,0.1
1.98e-13,-1.13848e-06,1.13925e-06,10.581,0.0,0.1
4.42e-13,-1.1646e-06,1.1652e-06,10.729,0.0,0.1
2.98e-13,-1.1922e-06,1.1909e-06,10.876,0.0,0.1
6.84e-13,-1.2198e-06,1.2204e-06,11.023,0.0,0.1
3.2e-14,-1.2477e-06,1.247e-06,11.171,0.0,0.1
2.14e-13,-1.2754e-06,1.2747e-06,11.318,0.0,0.1
4.2e-14,-1.3027e-06,1.3028e-06,11.465,0.0,0.1
4.22e-13,-1.3322e-06,1.3305e-06,11.612,0.0,0.1
2.56e-13,-1.3586e-06,1.3589e-06,11.76,0.0,0.1
8.12e-13,-1.3887e-06,1.3864e-06,11.907,0.0,0.1
4.52e-13,-1.4145e-06,1.4147e-06,12.054,0.0,0.1
2.3e-13,-1.4446e-06,1.4437e-06,12.202,0.0,0.1
4.96e-13,-1.4716e-06,1.4712e-06,12.349,0.0,0.1
3.58e-13,-1.4997e-06,1.4997e-06,12.496,0.0,0.1
1.01e-12,-1.5284e-06,1.5281e-06,12.643,0.0,0.1
3.5e-13,-1.5566e-06,1.5563e-06,12.791,0.0,0.1
5.34e-13,-1.5854e-06,1.5854e-06,12.938,0.0,0.1
2.46e-13,-1.6136e-06,1.6125e-06,13.085,0.0,0.1
4.66e-13,-1.6426e-06,1.6434e-06,13.233,0.0,0.1
2.76e-13,-1.6715e-06,1.6694e-06,13.38,0.0,0.1
7.42e-13,-1.6999e-06,1.7014e-06,13.527,0.0,0.1
4.52e-13,-1.729e-06,1.7272e-06,13.674,0.0,0.1
8.68e-13,-1.7578e-06,1.7578e-06,13.822,0.0,0.1
7.6e-14,-1.7861e-06,1.7859e-06,13.969,0.0,0.1
5.46e-13,-1.8162e-06,1.8147e-06,14.116,0.0,0.1
3.02e-13,-1.8431e-06,1.8435e-06,14.264,0.0,0.1
3.86e-13,-1.8747e-06,1.8722e-06,14.411,0.0,0.1
5.3e-13,-1.9002e-06,1.9012e-06,14.558,0.0,0.1
3.34e-13,-1.9321e-06,1.9298e-06,14.705,0.0,0.1
1.374e-12,-1.9587e-06,1.959e-06,14.853,0.0,0.1
-1.8e-14,-1.9891e-06,1.9881e-06,15.0,0.0,0.1
8.2e-13,-1.9874e-06,1.9889e-06,15.0,0.0,0.1
1.8e-13,-1.9519e-06,1.9504e-06,14.853,0.0,0.1
4.42e-13,-1.9174e-06,1.9179e-06,14.705,0.0,0.1
1.1e-13,-1.8836e-06,1.8834e-06,14.558,0.0,0.1
7.8e-14,-1.8508e-06,1.8491e-06,14.411,0.0,0.1
-4e-15,-1.8156e-06,1.8165e-06,14.264,0.0,0.1
-7.4e-14,-1.7851e-06,1.7827e-06,14.116,0.0,0.1
2.42e-13,-1.7485e-06,1.7498e-06,13.969,0.0,0.1
-2.62e-13,-1.7187e-06,1.7168e-06,13.822,0.0,0.1
1.36e-13,-1.6839e-06,1.6842e-06,13.674,0.0,0.1
-2.38e-13,-1.6528e-06,1.6523e-06,13.527,0.0,0.1
-5.6e-14,-1.6205e-06,1.6199e-06,13.38,0.0,0.1
-2.02e-13,-1.5879e-06,1.5878e-06,13.233,0.0,0.1
9.2e-14,-1.5561e-06,1.5558e-06,13.085,0.0,0.1
8.8e-14,-1.5239e-06,1.5235e-06,12.938,0.0,0.1
1.52e-13,-1.4922e-06,1.4925e-06,12.791,0.0,0.1
-2.44e-13,-1.4602e-06,1.4593e-06,12.643,0.0,0.1
-1.14e-13,-1.4286e-06,1.4295e-06,12.496,0.0,0.1
-1.8e-13,-1.3973e-06,1.3959e-06,12.349,0.0,0.1
7.6e-14,-1.3657e-06,1.3667e-06,12.202,0.0,0.1
-5.46e-13,-1.3343e-06,1.3336e-06,12.054,0.0,0.1
-2.2e-14,-1.3033e-06,1.3033e-06,11.907,0.0,0.1
-4.68e-13,-1.2724e-06,1.2726e-06,11.76,0.0,0.1
-8.4e-14,-1.2417e-06,1.2409e-06,11.612,0.0,0.1
-9.6e-14,-1.2098e-06,1.2103e-06,11.465,0.0,0.1
-8e-13,-1.181e-06,1.1794e-06,11.318,0.0,0.1
-3.52e-13,-1.1483e-06,1.1494e-06,11.171,0.0,0.1
-5.4e-14,-1.1199e-06,1.1187e-06,11.023,0.0,0.1
-2.58e-13,-1.0881e-06,1.0882e-06,10.876,0.0,0.1
-4.92e-13,-1.0586e-06,1.0583e-06,10.729,0.0,0.1
-9.8e-14,-1.0282e-06,1.0279e-06,10.581,0.0,0.1
-7.4e-13,-9.976e-07,9.9734e-07,10.434,0.0,0.1
-3.26e-13,-9.6775e-07,9.6754e-07,10.287,0.0,0.1
-6.68e-13,-9.3804e-07,9.3773e-07,10.14,0.0,0.1
-5e-14,-9.0715e-07,9.0836e-07,9.992,0.0,0.1
-7.06e-13,-8.7869e-07,8.7821e-07,9.845,0.0,0.1
-3.8e-13,-8.4911e-07,8.485e-07,9.698,0.0,0.1
-4.4e-13,-8.1959e-07,8.2035e-07,9.55,0.0,0.1
-4.84e-13,-7.9047e-07,7.9052e-07,9.403,0.0,0.1
-6.4e-14,-7.6148e-07,7.614e-07,9.256,0.0,0.1
-5.88e-13,-7.3252e-07,7.3276e-07,9.109,0.0,0.1
-3.12e-13,-7.0323e-07,7.038e-07,8.961,0.0,0.1
-2.78e-13,-6.7562e-07,6.7474e-07,8.814,0.0,0.1
-3.54e-13,-6.4644e-07,6.4639e-07,8.667,0.0,0.1
-1.94e-13,-6.1798e-07,6.1863e-07,8.519,0.0,0.1
-4.88e-13,-5.8996e-07,5.8983e-07,8.372,0.0,0.1
-5.88e-13,-5.6201e-07,5.6197e-07,8.225,0.0,0.1
-6.2e-13,-5.3409e-07,5.3416e-07,8.078,0.0,0.1
-5.74e-13,-5.0592e-07,5.063e-07,7.93,0.0,0.1
-6.32e-13,-4.7959e-07,4.7855e-07,7.783,0.0,0.1
-4.06e-13,-4.5142e-07,4.5162e-07,7.636,0.0,0.1
-7.12e-13,-4.2441e-07,4.2508e-07,7.488,0.0,0.1
-2.1e-13,-3.9768e-07,3.9761e-07,7.341,0.0,0.1
-1.46e-13,-3.7062e-07,3.7061e-07,7.194,0.0,0.1
