,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-1.75e-12,6.4e-13,6e-13,-0.5
1,-1.46e-12,1.03e-12,1.34e-12,-0.465
2,-9.7e-13,9e-13,1.02e-12,-0.43
3,-1.28e-12,7e-13,1.46e-12,-0.395
4,-6.6e-13,1.16e-12,8.6e-13,-0.36
5,-6.2e-13,7.9e-13,1.38e-12,-0.325
6,2.5e-13,4e-13,1.21e-12,-0.29
7,-5.8e-13,1e-12,1.21e-12,-0.255
8,-1.8e-13,3.2e-13,1e-12,-0.22
9,-5.3e-13,3.9e-13,9.3e-13,-0.185
10,-6.6e-13,8.2e-13,1.25e-12,-0.15
11,-2.8e-13,1.21e-12,8.4e-13,-0.115
12,-8.9e-13,1.29e-12,1.03e-12,-0.08
13,-7.5e-13,1.1e-12,4e-13,-0.045
14,-1.03e-12,5.3e-13,1.6e-12,-0.01
15,-5.5e-13,5.5e-13,1.01e-12,0.025
16,-6.6e-13,7.1e-13,1.39e-12,0.06
17,2.5e-13,2.6e-13,9.2e-13,0.095
18,-3.9e-13,6.8e-13,1.13e-12,0.13
19,-3.8e-13,4.1e-13,1.1e-12,0.165
20,-2.7e-13,8.2e-13,1.33e-12,0.2
21,-3.3e-13,1.26e-12,8.6e-13,0.235
22,8e-14,1.64e-12,1.12e-12,0.27
23,-1.22e-12,1.05e-12,8.1e-13,0.305
24,-2e-14,9.3e-13,8.3e-13,0.34
25,-1.5e-13,5.6e-13,1.24e-12,0.375
26,4.4e-13,5e-14,9.7e-13,0.41
27,-4.6e-13,7.1e-13,1.57e-12,0.445
28,-1.23e-12,6.7e-13,1.35e-12,0.48
29,-6.7e-13,5.9e-13,1.47e-12,0.515
30,-9.3e-13,6.1e-13,1.34e-12,0.55
31,-6.3e-13,8.7e-13,7.6e-13,0.585
32,-4.5e-13,4.1e-13,1.31e-12,0.62
33,-2.5e-13,1.72e-12,6.1e-13,0.655
34,-2.8e-13,7.5e-13,1.02e-12,0.69
35,-2.7e-13,5.7e-13,9.6e-13,0.725
36,1.1e-13,8.4e-13,1.43e-12,0.76
37,-2.3e-13,6.4e-13,1.3e-12,0.795
38,-3.9e-13,8.6e-13,1.45e-12,0.83
39,-3.6e-13,4.2e-13,8.5e-13,0.865
40,2.1e-13,4.2e-13,1.2e-12,0.9
41,-7.3e-13,9.7e-13,9.6e-13,0.935
42,0.0,1.45e-12,8e-13,0.97
43,-3.9e-13,5.3e-13,1.55e-12,1.005
44,-9e-14,1e-12,8.7e-13,1.04
45,-5.9e-13,7.3e-13,1.42e-12,1.075
46,3.6e-13,6.8e-13,1.05e-12,1.11
47,-6e-13,5.7e-13,1.03e-12,1.145
48,-4.2e-13,6.6e-13,1.14e-12,1.18
49,-4.1e-13,9.1e-13,1.09e-12,1.215
50,-1.6e-13,-1.7e-13,8.9e-13,1.25
51,-2.7e-13,1.3e-12,5.4e-13,1.285
52,-3.8e-13,9.5e-13,9.9e-13,1.32
53,-2e-13,7.9e-13,9.8e-13,1.355
54,-3e-13,7e-13,1.45e-12,1.39
55,4.9e-13,7.7e-13,1e-12,1.425
56,-3.5e-13,7.7e-13,1.35e-12,1.46
57,2.1e-13,5.5e-13,1.31e-12,1.495
58,-1.6e-13,1.01e-12,9e-13,1.53
59,-7.2e-13,7.2e-13,1.09e-12,1.565
60,-6.2e-13,1.19e-12,1.19e-12,1.6
61,-7.4e-13,8.7e-13,1.16e-12,1.635
62,-2.3e-13,5.9e-13,8.9e-13,1.67
63,-5.8e-13,1.06e-12,1.55e-12,1.705
64,1.4e-13,1.06e-12,1.25e-12,1.74
65,-3.9e-13,5.5e-13,1.18e-12,1.775
66,8e-14,2.7e-13,1.07e-12,1.81
67,3e-14,1.25e-12,1.56e-12,1.845
68,-4.3e-13,4.6e-13,1.23e-12,1.88
69,-2.4e-13,9.2e-13,1.18e-12,1.915
70,-1.6e-13,1.13e-12,1.17e-12,1.95
71,-7.8e-13,1.68e-12,8.1e-13,1.985
72,-2.8e-13,9.1e-13,1.21e-12,2.02
73,3.5e-13,8.7e-13,1.14e-12,2.055
74,-2.6e-13,6.3e-13,8.4e-13,2.09
75,6e-14,5.7e-13,1.07e-12,2.125
76,-9e-14,8.7e-13,9e-13,2.16
77,4e-13,3.7e-13,1.35e-12,2.195
78,2.2e-13,9.2e-13,8.2e-13,2.23
79,2e-13,3e-13,1.28e-12,2.265
80,-5e-13,9.3e-13,1.42e-12,2.3
81,-5.9e-13,9.5e-13,1.2e-12,2.335
82,-3e-13,1.39e-12,9.9e-13,2.37
83,-7e-14,1.19e-12,7.6e-13,2.405
84,-1.6e-13,1.17e-12,1.01e-12,2.44
85,-3.2e-13,1.13e-12,1.23e-12,2.475
86,2.8e-13,4.6e-13,1.12e-12,2.51
87,1.3e-13,8.6e-13,1.15e-12,2.545
88,-4.4e-13,4.5e-13,9.8e-13,2.58
89,6e-14,6.9e-13,1.05e-12,2.615
90,-6e-14,7e-13,1.01e-12,2.65
91,-4e-13,8.9e-13,1.05e-12,2.685
92,-7.5e-13,9.3e-13,1.29e-12,2.72
93,-2.5e-13,1.48e-12,9.5e-13,2.755
94,-5e-13,6e-13,1.4e-12,2.79
95,1.3e-13,7.7e-13,1.26e-12,2.825
96,1e-14,6.1e-13,1.28e-12,2.86
97,3.3e-13,5.9e-13,1.02e-12,2.895
98,-5.4e-13,4.2e-13,9.5e-13,2.93
99,0.0,5.1e-13,8.7e-13,2.965
100,-9e-14,5.8e-13,1.21e-12,3.0
