,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-8.7e-13,6.5e-13,1.13e-12,-0.5
1,-1.25e-12,1.1e-12,9.3e-13,-0.465
2,-7.9e-13,6.6e-13,9.3e-13,-0.43
3,-4.9e-13,1.36e-12,4.6e-13,-0.395
4,-2.8e-13,5.4e-13,9.7e-13,-0.36
5,-4.9e-13,1.13e-12,1.24e-12,-0.325
6,-9.3e-13,2.7e-13,1.08e-12,-0.29
7,1.8e-13,6.9e-13,7.6e-13,-0.255
8,-5.7e-13,7.7e-13,1.18e-12,-0.22
9,-7.1e-13,5.1e-13,1.1e-12,-0.185
10,-9e-14,8.1e-13,1.29e-12,-0.15
11,-3.4e-13,1.09e-12,1.18e-12,-0.115
12,-6.7e-13,1.04e-12,9.4e-13,-0.08
13,-1.2e-13,9.2e-13,9.8e-13,-0.045
14,-5.9e-13,1.7e-12,7.6e-13,-0.01
15,-3.8e-13,4.4e-13,1.51e-12,0.025
16,-9e-14,4.9e-13,1.04e-12,0.06
17,-3.5e-13,8.2e-13,1.04e-12,0.095
18,-3.6e-13,7.4e-13,1.02e-12,0.13
19,-1e-13,6.8e-13,1.28e-12,0.165
20,-1.1e-13,8.3e-13,1.44e-12,0.2
21,-3.1e-13,4.5e-13,1.06e-12,0.235
22,-6.8e-13,3.9e-13,1.18e-12,0.27
23,-2.6e-13,7.8e-13,8e-13,0.305
24,-2.8e-13,1.03e-12,7.9e-13,0.34
25,6e-14,8e-13,1.77e-12,0.375
26,-1.02e-12,9.1e-13,1.14e-12,0.41
27,-2e-14,5.1e-13,9.7e-13,0.445
28,-4.8e-13,1.03e-12,1.5e-12,0.48
29,9e-14,4.9e-13,1.25e-12,0.515
30,5e-14,8.1e-13,1.01e-12,0.55
31,1.5e-13,1.7e-13,1.33e-12,0.585
32,-5.4e-13,1.23e-12,4.9e-13,0.62
33,-2.1e-13,8.4e-13,1e-12,0.655
34,-1.9e-13,1.06e-12,9.6e-13,0.69
35,-8.2e-13,3.7e-13,1.14e-12,0.725
36,1.8e-13,1.04e-12,9.6e-13,0.76
37,-9e-14,7.3e-13,1e-12,0.795
38,4.6e-13,4.6e-13,1.02e-12,0.83
39,9e-14,5.8e-13,8.6e-13,0.865
40,-5.8e-13,4.4e-13,1.33e-12,0.9
41,2.1e-13,8e-13,1.16e-12,0.935
42,1e-13,8.9e-13,1.41e-12,0.97
43,-5.1e-13,1.07e-12,1.08e-12,1.005
44,-2.2e-13,7.2e-13,1.24e-12,1.04
45,-4.1e-13,7.3e-13,9e-13,1.075
46,1e-14,6.4e-13,1.47e-12,1.11
47,1e-14,5.1e-13,9.9e-13,1.145
48,-6e-14,6.9e-13,9.7e-13,1.18
49,4.4e-13,1.04e-12,8.5e-13,1.215
50,-5.7e-13,3.5e-13,1.31e-12,1.25
51,-1.8e-13,7.6e-13,1.05e-12,1.285
52,-6.2e-13,9.5e-13,1.15e-12,1.32
53,-9e-14,2.9e-13,9.7e-13,1.355
54,-2.2e-13,1.19e-12,6.8e-13,1.39
55,9e-14,8.8e-13,1.34e-12,1.425
56,1.1e-13,5.2e-13,1.13e-12,1.46
57,-2.2e-13,5.1e-13,1.06e-12,1.495
58,4.2e-13,4.4e-13,1.16e-12,1.53
59,-3.8e-13,1.12e-12,1.29e-12,1.565
60,-3.5e-13,4.5e-13,8.3e-13,1.6
61,-9e-14,5e-13,1.22e-12,1.635
62,-5.2e-13,1.05e-12,1.21e-12,1.67
63,-2.8e-13,9.7e-13,4.9e-13,1.705
64,-3.2e-13,6e-13,1.49e-12,1.74
65,1.3e-13,7.2e-13,6.9e-13,1.775
66,5e-14,3e-13,7.6e-13,1.81
67,-1.6e-13,4e-13,8.7e-13,1.845
68,-6.5e-13,6.9e-13,8.1e-13,1.88
69,-2.3e-13,2.6e-13,1.02e-12,1.915
70,-5.5e-13,1.12e-12,1.3e-12,1.95
71,-5.2e-13,7.9e-13,1.01e-12,1.985
72,1.8e-13,1.13e-12,1.02e-12,2.02
73,1.2e-13,1.11e-12,1.26e-12,2.055
74,-3.1e-13,1.6e-12,9.5e-13,2.09
75,-3.7e-13,1.02e-12,1.19e-12,2.125
76,1.3e-13,7.2e-13,9.9e-13,2.16
77,-1.7e-13,9.4e-13,1.23e-12,2.195
78,2e-14,5.1e-13,7.7e-13,2.23
79,-2.7e-13,1.16e-12,8.6e-13,2.265
80,-5e-14,5.4e-13,1.07e-12,2.3
81,1.8e-13,5.1e-13,1.51e-12,2.335
82,-5.9e-13,1.06e-12,1.01e-12,2.37
83,1.4e-13,1.04e-12,1.07e-12,2.405
84,-7.4e-13,8e-13,1.29e-12,2.44
85,-3e-14,1.39e-12,8.5e-13,2.475
86,-4.5e-13,1.51e-12,9.1e-13,2.51
87,1e-14,7.2e-13,6.1e-13,2.545
88,1.8e-13,7.9e-13,9.1e-13,2.58
89,6.7e-13,7.1e-13,1.34e-12,2.615
90,-2.9e-13,9.1e-13,1.33e-12,2.65
91,-1.6e-13,1.4e-13,9.5e-13,2.685
92,-2.4e-13,1.01e-12,1.41e-12,2.72
93,-6.4e-13,9e-13,7.2e-13,2.755
94,-2.2e-13,1.06e-12,7.6e-13,2.79
95,-9.5e-13,6.4e-13,1.48e-12,2.825
96,2e-14,1.69e-12,5.2e-13,2.86
97,-5.4e-13,8.6e-13,1.15e-12,2.895
98,-1e-14,7.3e-13,1.13e-12,2.93
99,1.4e-13,4.9e-13,1.47e-12,2.965
100,1.4e-13,7.6e-13,1.09e-12,3.0
