,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-1.19e-12,5.9e-13,1.45e-12,-0.5
1,-1.6e-13,4.6e-13,9.5e-13,-0.465
2,-2.4e-13,8.9e-13,1.29e-12,-0.43
3,-2.8e-13,6.5e-13,1.11e-12,-0.395
4,2e-14,5.8e-13,1.06e-12,-0.36
5,-5.3e-13,3.4e-13,1.32e-12,-0.325
6,-1.7e-13,1.02e-12,9.3e-13,-0.29
7,-1.7e-13,7.9e-13,1.21e-12,-0.255
8,-5.8e-13,5.7e-13,5.3e-13,-0.22
9,-2.6e-13,7.3e-13,9.8e-13,-0.185
10,6e-14,9.2e-13,1.1e-12,-0.15
11,-1.6e-13,9.8e-13,1.26e-12,-0.115
12,-3.9e-13,5.4e-13,1.26e-12,-0.08
13,5.8e-13,7.8e-13,8.8e-13,-0.045
14,-2e-13,9.4e-13,1.97e-12,-0.01
15,-8.4e-13,8.5e-13,1.17e-12,0.025
16,-3.4e-13,7.2e-13,9.8e-13,0.06
17,-3.3e-13,6e-13,9.8e-13,0.095
18,-4.3e-13,1.8e-12,8.7e-13,0.13
19,-8.3e-13,7.8e-13,1.23e-12,0.165
20,-7e-14,9.8e-13,8.4e-13,0.2
21,4e-13,8.2e-13,1.17e-12,0.235
22,1.5e-13,6.7e-13,9.1e-13,0.27
23,-5e-13,6.9e-13,1.33e-12,0.305
24,6.8e-13,6.6e-13,1.09e-12,0.34
25,-3.5e-13,1.31e-12,1.32e-12,0.375
26,-7.7e-13,8.8e-13,1e-12,0.41
27,-6.6e-13,6.9e-13,1.25e-12,0.445
28,-2.9e-13,7.5e-13,1.29e-12,0.48
29,-3.8e-13,1.3e-12,8.4e-13,0.515
30,-5.1e-13,6.2e-13,1.01e-12,0.55
31,-1.5e-13,6.7e-13,1.02e-12,0.585
32,-5.7e-13,7.1e-13,8.7e-13,0.62
33,-7e-14,1.5e-13,1.21e-12,0.655
34,-3.1e-13,8.1e-13,1.34e-12,0.69
35,-4.2e-13,6.6e-13,9.3e-13,0.725
36,-4.2e-13,7.5e-13,1.15e-12,0.76
37,-4e-13,7.3e-13,1.25e-12,0.795
38,-5e-14,6.7e-13,1.23e-12,0.83
39,-2.7e-13,1.09e-12,1.06e-12,0.865
40,-1.5e-13,7.8e-13,9.6e-13,0.9
41,-1.8e-13,8e-13,1.23e-12,0.935
42,5.1e-13,5.7e-13,7.5e-13,0.97
43,-4.8e-13,8.4e-13,1.43e-12,1.005
44,1.4e-13,6.9e-13,1.12e-12,1.04
45,1.6e-13,1.15e-12,1.34e-12,1.075
46,-2.9e-13,4.4e-13,1.23e-12,1.11
47,-2.1e-13,1.46e-12,8.8e-13,1.145
48,-3.1e-13,1.29e-12,1.31e-12,1.18
49,2.5e-13,1.41e-12,9.2e-13,1.215
50,-2.4e-13,5.2e-13,5.7e-13,1.25
51,-2.1e-13,1.03e-12,1.08e-12,1.285
