,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-8.8e-13,7.2e-13,7.1e-13,-0.5
1,-5.8e-13,2.9e-13,1.27e-12,-0.465
2,-6.4e-13,7.5e-13,1.69e-12,-0.43
3,-7.1e-13,7.7e-13,8.5e-13,-0.395
4,-1.02e-12,1e-12,1.22e-12,-0.36
5,-6.8e-13,8.5e-13,1.49e-12,-0.325
6,-3.8e-13,1.74e-12,9.8e-13,-0.29
7,-3.2e-13,5.3e-13,1.37e-12,-0.255
8,-3.2e-13,1.05e-12,1.29e-12,-0.22
9,-2.8e-13,1.53e-12,8.1e-13,-0.185
10,-6e-14,3.6e-13,1.07e-12,-0.15
11,-7e-13,1.1e-12,1.33e-12,-0.115
12,-3.1e-13,3.9e-13,6.9e-13,-0.08
13,2.3e-13,7.1e-13,1.44e-12,-0.045
14,-1.02e-12,3.6e-13,9.5e-13,-0.01
15,3e-14,1.36e-12,7.9e-13,0.025
16,-6e-14,1.04e-12,1e-12,0.06
17,2e-14,8.9e-13,1.03e-12,0.095
18,-3e-13,1.14e-12,1.25e-12,0.13
19,0.0,2.4e-13,8e-13,0.165
20,-2.6e-13,1.06e-12,1.24e-12,0.2
21,-1.3e-13,4.3e-13,9.2e-13,0.235
22,-4.7e-13,1.01e-12,1.63e-12,0.27
23,-4.7e-13,6.4e-13,1.35e-12,0.305
24,-1.12e-12,1.36e-12,9.6e-13,0.34
25,-3.7e-13,9.9e-13,1.33e-12,0.375
26,2.1e-13,1.51e-12,5.9e-13,0.41
27,-6.8e-13,9.6e-13,9.5e-13,0.445
28,1.4e-13,8.8e-13,8.6e-13,0.48
29,1.7e-13,1.19e-12,9.4e-13,0.515
30,1.52e-12,-3e-13,1.05e-12,0.55
31,-3.7e-13,8e-13,1.03e-12,0.585
32,1.8e-13,1.4e-13,1.37e-12,0.62
33,-7.1e-13,1.21e-12,9.1e-13,0.655
34,-7.7e-13,6.5e-13,1.19e-12,0.69
35,-2.1e-13,1.16e-12,8.5e-13,0.725
36,-4.6e-13,7.1e-13,1.48e-12,0.76
37,-1.6e-13,7.2e-13,1.08e-12,0.795
38,-6.2e-13,8.9e-13,1.18e-12,0.83
39,3.2e-13,4.3e-13,1.05e-12,0.865
40,-1.8e-13,8.8e-13,1.6e-12,0.9
41,3e-14,5.8e-13,9.1e-13,0.935
42,-2.9e-13,7.6e-13,1.34e-12,0.97
43,-7.9e-13,8e-13,8.8e-13,1.005
44,-7.2e-13,1.45e-12,9.8e-13,1.04
45,-7.5e-13,1.07e-12,1.13e-12,1.075
46,-5.2e-13,1.35e-12,1.16e-12,1.11
47,-8e-14,7e-13,9.5e-13,1.145
48,-4e-13,4.4e-13,3.9e-13,1.18
49,-5.3e-13,8.2e-13,1.62e-12,1.215
50,3.2e-13,3.4e-13,6.3e-13,1.25
51,4.7e-13,1.05e-12,7.7e-13,1.285
52,-1.5e-13,3.3e-13,1.01e-12,1.32
53,-3.2e-13,1.53e-12,1.2e-12,1.355
54,-2.8e-13,7.3e-13,8.8e-13,1.39
55,-4.8e-13,1.11e-12,8.7e-13,1.425
56,-1.5e-13,9.2e-13,1.19e-12,1.46
57,-3.5e-13,1.37e-12,5.1e-13,1.495
58,-3e-13,9.2e-13,1.31e-12,1.53
59,7.8e-13,1.08e-12,1.17e-12,1.565
60,-3.1e-13,1.06e-12,1.17e-12,1.6
61,-3.5e-13,5.1e-13,9.4e-13,1.635
62,-2.9e-13,7e-13,1.46e-12,1.67
63,1.1e-13,6.7e-13,8.9e-13,1.705
64,-9e-14,8.2e-13,1.04e-12,1.74
65,-5.4e-13,9.9e-13,1.71e-12,1.775
