,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
66,-3.3e-13,1.38e-12,1.04e-12,1.81
67,-3.4e-13,1.05e-12,9.5e-13,1.845
68,-1.3e-13,1e-12,9.5e-13,1.88
69,-1.4e-13,1.1e-12,1.18e-12,1.915
70,-2.2e-13,1.4e-12,5.4e-13,1.95
71,-3.6e-13,1.22e-12,8.5e-13,1.985
72,-1.3e-13,2.5e-13,1.15e-12,2.02
73,-2.5e-13,1.02e-12,9.4e-13,2.055
74,1.5e-13,7.3e-13,1.07e-12,2.09
75,-2.2e-13,8.6e-13,1.17e-12,2.125
76,-2.3e-13,7.6e-13,8.7e-13,2.16
77,2e-14,7.9e-13,8.9e-13,2.195
78,-4.4e-13,9.2e-13,1.65e-12,2.23
79,5.6e-13,4.7e-13,1.05e-12,2.265
80,-5.7e-13,1.29e-12,1.55e-12,2.3
81,-3.5e-13,4.7e-13,8.3e-13,2.335
82,-5.6e-13,1.06e-12,1.28e-12,2.37
83,5.5e-13,3.9e-13,9.9e-13,2.405
84,4.7e-13,6.7e-13,1.06e-12,2.44
85,-3e-14,5.9e-13,7.2e-13,2.475
86,-3.1e-13,1.9e-12,1.34e-12,2.51
87,-6.6e-13,1.23e-12,9.5e-13,2.545
88,-1.3e-13,1.12e-12,8.6e-13,2.58
89,-3.7e-13,5.8e-13,1.32e-12,2.615
90,6.9e-13,5.7e-13,1e-12,2.65
91,1.1e-13,1.14e-12,1.11e-12,2.685
92,3e-14,8e-14,1.29e-12,2.72
93,-5e-13,9.7e-13,1.47e-12,2.755
94,-5e-13,9.2e-13,1.27e-12,2.79
95,-1.5e-13,1.12e-12,1.27e-12,2.825
96,-7.5e-13,4.2e-13,1.24e-12,2.86
97,2.8e-13,1.23e-12,7.2e-13,2.895
98,2e-14,5.9e-13,8.6e-13,2.93
99,3e-14,5.8e-13,9e-13,2.965
100,-4.7e-13,6.1e-13,1.48e-12,3.0
