,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-1.5e-12,6.2e-13,1.35e-12,-0.5
1,-2.8e-13,8.4e-13,1.06e-12,-0.465
2,-5.9e-13,7.1e-13,1.55e-12,-0.43
3,-7.8e-13,5.1e-13,1.45e-12,-0.395
4,-8.4e-13,1.38e-12,9.5e-13,-0.36
5,-9.5e-13,1.27e-12,1.34e-12,-0.325
6,-7.1e-13,1.28e-12,9.5e-13,-0.29
7,-8.2e-13,7.9e-13,1.18e-12,-0.255
8,-7e-14,1e-12,9.5e-13,-0.22
9,-7.9e-13,3.1e-13,1.14e-12,-0.185
10,-3.4e-13,4.2e-13,9.6e-13,-0.15
11,-5.2e-13,9.6e-13,1.12e-12,-0.115
12,-9.9e-13,8.7e-13,1.05e-12,-0.08
13,-6.4e-13,1.31e-12,4.9e-13,-0.045
14,-4.8e-13,4.4e-13,1.16e-12,-0.01
15,-7.5e-13,8.4e-13,1.06e-12,0.025
16,-5.4e-13,1.05e-12,1.36e-12,0.06
17,-3e-13,7.5e-13,9.5e-13,0.095
18,-4.7e-13,8.8e-13,9e-13,0.13
19,1.5e-13,-4e-14,1.1e-12,0.165
20,-4.1e-13,9.3e-13,1.09e-12,0.2
21,-6.1e-13,7.5e-13,9.7e-13,0.235
22,-1.4e-13,6.3e-13,1.21e-12,0.27
23,-2.6e-13,3.9e-13,1.07e-12,0.305
24,-4.2e-13,1.53e-12,6.7e-13,0.34
25,-6.4e-13,3.2e-13,1.3e-12,0.375
26,8.8e-13,1.08e-12,6.9e-13,0.41
27,-7.7e-13,9.8e-13,1.33e-12,0.445
28,1.1e-13,3.8e-13,1.21e-12,0.48
29,-5.4e-13,7.3e-13,1.16e-12,0.515
30,-6.5e-13,9.4e-13,7.1e-13,0.55
31,-4e-14,1.19e-12,9.7e-13,0.585
32,-1.07e-12,6.1e-13,8e-13,0.62
33,-6.5e-13,1.58e-12,7.6e-13,0.655
34,-7.6e-13,8.4e-13,1.08e-12,0.69
35,-6.7e-13,9.5e-13,8.6e-13,0.725
36,-5.9e-13,8.4e-13,9.6e-13,0.76
37,3.2e-13,1.9e-13,8.4e-13,0.795
38,-1.9e-13,3.8e-13,1.56e-12,0.83
39,1.3e-13,9.2e-13,1.07e-12,0.865
40,-6.3e-13,1.1e-12,1.01e-12,0.9
41,-3.9e-13,7.3e-13,9.6e-13,0.935
