,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-7.9e-13,1e-12,1.38e-12,-0.5
1,-6.4e-13,9.9e-13,8.6e-13,-0.465
2,-1.09e-12,1.03e-12,1.31e-12,-0.43
3,-7.8e-13,9.8e-13,1.09e-12,-0.395
4,-5.4e-13,7e-13,1.27e-12,-0.36
5,-3.2e-13,5.1e-13,1.47e-12,-0.325
6,-5.4e-13,1.47e-12,1.15e-12,-0.29
7,-3.9e-13,8.7e-13,1.09e-12,-0.255
8,-6e-13,1.92e-12,1.11e-12,-0.22
9,-7.4e-13,6.3e-13,5.3e-13,-0.185
10,-4.8e-13,9.6e-13,8.3e-13,-0.15
11,-3.1e-13,1e-12,8.3e-13,-0.115
12,-3.1e-13,7.5e-13,9.8e-13,-0.08
13,-3.2e-13,7.3e-13,1.5e-12,-0.045
14,4e-14,4.1e-13,1.29e-12,-0.01
15,-4.9e-13,1.24e-12,1.36e-12,0.025
16,-7e-14,4.9e-13,1.02e-12,0.06
17,-1.3e-13,6.3e-13,1e-12,0.095
18,-3.5e-13,1.06e-12,8.8e-13,0.13
19,1.5e-13,1.25e-12,6.7e-13,0.165
20,-7.9e-13,3.9e-13,1.02e-12,0.2
21,-1.7e-13,7.5e-13,8.5e-13,0.235
22,-1.1e-13,5.5e-13,1.34e-12,0.27
23,-1.1e-13,8.1e-13,1.39e-12,0.305
24,-8e-14,5.8e-13,1.42e-12,0.34
25,-4e-14,1.04e-12,1.2e-12,0.375
26,-3.5e-13,1.04e-12,1.37e-12,0.41
27,-8.1e-13,8.7e-13,8.9e-13,0.445
28,6.1e-13,1.33e-12,5e-13,0.48
29,-2.5e-13,5.9e-13,1.17e-12,0.515
30,9e-14,5.8e-13,8e-13,0.55
31,-2.9e-13,7.1e-13,1.03e-12,0.585
32,3e-14,8.9e-13,1.02e-12,0.62
33,-3.9e-13,4.6e-13,1.48e-12,0.655
34,-8.9e-13,8.2e-13,1.49e-12,0.69
35,-3e-13,1.44e-12,6.7e-13,0.725
36,-8.6e-13,9.3e-13,9.8e-13,0.76
37,-1.1e-13,1.25e-12,9.1e-13,0.795
38,-4e-13,4.7e-13,7.1e-13,0.83
39,-9e-14,5.1e-13,8.6e-13,0.865
40,3.3e-13,6.6e-13,1.13e-12,0.9
41,3.1e-13,1.1e-13,1.06e-12,0.935
42,1e-14,7.4e-13,1.57e-12,0.97
43,-4e-13,9.6e-13,6.3e-13,1.005
44,-5.4e-13,7.8e-13,1.05e-12,1.04
45,-1.21e-12,8.1e-13,1.3e-12,1.075
46,-5e-14,1.75e-12,1e-12,1.11
47,-2.6e-13,8.3e-13,1e-12,1.145
48,-7.7e-13,4.8e-13,9.8e-13,1.18
49,-6.7e-13,7.9e-13,1.15e-12,1.215
50,3.7e-13,6.8e-13,1.05e-12,1.25
51,-4.4e-13,9.5e-13,1.23e-12,1.285
52,-4.8e-13,8.7e-13,9.9e-13,1.32
53,-3.6e-13,1e-12,1.33e-12,1.355
54,-6e-14,5.5e-13,1.1e-12,1.39
55,4.9e-13,1.59e-12,9.2e-13,1.425
56,-3.8e-13,9.3e-13,1.33e-12,1.46
57,-2.6e-13,1.65e-12,9.8e-13,1.495
58,-1.8e-13,4.4e-13,7.9e-13,1.53
59,-4.1e-13,8.7e-13,6.9e-13,1.565
60,-7e-13,1.06e-12,9.8e-13,1.6
61,3.5e-13,2.5e-13,1.24e-12,1.635
62,-6e-13,5.6e-13,1.34e-12,1.67
63,-6.2e-13,9e-13,1.13e-12,1.705
64,-1.11e-12,3e-13,1e-12,1.74
65,-9.3e-13,4.8e-13,1.44e-12,1.775
66,-2.7e-13,1.19e-12,6.4e-13,1.81
67,-2e-13,6.8e-13,9.5e-13,1.845
68,4.2e-13,9.6e-13,9.4e-13,1.88
69,-1e-14,8.4e-13,1.13e-12,1.915
