,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-1.54e-12,9.2e-13,1.61e-12,-0.5
1,-7e-13,1.17e-12,7.2e-13,-0.465
2,-1.02e-12,9.4e-13,1.43e-12,-0.43
3,-2.9e-13,5.5e-13,9.4e-13,-0.395
4,-3.4e-13,7.6e-13,1.39e-12,-0.36
5,2.2e-13,5.3e-13,9.1e-13,-0.325
6,-5.9e-13,1.01e-12,1.54e-12,-0.29
7,-8.3e-13,7.8e-13,9.7e-13,-0.255
8,-4.2e-13,9.7e-13,8.5e-13,-0.22
9,-9.3e-13,6.1e-13,9.1e-13,-0.185
10,-4.7e-13,1.4e-12,1.2e-12,-0.15
11,-1.9e-13,8.7e-13,9.9e-13,-0.115
12,-3.5e-13,9.5e-13,3.8e-13,-0.08
13,-2.8e-13,6.1e-13,1.18e-12,-0.045
14,2.5e-13,5.4e-13,8.9e-13,-0.01
15,-4.9e-13,8.1e-13,1.31e-12,0.025
16,-5.9e-13,8.9e-13,1.13e-12,0.06
17,-1.1e-13,8.1e-13,1.08e-12,0.095
18,-4.7e-13,6.9e-13,1e-12,0.13
19,-1.4e-13,7.8e-13,1.4e-12,0.165
20,-9e-14,8.2e-13,1.22e-12,0.2
21,4.2e-13,8.3e-13,8.8e-13,0.235
22,-4.4e-13,8.1e-13,1.44e-12,0.27
23,-7e-14,6.7e-13,1.08e-12,0.305
24,-2.8e-13,9.1e-13,1.37e-12,0.34
25,-3.5e-13,2.5e-13,8.6e-13,0.375
26,-3.2e-13,4e-13,1.1e-12,0.41
27,-4.9e-13,4.4e-13,8.1e-13,0.445
28,0.0,1.26e-12,8.3e-13,0.48
29,-1.4e-13,7.7e-13,1.23e-12,0.515
30,-1.4e-13,1.03e-12,5.4e-13,0.55
31,-6.4e-13,8.9e-13,7e-13,0.585
32,2.8e-13,4.5e-13,7.9e-13,0.62
33,-1.5e-13,5.9e-13,9.3e-13,0.655
34,5.7e-13,-7e-14,9e-13,0.69
35,-6e-14,8.4e-13,1.08e-12,0.725
36,-7.8e-13,7.9e-13,1.24e-12,0.76
37,-6e-13,8.6e-13,1.31e-12,0.795
38,-2.1e-13,5.1e-13,1.04e-12,0.83
39,-3.3e-13,1.66e-12,7.3e-13,0.865
40,-6.4e-13,4.3e-13,1.33e-12,0.9
41,-1.7e-13,6.4e-13,7.6e-13,0.935
42,-6e-14,7.8e-13,1.5e-12,0.97
43,2e-14,7.1e-13,9.3e-13,1.005
44,-3.1e-13,8.2e-13,1.94e-12,1.04
45,-2.6e-13,8.5e-13,7.9e-13,1.075
46,-5.9e-13,9.9e-13,1.26e-12,1.11
47,-4e-14,9.6e-13,1.22e-12,1.145
48,-2.6e-13,1.8e-12,6.4e-13,1.18
49,-6.2e-13,7.8e-13,5.3e-13,1.215
50,1.9e-13,2.9e-13,6.2e-13,1.25
51,-2.5e-13,1.28e-12,7.6e-13,1.285
52,4.5e-13,5.3e-13,6.5e-13,1.32
53,-3.1e-13,1.04e-12,1.37e-12,1.355
54,0.0,5.5e-13,1.09e-12,1.39
55,5.4e-13,1.24e-12,8.8e-13,1.425
56,-9e-14,4.3e-13,1.14e-12,1.46
57,3e-14,2.03e-12,9.5e-13,1.495
58,-4.4e-13,9.7e-13,1.34e-12,1.53
59,7e-14,1.22e-12,7.4e-13,1.565
60,-6e-14,1.14e-12,9.7e-13,1.6
61,6.2e-13,8.5e-13,1.29e-12,1.635
62,-4.3e-13,6.7e-13,1.28e-12,1.67
63,1.4e-13,-2.1e-13,1.07e-12,1.705
64,-3.9e-13,8.9e-13,1.35e-12,1.74
65,-2.2e-13,4.8e-13,1.02e-12,1.775
66,-1.2e-13,9.4e-13,8e-13,1.81
67,-4.7e-13,6.3e-13,1.27e-12,1.845
68,-4e-13,1.4e-12,1.07e-12,1.88
69,-2.1e-13,9.3e-13,1.62e-12,1.915
70,1.5e-13,9.7e-13,1.03e-12,1.95
71,-5e-14,4.5e-13,1.22e-12,1.985
72,3.2e-13,7.3e-13,1.2e-12,2.02
73,-6.6e-13,1.04e-12,1.32e-12,2.055
74,-1.7e-13,5.4e-13,1.24e-12,2.09
75,1.5e-13,9.4e-13,1.51e-12,2.125
76,-2e-14,5.7e-13,7.4e-13,2.16
77,-1.5e-13,1.01e-12,8.6e-13,2.195
78,-7e-14,4.7e-13,1.21e-12,2.23
79,-6.4e-13,1.52e-12,9.5e-13,2.265
80,-1.9e-13,7.7e-13,9e-13,2.3
81,8e-14,6.6e-13,9.2e-13,2.335
82,-4.4e-13,3.5e-13,1.5e-12,2.37
83,8e-14,9.8e-13,7.2e-13,2.405
84,-3.5e-13,1.08e-12,6.2e-13,2.44
85,2.7e-13,1.1e-12,7.1e-13,2.475
86,-4.9e-13,4.9e-13,9e-13,2.51
87,-2.7e-13,7.7e-13,1.11e-12,2.545
88,-2.9e-13,1.37e-12,1.15e-12,2.58
89,-6e-14,1.1e-12,9e-13,2.615
90,1.3e-13,9.3e-13,1.1e-12,2.65
91,-8.3e-13,1.54e-12,7.9e-13,2.685
92,9e-14,9.2e-13,1.11e-12,2.72
93,-1.6e-13,5.5e-13,9.9e-13,2.755
94,-4.8e-13,2.6e-13,7.6e-13,2.79
95,-3.7e-13,7.2e-13,1.29e-12,2.825
96,-5.3e-13,6.5e-13,1.3e-12,2.86
97,-7.3e-13,8.1e-13,1.1e-12,2.895
98,-3.3e-13,9.3e-13,1.1e-12,2.93
99,-2.6e-13,9.7e-13,1.02e-12,2.965
100,-6.4e-13,8.6e-13,1.22e-12,3.0
