Subsite Name,X Position,Y Position,Note
1,0,0,r1c1
2,250,0,r1c2
3,250,-150,r2c2
4,0,-150,r2c1
5,0,-300,r3c1
6,250,-300,r3c2
7,250,-450,r4c2
8,0,-450,r4c1
