Subsite Name,X Position,Y Position,Note
1,0,0,r1c1
2,250,0,r1c2
3,500,0,r1c3
4,750,0,r1c4
5,750,-150,r2c4
6,500,-150,r2c3
7,250,-150,r2c2
8,0,-150,r2c1
9,0,-300,r3c1
10,250,-300,r3c2
11,500,-300,r3c3
12,750,-300,r3c4
13,750,-450,r4c4
14,500,-450,r4c3
15,250,-450,r4c2
16,0,-450,r4c1
