I_BG,I_S,I_D,V_BG,V_S,V_D
3.92e-13,-3.1e-13,1.5423e-12,-2.0,0.0,0.1
6.04e-13,-6.26e-13,1.4335e-12,-1.9,0.0,0.1
3.88e-13,-8.32e-13,1.4304e-12,-1.8,0.0,0.1
6.2e-13,-4.72e-13,1.5178e-12,-1.7,0.0,0.1
-2.2e-14,-1.146e-12,1.4063e-12,-1.6,0.0,0.1
1.2e-13,-1.7e-13,1.4793e-12,-1.5,0.0,0.1
-2e-14,-5.56e-13,1.4835e-12,-1.4,0.0,0.1
2.16e-13,-8.76e-13,1.4229e-12,-1.3,0.0,0.1
2e-13,1.18e-13,1.3679e-12,-1.2,0.0,0.1
1.14e-13,-2.32e-13,1.4974e-12,-1.1,0.0,0.1
-7.4e-14,-4.58e-13,1.4998e-12,-1.0,0.0,0.1
-6.4e-14,8.4e-14,1.5202e-12,-0.9,0.0,0.1
5.6e-14,-8.08e-13,1.4159e-12,-0.8,0.0,0.1
1.82e-13,-3.6e-14,1.51e-12,-0.7,0.0,0.1
2e-15,-6.16e-13,1.5262e-12,-0.6,0.0,0.1
9e-14,-1.026e-12,1.4647e-12,-0.5,0.0,0.1
4.78e-13,-5.68e-13,1.4375e-12,-0.4,0.0,0.1
7.04e-13,-5.94e-13,1.3996e-12,-0.3,0.0,0.1
5.64e-13,-8.16e-13,1.4212e-12,-0.2,0.0,0.1
6.62e-13,-5e-13,1.4848e-12,-0.1,0.0,0.1
-4.4e-14,-1.7e-13,1.491e-12,0.0,0.0,0.1
-1.16e-13,-8.82e-13,1.4254e-12,0.1,0.0,0.1
3.34e-13,6e-14,1.3945e-12,0.2,0.0,0.1
-3.7e-13,-2.6e-13,1.5201e-12,0.3,0.0,0.1
5.78e-13,-1.144e-12,1.7447e-12,0.4,0.0,0.1
8.48e-13,-2.722e-12,2.9211e-12,0.5,0.0,0.1
3.7e-13,-7.156e-12,6.7507e-12,0.6,0.0,0.1
5.66e-13,-2.0462e-11,1.86415e-11,0.7,0.0,0.1
3.86e-13,-5.0334e-11,4.3286e-11,0.8,0.0,0.1
1.88e-13,-1.08014e-10,1.041299e-10,0.9,0.0,0.1
-2.16e-13,-2.14606e-10,2.0763e-10,1.0,0.0,0.1
5.92e-13,-4.0898e-10,4.00158e-10,1.1,0.0,0.1
-2.16e-13,-6.87662e-10,6.9193e-10,1.2,0.0,0.1
9.84e-13,-1.03858e-09,1.01604e-09,1.3,0.0,0.1
4e-14,-1.59004e-09,1.5892e-09,1.4,0.0,0.1
7.12e-13,-2.34988e-09,2.34204e-09,1.5,0.0,0.1
5.1e-13,-3.30008e-09,3.25696e-09,1.6,0.0,0.1
2.36e-13,-4.37754e-09,4.35222e-09,1.7,0.0,0.1
7.2e-14,-5.70856e-09,5.69488e-09,1.8,0.0,0.1
3.82e-13,-7.26398e-09,7.18738e-09,1.9,0.0,0.1
-7e-14,-9.0265e-09,8.95306e-09,2.0,0.0,0.1
1.8e-13,-1.09652e-08,1.086596e-08,2.1,0.0,0.1
5.7e-13,-1.32334e-08,1.30408e-08,2.2,0.0,0.1
3.4e-13,-1.56558e-08,1.55026e-08,2.3,0.0,0.1
6.46e-13,-1.84487e-08,1.82691e-08,2.4,0.0,0.1
5.86e-13,-2.16941e-08,2.14977e-08,2.5,0.0,0.1
-5e-14,-2.52022e-08,2.49829e-08,2.6,0.0,0.1
1.74e-13,-2.91004e-08,2.88789e-08,2.7,0.0,0.1
6.7e-13,-3.33796e-08,3.31134e-08,2.8,0.0,0.1
6.04e-13,-3.79376e-08,3.76684e-08,2.9,0.0,0.1
7e-14,-4.30096e-08,4.26637e-08,3.0,0.0,0.1
3.62e-13,-4.84707e-08,4.81577e-08,3.1,0.0,0.1
6.08e-13,-5.43146e-08,5.39366e-08,3.2,0.0,0.1
4.62e-13,-6.05972e-08,6.02588e-08,3.3,0.0,0.1
-8e-14,-6.72653e-08,6.68525e-08,3.4,0.0,0.1
7.34e-13,-7.43316e-08,7.3928e-08,3.5,0.0,0.1
5.3e-13,-8.20268e-08,8.15821e-08,3.6,0.0,0.1
-5e-14,-8.98978e-08,8.94227e-08,3.7,0.0,0.1
2.58e-13,-9.82335e-08,9.77561e-08,3.8,0.0,0.1
1.066e-12,-1.069191e-07,1.065168e-07,3.9,0.0,0.1
