I_BG,I_S,I_D,V_BG,V_S,V_D
-7.22e-13,-1.702e-12,5.232e-12,-3.0,0.0,0.1
-1.008e-12,-1.492e-12,5.678e-12,-2.85,0.0,0.1
-1.376e-12,-2.538e-12,5.646e-12,-2.701,0.0,0.1
-7.1e-13,-2.504e-12,5.212e-12,-2.551,0.0,0.1
-1.112e-12,-1.024e-12,5.43e-12,-2.401,0.0,0.1
-5.84e-13,-2.05e-12,5.854e-12,-2.252,0.0,0.1
-6.98e-13,-2.12e-12,5.136e-12,-2.102,0.0,0.1
-1.188e-12,-1.574e-12,5.44e-12,-1.952,0.0,0.1
-1.03e-12,-1.828e-12,5.984e-12,-1.803,0.0,0.1
-5.84e-13,-2.042e-12,5.442e-12,-1.653,0.0,0.1
-8.92e-13,-1.682e-12,5.2e-12,-1.503,0.0,0.1
-6.88e-13,-2.286e-12,5.944e-12,-1.354,0.0,0.1
-5.36e-13,-2.24e-12,5.518e-12,-1.204,0.0,0.1
-4.84e-13,-1.58e-12,5.132e-12,-1.054,0.0,0.1
-7.42e-13,-1.99e-12,5.686e-12,-0.905,0.0,0.1
-1.004e-12,-2.53e-12,5.1e-12,-0.755,0.0,0.1
-7.26e-13,-1.934e-12,4.964e-12,-0.605,0.0,0.1
-9.8e-13,-1.456e-12,6e-12,-0.456,0.0,0.1
-4.92e-13,-1.778e-12,5.418e-12,-0.306,0.0,0.1
-5.92e-13,-1.86e-12,5.4e-12,-0.156,0.0,0.1
-1.108e-12,-1.908e-12,5.592e-12,-0.007,0.0,0.1
-1.114e-12,-4.832e-12,7.988e-12,0.143,0.0,0.1
-7e-14,-2.4604e-11,2.8338e-11,0.293,0.0,0.1
-7.82e-13,-1.22444e-10,1.2611e-10,0.442,0.0,0.1
-8.54e-13,-4.4282e-10,4.46296e-10,0.592,0.0,0.1
-6.72e-13,-1.1401e-09,1.13122e-09,0.742,0.0,0.1
-1.21e-12,-2.5852e-09,2.59026e-09,0.891,0.0,0.1
-6.24e-13,-5.08464e-09,5.05712e-09,1.041,0.0,0.1
-4.6e-13,-8.85762e-09,8.80538e-09,1.19,0.0,0.1
-9.88e-13,-1.40755e-08,1.39515e-08,1.34,0.0,0.1
-8.08e-13,-2.11317e-08,2.10359e-08,1.49,0.0,0.1
-5.64e-13,-2.99876e-08,2.98823e-08,1.639,0.0,0.1
-7.6e-13,-4.07587e-08,4.06564e-08,1.789,0.0,0.1
-1.056e-12,-5.34294e-08,5.33105e-08,1.939,0.0,0.1
-6.98e-13,-6.77816e-08,6.76155e-08,2.088,0.0,0.1
-5.62e-13,-8.37952e-08,8.36042e-08,2.238,0.0,0.1
-6.68e-13,-1.012553e-07,1.011343e-07,2.388,0.0,0.1
-3.74e-13,-1.2007e-07,1.2016e-07,2.537,0.0,0.1
-9.48e-13,-1.4067e-07,1.4066e-07,2.687,0.0,0.1
-4.46e-13,-1.6222e-07,1.6223e-07,2.837,0.0,0.1
-1.162e-12,-1.8497e-07,1.8476e-07,2.986,0.0,0.1
-2.54e-13,-2.0824e-07,2.0847e-07,3.136,0.0,0.1
-1.148e-12,-2.3344e-07,2.3323e-07,3.286,0.0,0.1
-5.52e-13,-2.587e-07,2.5858e-07,3.435,0.0,0.1
-4.52e-13,-2.8534e-07,2.8554e-07,3.585,0.0,0.1
-7.9e-13,-3.1277e-07,3.1273e-07,3.735,0.0,0.1
-3.64e-13,-3.4089e-07,3.4067e-07,3.884,0.0,0.1
-8.98e-13,-3.6972e-07,3.6977e-07,4.034,0.0,0.1
-1.32e-13,-3.9886e-07,3.9919e-07,4.184,0.0,0.1
-1.058e-12,-4.297e-07,4.2925e-07,4.333,0.0,0.1
-6.82e-13,-4.604e-07,4.6031e-07,4.483,0.0,0.1
-3.26e-13,-4.9188e-07,4.9229e-07,4.633,0.0,0.1
-7.28e-13,-5.2364e-07,5.2341e-07,4.782,0.0,0.1
1.48e-13,-5.5612e-07,5.5614e-07,4.932,0.0,0.1
-1.008e-12,-5.8903e-07,5.8901e-07,5.082,0.0,0.1
-8.6e-14,-6.224e-07,6.2256e-07,5.231,0.0,0.1
-8.72e-13,-6.5693e-07,6.561e-07,5.381,0.0,0.1
-3.48e-13,-6.907e-07,6.9085e-07,5.531,0.0,0.1
-5.54e-13,-7.2567e-07,7.2604e-07,5.68,0.0,0.1
-9.46e-13,-7.608e-07,7.6013e-07,5.83,0.0,0.1
-3.4e-13,-7.963e-07,7.9664e-07,5.98,0.0,0.1
-1.148e-12,-8.3184e-07,8.3183e-07,6.129,0.0,0.1
-5.46e-13,-8.6834e-07,8.683e-07,6.279,0.0,0.1
-1.006e-12,-9.0557e-07,9.0473e-07,6.429,0.0,0.1
-3.22e-13,-9.4079e-07,9.4158e-07,6.578,0.0,0.1
-3.06e-13,-9.7877e-07,9.7916e-07,6.728,0.0,0.1
-9.42e-13,-1.01592e-06,1.0152e-06,6.878,0.0,0.1
-3.24e-13,-1.05343e-06,1.05341e-06,7.027,0.0,0.1
-5.4e-13,-1.09138e-06,1.09142e-06,7.177,0.0,0.1
-1e-13,-1.12969e-06,1.12926e-06,7.327,0.0,0.1
-4.6e-13,-1.1678e-06,1.1671e-06,7.476,0.0,0.1
-9.48e-13,-1.2058e-06,1.2057e-06,7.626,0.0,0.1
-7.66e-13,-1.2454e-06,1.2451e-06,7.776,0.0,0.1
-7.8e-13,-1.2833e-06,1.2831e-06,7.925,0.0,0.1
-4.16e-13,-1.3229e-06,1.3229e-06,8.075,0.0,0.1
-6.78e-13,-1.362e-06,1.3608e-06,8.224,0.0,0.1
-9.8e-14,-1.4014e-06,1.4021e-06,8.374,0.0,0.1
-3.38e-13,-1.4415e-06,1.4398e-06,8.524,0.0,0.1
