I_BG,I_S,I_D,V_BG,V_S,V_D
-1.356e-12,6.58e-13,2.584e-12,-5.0,0.0,0.1
-1.056e-12,-6.42e-13,2.366e-12,-4.95,0.0,0.1
-1.144e-12,2.28e-13,2.378e-12,-4.9,0.0,0.1
-1.342e-12,2e-13,2.59e-12,-4.85,0.0,0.1
-1.218e-12,-5e-14,1.98e-12,-4.8,0.0,0.1
-1.414e-12,5.78e-13,2.638e-12,-4.75,0.0,0.1
-1.132e-12,-4.88e-13,2.494e-12,-4.7,0.0,0.1
-1.704e-12,1.11e-12,2.234e-12,-4.65,0.0,0.1
-1.41e-12,4.98e-13,2.666e-12,-4.6,0.0,0.1
-1.644e-12,-1.38e-13,2.608e-12,-4.55,0.0,0.1
-1.186e-12,3.68e-13,2.252e-12,-4.5,0.0,0.1
-1.436e-12,4.72e-13,2.828e-12,-4.45,0.0,0.1
-1.044e-12,-1.56e-13,2.782e-12,-4.4,0.0,0.1
-1.32e-12,1.12e-13,1.792e-12,-4.35,0.0,0.1
-1.212e-12,7.16e-13,2.264e-12,-4.3,0.0,0.1
-1.23e-12,8.8e-14,2.37e-12,-4.25,0.0,0.1
-1.476e-12,8e-14,2.258e-12,-4.2,0.0,0.1
-1.398e-12,6.38e-13,2.486e-12,-4.15,0.0,0.1
-1.152e-12,1.02e-13,2.614e-12,-4.1,0.0,0.1
-1.11e-12,2.78e-13,2.516e-12,-4.05,0.0,0.1
-1.576e-12,2.14e-13,2.492e-12,-4.0,0.0,0.1
-1.494e-12,-6.6e-14,2.052e-12,-3.95,0.0,0.1
-1.41e-12,8.34e-13,2.568e-12,-3.9,0.0,0.1
-1.074e-12,-2.7e-13,2.54e-12,-3.85,0.0,0.1
-1.182e-12,1.18e-13,2.308e-12,-3.8,0.0,0.1
-1.704e-12,5.88e-13,2.806e-12,-3.75,0.0,0.1
-1.08e-12,-5.78e-13,2.454e-12,-3.7,0.0,0.1
-1.278e-12,-2.12e-13,2.188e-12,-3.65,0.0,0.1
-1.642e-12,5.1e-13,2.76e-12,-3.6,0.0,0.1
-2.016e-12,-6e-14,2.274e-12,-3.55,0.0,0.1
-1.386e-12,5.72e-13,2.308e-12,-3.5,0.0,0.1
-1.834e-12,1.68e-13,2.68e-12,-3.45,0.0,0.1
-1.254e-12,-1.5e-13,2.572e-12,-3.4,0.0,0.1
-1.342e-12,4.6e-14,2.344e-12,-3.35,0.0,0.1
-1.44e-12,-1.94e-13,2.56e-12,-3.3,0.0,0.1
-1.154e-12,-4.44e-13,2.132e-12,-3.25,0.0,0.1
-1.07e-12,1.23e-12,2.258e-12,-3.2,0.0,0.1
-1.48e-12,-4.22e-13,2.462e-12,-3.15,0.0,0.1
-9.9e-13,-7.4e-14,2.116e-12,-3.1,0.0,0.1
-1.526e-12,5.7e-13,2.672e-12,-3.05,0.0,0.1
-1.262e-12,2.74e-13,2.638e-12,-3.0,0.0,0.1
-1.31e-12,3.64e-13,1.894e-12,-2.95,0.0,0.1
-1.55e-12,6.84e-13,2.628e-12,-2.9,0.0,0.1
-8.68e-13,-2.12e-13,2.712e-12,-2.85,0.0,0.1
-1.268e-12,4.12e-13,1.884e-12,-2.8,0.0,0.1
-1.72e-12,3.06e-13,2.902e-12,-2.75,0.0,0.1
-1.082e-12,-2.82e-13,2.062e-12,-2.7,0.0,0.1
-1.268e-12,6.42e-13,2.446e-12,-2.65,0.0,0.1
