I_BG,I_S,I_D,V_BG,V_S,V_D
4.74e-13,-3.12e-13,1.6473e-12,-2.0,0.0,0.1
-1.5e-13,-6.36e-13,1.5853e-12,-1.925,0.0,0.1
3.44e-13,-9.04e-13,1.4661e-12,-1.85,0.0,0.1
-1.38e-13,5.52e-13,1.5417e-12,-1.775,0.0,0.1
-1.52e-13,4e-15,1.4965e-12,-1.7,0.0,0.1
1.4e-14,-4.3e-13,1.525e-12,-1.625,0.0,0.1
-8.8e-14,-4.64e-13,1.4476e-12,-1.55,0.0,0.1
5.76e-13,-5.2e-14,1.5752e-12,-1.475,0.0,0.1
-1.42e-13,-5.56e-13,1.5732e-12,-1.4,0.0,0.1
-2.4e-14,-5.02e-13,1.427e-12,-1.325,0.0,0.1
1.1e-13,4.2e-13,1.4806e-12,-1.25,0.0,0.1
-1.24e-13,-2.22e-13,1.5191e-12,-1.175,0.0,0.1
-1.18e-13,-3.2e-14,1.4516e-12,-1.1,0.0,0.1
5.8e-14,-2.64e-13,1.4216e-12,-1.025,0.0,0.1
7.18e-13,-2.8e-13,1.5301e-12,-0.95,0.0,0.1
-2.12e-13,-7.82e-13,1.4193e-12,-0.875,0.0,0.1
3.62e-13,1.02e-13,1.394e-12,-0.8,0.0,0.1
3.62e-13,-1.22e-13,1.4185e-12,-0.725,0.0,0.1
2.3e-13,-2.14e-13,1.4327e-12,-0.65,0.0,0.1
-1e-14,-3.2e-14,1.437e-12,-0.575,0.0,0.1
3.4e-13,-1.5e-13,1.4654e-12,-0.5,0.0,0.1
-1e-14,-4.08e-13,1.4834e-12,-0.425,0.0,0.1
2.04e-13,-3.32e-13,1.3876e-12,-0.35,0.0,0.1
7.26e-13,7.42e-13,1.3832e-12,-0.275,0.0,0.1
1.78e-13,8.8e-14,1.4158e-12,-0.2,0.0,0.1
6.08e-13,-8.1e-13,1.408e-12,-0.125,0.0,0.1
1.48e-13,-1.6e-14,1.3751e-12,-0.05,0.0,0.1
-1.36e-13,1.32e-13,1.4336e-12,0.025,0.0,0.1
-1.72e-13,-5.38e-13,1.4474e-12,0.1,0.0,0.1
1.62e-13,-4.88e-13,1.4611e-12,0.175,0.0,0.1
3.2e-13,-5.62e-13,1.3285e-12,0.25,0.0,0.1
4e-14,-2.78e-13,1.3683e-12,0.325,0.0,0.1
7.2e-14,1.9e-13,1.3993e-12,0.4,0.0,0.1
2.38e-13,-3.4e-14,1.493e-12,0.475,0.0,0.1
8.8e-14,-6.52e-13,1.6301e-12,0.55,0.0,0.1
-1.08e-13,-8.32e-13,1.8358e-12,0.625,0.0,0.1
7.58e-13,-1.764e-12,2.5894e-12,0.7,0.0,0.1
4.12e-13,-4.236e-12,4.247e-12,0.775,0.0,0.1
7.34e-13,-7.384e-12,7.5285e-12,0.85,0.0,0.1
4e-13,-1.4776e-11,1.46661e-11,0.925,0.0,0.1
5.2e-13,-3.1622e-11,2.84689e-11,1.0,0.0,0.1
3.14e-13,-5.6076e-11,5.20684e-11,1.075,0.0,0.1
3.72e-13,-1.01586e-10,9.17039e-11,1.15,0.0,0.1
2.14e-13,-1.6378e-10,1.52376e-10,1.225,0.0,0.1
3.14e-13,-2.69274e-10,2.72754e-10,1.3,0.0,0.1
7.8e-13,-4.40574e-10,4.45712e-10,1.375,0.0,0.1
7.18e-13,-6.68166e-10,6.70842e-10,1.45,0.0,0.1
1.56e-13,-9.92784e-10,9.82722e-10,1.525,0.0,0.1
-3.98e-13,-1.30052e-09,1.24676e-09,1.6,0.0,0.1
3.04e-13,-1.80578e-09,1.78956e-09,1.675,0.0,0.1
2.82e-13,-2.48484e-09,2.48268e-09,1.75,0.0,0.1
8.32e-13,-3.34074e-09,3.32256e-09,1.825,0.0,0.1
6e-13,-4.35812e-09,4.32658e-09,1.9,0.0,0.1
4.16e-13,-5.50504e-09,5.5102e-09,1.975,0.0,0.1
6.46e-13,-6.83512e-09,6.81274e-09,2.05,0.0,0.1
7.44e-13,-8.34052e-09,8.33612e-09,2.125,0.0,0.1
