I_BG,I_S,I_D,V_BG,V_S,V_D
-2.336e-12,-4.88e-13,6.40202e-12,-3.0,0.0,0.1
-2.47e-12,-1.432e-12,6.39828e-12,-2.96,0.0,0.1
-2.048e-12,-1.126e-12,6.40377e-12,-2.92,0.0,0.1
-2.142e-12,-8.06e-13,6.42131e-12,-2.88,0.0,0.1
-2.476e-12,-7.66e-13,6.41181e-12,-2.84,0.0,0.1
-2.522e-12,-8.58e-13,6.40077e-12,-2.8,0.0,0.1
-2.506e-12,-1.064e-12,6.43206e-12,-2.76,0.0,0.1
-2.112e-12,-9.84e-13,6.41652e-12,-2.72,0.0,0.1
-2.114e-12,-1.444e-12,6.4262e-12,-2.68,0.0,0.1
-2.488e-12,-1.058e-12,6.42666e-12,-2.64,0.0,0.1
-1.98e-12,-4.86e-13,6.40539e-12,-2.6,0.0,0.1
-2.348e-12,-6.82e-13,6.41309e-12,-2.56,0.0,0.1
-2.318e-12,-1.074e-12,6.38749e-12,-2.52,0.0,0.1
-2.32e-12,-1.272e-12,6.40142e-12,-2.48,0.0,0.1
-2.178e-12,-8.18e-13,6.41618e-12,-2.44,0.0,0.1
-1.704e-12,-9.72e-13,6.40406e-12,-2.4,0.0,0.1
-2.4e-12,-7.54e-13,6.41118e-12,-2.36,0.0,0.1
-2.438e-12,-8.06e-13,6.43006e-12,-2.32,0.0,0.1
-2.312e-12,-9.06e-13,6.41837e-12,-2.28,0.0,0.1
-2.164e-12,-1.082e-12,6.44745e-12,-2.24,0.0,0.1
-1.856e-12,-1.158e-12,6.42169e-12,-2.2,0.0,0.1
-1.806e-12,-6.98e-13,6.39969e-12,-2.16,0.0,0.1
-2.108e-12,-6.08e-13,6.39736e-12,-2.12,0.0,0.1
-2.564e-12,-7.44e-13,6.38805e-12,-2.08,0.0,0.1
-1.922e-12,-1.546e-12,6.37089e-12,-2.04,0.0,0.1
-1.974e-12,-1.32e-12,6.36112e-12,-2.0,0.0,0.1
-2.248e-12,-9.94e-13,6.38338e-12,-1.96,0.0,0.1
-1.61e-12,-8.92e-13,6.39614e-12,-1.92,0.0,0.1
-2.138e-12,-8.68e-13,6.38821e-12,-1.88,0.0,0.1
-2.388e-12,-7.78e-13,6.41872e-12,-1.84,0.0,0.1
-2.39e-12,-1.492e-12,6.40119e-12,-1.8,0.0,0.1
-1.954e-12,-1.148e-12,6.37287e-12,-1.76,0.0,0.1
-1.864e-12,-1.006e-12,6.39384e-12,-1.72,0.0,0.1
-2.194e-12,-8.14e-13,6.41344e-12,-1.68,0.0,0.1
-2.426e-12,-8.32e-13,6.41202e-12,-1.64,0.0,0.1
-2.388e-12,-9.46e-13,6.37778e-12,-1.6,0.0,0.1
-2.626e-12,-1.61e-12,6.40249e-12,-1.56,0.0,0.1
-2.134e-12,-1.038e-12,6.36956e-12,-1.52,0.0,0.1
-1.738e-12,-9.1e-13,6.39403e-12,-1.48,0.0,0.1
-1.866e-12,-5.64e-13,6.3728e-12,-1.44,0.0,0.1
-2.284e-12,-7.4e-13,6.37599e-12,-1.4,0.0,0.1
-2.446e-12,-7.16e-13,6.38103e-12,-1.36,0.0,0.1
-2.372e-12,-1.028e-12,6.38333e-12,-1.32,0.0,0.1
-2.098e-12,-1.092e-12,6.37757e-12,-1.28,0.0,0.1
-1.848e-12,-1.432e-12,6.38178e-12,-1.24,0.0,0.1
-1.67e-12,-8.84e-13,6.37929e-12,-1.2,0.0,0.1
-2.342e-12,-4.76e-13,6.41011e-12,-1.16,0.0,0.1
-2.524e-12,-5.24e-13,6.36544e-12,-1.12,0.0,0.1
-2.358e-12,-1.214e-12,6.35675e-12,-1.08,0.0,0.1
-2.35e-12,-1.19e-12,6.36067e-12,-1.04,0.0,0.1
-1.882e-12,-1.02e-12,6.35503e-12,-1.0,0.0,0.1
-1.922e-12,-9.2e-13,6.36946e-12,-0.96,0.0,0.1
-2.37e-12,-6.34e-13,6.38798e-12,-0.92,0.0,0.1
-2.656e-12,-7.74e-13,6.35971e-12,-0.88,0.0,0.1
-2.054e-12,-1.076e-12,6.35259e-12,-0.84,0.0,0.1
-2.302e-12,-7.52e-13,6.36099e-12,-0.8,0.0,0.1
-1.942e-12,-1.054e-12,6.3424e-12,-0.76,0.0,0.1
-1.972e-12,-2.1e-13,6.3619e-12,-0.72,0.0,0.1
-2.498e-12,-5.9e-13,6.37621e-12,-0.68,0.0,0.1
-1.682e-12,-1.09e-12,6.35371e-12,-0.64,0.0,0.1
-2.086e-12,-1.394e-12,6.35473e-12,-0.6,0.0,0.1
-2.202e-12,-1.022e-12,6.34532e-12,-0.56,0.0,0.1
-1.628e-12,-1.278e-12,6.35756e-12,-0.52,0.0,0.1
-1.62e-12,-8.66e-13,6.34825e-12,-0.48,0.0,0.1
-2.01e-12,-5.78e-13,6.36048e-12,-0.44,0.0,0.1
-2.4e-12,-6.32e-13,6.35308e-12,-0.4,0.0,0.1
-2.642e-12,-1.184e-12,6.37794e-12,-0.36,0.0,0.1
-1.69e-12,-1.046e-12,6.36373e-12,-0.32,0.0,0.1
-1.934e-12,-9.94e-13,6.35552e-12,-0.28,0.0,0.1
-2.018e-12,-5.72e-13,6.33807e-12,-0.24,0.0,0.1
-2.146e-12,-1.22e-13,6.36044e-12,-0.2,0.0,0.1
-2.392e-12,-9.82e-13,6.35358e-12,-0.16,0.0,0.1
-2.396e-12,-1.188e-12,6.37457e-12,-0.12,0.0,0.1
-2.052e-12,-1.146e-12,6.41405e-12,-0.08,0.0,0.1
-2.106e-12,-1.432e-12,6.41195e-12,-0.04,0.0,0.1
-1.774e-12,-1.512e-12,6.46856e-12,0.0,0.0,0.1
-2.128e-12,-5.9e-13,6.52608e-12,0.04,0.0,0.1
-2.244e-12,-1.068e-12,6.58339e-12,0.08,0.0,0.1
-2.512e-12,-1.958e-12,6.66977e-12,0.12,0.0,0.1
-2.026e-12,-1.786e-12,6.75617e-12,0.16,0.0,0.1
-2.326e-12,-2.254e-12,6.90408e-12,0.2,0.0,0.1
-2.48e-12,-1.916e-12,7.14066e-12,0.24,0.0,0.1
-2.338e-12,-2.552e-12,7.42333e-12,0.28,0.0,0.1
-2.202e-12,-2.188e-12,7.81726e-12,0.32,0.0,0.1
-2.012e-12,-3.718e-12,8.27265e-12,0.36,0.0,0.1
-2.34e-12,-4.166e-12,8.66858e-12,0.4,0.0,0.1
-2.214e-12,-4.658e-12,9.38513e-12,0.44,0.0,0.1
-1.704e-12,-6.196e-12,1.018974e-11,0.48,0.0,0.1
-2.224e-12,-5.982e-12,1.11472e-11,0.52,0.0,0.1
-2.388e-12,-9.592e-12,1.46202e-11,0.56,0.0,0.1
-2.202e-12,-1.4874e-11,1.94082e-11,0.6,0.0,0.1
-2.61e-12,-2.1264e-11,2.44475e-11,0.64,0.0,0.1
-1.758e-12,-2.6986e-11,3.03553e-11,0.68,0.0,0.1
-2.202e-12,-3.496e-11,3.90466e-11,0.72,0.0,0.1
-2.1e-12,-4.782e-11,4.90816e-11,0.76,0.0,0.1
-2.106e-12,-6.1974e-11,5.86524e-11,0.8,0.0,0.1
-1.666e-12,-7.4294e-11,7.2639e-11,0.84,0.0,0.1
-2.5e-12,-8.637e-11,8.75405e-11,0.88,0.0,0.1
-1.906e-12,-1.09386e-10,1.086392e-10,0.92,0.0,0.1
-2.264e-12,-1.26408e-10,1.29692e-10,0.96,0.0,0.1
-2.11e-12,-1.63392e-10,1.65658e-10,1.0,0.0,0.1
-1.73e-12,-2.05152e-10,2.03146e-10,1.04,0.0,0.1
-2.276e-12,-2.53518e-10,2.527e-10,1.08,0.0,0.1
-2.304e-12,-3.0492e-10,3.09606e-10,1.12,0.0,0.1
-2.168e-12,-3.78106e-10,3.72942e-10,1.16,0.0,0.1
-2.384e-12,-4.48624e-10,4.49574e-10,1.2,0.0,0.1
-1.77e-12,-5.2682e-10,5.33508e-10,1.24,0.0,0.1
-1.97e-12,-6.3643e-10,6.32686e-10,1.28,0.0,0.1
-2.12e-12,-7.28328e-10,7.25426e-10,1.32,0.0,0.1
-2.286e-12,-8.42582e-10,8.33502e-10,1.36,0.0,0.1
-1.806e-12,-9.4756e-10,9.39528e-10,1.4,0.0,0.1
-1.708e-12,-1.00318e-09,9.7914e-10,1.44,0.0,0.1
-1.758e-12,-1.14476e-09,1.15152e-09,1.48,0.0,0.1
-1.714e-12,-1.33402e-09,1.336e-09,1.52,0.0,0.1
-2.234e-12,-1.5101e-09,1.5037e-09,1.56,0.0,0.1
-1.63e-12,-1.7112e-09,1.71006e-09,1.6,0.0,0.1
-2.358e-12,-1.94018e-09,1.93252e-09,1.64,0.0,0.1
-2.426e-12,-2.18496e-09,2.18748e-09,1.68,0.0,0.1
-2.02e-12,-2.45352e-09,2.45892e-09,1.72,0.0,0.1
-2.488e-12,-2.74122e-09,2.69756e-09,1.76,0.0,0.1
-1.608e-12,-3.054e-09,3.02788e-09,1.8,0.0,0.1
-1.814e-12,-3.38312e-09,3.37526e-09,1.84,0.0,0.1
-2.134e-12,-3.72968e-09,3.70784e-09,1.88,0.0,0.1
-1.862e-12,-4.09342e-09,4.05834e-09,1.92,0.0,0.1
-1.776e-12,-4.48314e-09,4.4503e-09,1.96,0.0,0.1
-2.336e-12,-4.94314e-09,4.92788e-09,2.0,0.0,0.1
-2.09e-12,-5.4096e-09,5.35246e-09,2.04,0.0,0.1
-1.68e-12,-5.9127e-09,5.87622e-09,2.08,0.0,0.1
-2.266e-12,-6.42864e-09,6.43834e-09,2.12,0.0,0.1
-2.008e-12,-6.93254e-09,6.90582e-09,2.16,0.0,0.1
-1.888e-12,-7.56538e-09,7.55724e-09,2.2,0.0,0.1
-1.748e-12,-8.22632e-09,8.18348e-09,2.24,0.0,0.1
-2.012e-12,-8.9041e-09,8.8644e-09,2.28,0.0,0.1
-1.726e-12,-9.64196e-09,9.58386e-09,2.32,0.0,0.1
-2.03e-12,-1.04152e-08,1.037716e-08,2.36,0.0,0.1
-2.256e-12,-1.11797e-08,1.114582e-08,2.4,0.0,0.1
-1.488e-12,-1.18294e-08,1.16956e-08,2.44,0.0,0.1
-1.596e-12,-1.26001e-08,1.25399e-08,2.48,0.0,0.1
-2.292e-12,-1.35804e-08,1.34499e-08,2.52,0.0,0.1
-1.918e-12,-1.44684e-08,1.43983e-08,2.56,0.0,0.1
-2.192e-12,-1.55061e-08,1.54423e-08,2.6,0.0,0.1
-1.458e-12,-1.66722e-08,1.65279e-08,2.64,0.0,0.1
-2.09e-12,-1.77125e-08,1.76473e-08,2.68,0.0,0.1
