I_BG,I_S,I_D,V_BG,V_S,V_D
-8.6e-13,-2.404e-12,3.092e-12,-4.0,0.0,0.1
-1.334e-12,-2.126e-12,3.572e-12,-3.853,0.0,0.1
-8.8e-13,3.86e-13,2.912e-12,-3.705,0.0,0.1
-8.16e-13,1.636e-12,2.928e-12,-3.558,0.0,0.1
-1.2e-12,-1.562e-12,3.338e-12,-3.411,0.0,0.1
-4.38e-13,-1.454e-12,3.046e-12,-3.264,0.0,0.1
-2.96e-13,2.752e-12,3.26e-12,-3.116,0.0,0.1
-8.96e-13,-4.58e-13,3.374e-12,-2.969,0.0,0.1
-5.18e-13,-1.606e-12,3.166e-12,-2.822,0.0,0.1
-8.38e-13,9.42e-13,2.72e-12,-2.674,0.0,0.1
-1.016e-12,-6.2e-13,3.55e-12,-2.527,0.0,0.1
-3.42e-13,-1.928e-12,2.988e-12,-2.38,0.0,0.1
-3.9e-13,1.488e-12,2.796e-12,-2.233,0.0,0.1
-7.62e-13,7.32e-13,3.128e-12,-2.085,0.0,0.1
-8.24e-13,-1.658e-12,3.196e-12,-1.938,0.0,0.1
-3.64e-13,-5.38e-13,2.694e-12,-1.791,0.0,0.1
-3.68e-13,2.102e-12,3e-12,-1.643,0.0,0.1
-5.48e-13,-1.61e-12,3.302e-12,-1.496,0.0,0.1
-3.64e-13,-1.28e-13,2.744e-12,-1.349,0.0,0.1
-7.2e-14,2.05e-12,2.89e-12,-1.202,0.0,0.1
-4.14e-13,-1.57e-12,3.256e-12,-1.054,0.0,0.1
7.8e-14,-5.58e-13,2.644e-12,-0.907,0.0,0.1
-3.68e-13,2.422e-12,2.678e-12,-0.76,0.0,0.1
-5.1e-13,-2.27e-12,3.228e-12,-0.612,0.0,0.1
-4.94e-13,-2.25e-12,2.65e-12,-0.465,0.0,0.1
-3.98e-13,2.038e-12,2.744e-12,-0.318,0.0,0.1
-4.56e-13,-1.114e-12,3.292e-12,-0.171,0.0,0.1
-1.1e-13,-2.68e-12,2.98e-12,-0.023,0.0,0.1
-2.58e-13,7.88e-13,2.41e-12,0.124,0.0,0.1
-3.34e-13,-9.96e-13,2.626e-12,0.271,0.0,0.1
-1.86e-13,-2.486e-12,3.206e-12,0.419,0.0,0.1
2.6e-13,-6e-13,4.544e-12,0.566,0.0,0.1
-6.56e-13,-8.222e-12,1.1268e-11,0.713,0.0,0.1
-5.6e-14,-3.4774e-11,3.389e-11,0.86,0.0,0.1
-4.4e-14,-1.03928e-10,1.03448e-10,1.008,0.0,0.1
-1.8e-14,-2.65382e-10,2.6789e-10,1.155,0.0,0.1
-2.38e-13,-5.97492e-10,5.91478e-10,1.302,0.0,0.1
-9.4e-14,-1.02624e-09,9.29618e-10,1.45,0.0,0.1
-3.4e-13,-1.86862e-09,1.76044e-09,1.597,0.0,0.1
1.74e-13,-3.18662e-09,3.17002e-09,1.744,0.0,0.1
2.82e-13,-5.1353e-09,5.0879e-09,1.891,0.0,0.1
-5.12e-13,-7.73958e-09,7.65386e-09,2.039,0.0,0.1
-2.34e-13,-1.07446e-08,1.05189e-08,2.186,0.0,0.1
3.14e-13,-1.49953e-08,1.48381e-08,2.333,0.0,0.1
4.58e-13,-2.02208e-08,1.99868e-08,2.481,0.0,0.1
-1.08e-13,-2.65544e-08,2.62322e-08,2.628,0.0,0.1
3.64e-13,-3.37279e-08,3.34318e-08,2.775,0.0,0.1
-1e-13,-4.19154e-08,4.15242e-08,2.922,0.0,0.1
8.4e-14,-5.14384e-08,5.10028e-08,3.07,0.0,0.1
2.04e-13,-6.16628e-08,6.1324e-08,3.217,0.0,0.1
-4e-15,-7.29528e-08,7.26192e-08,3.364,0.0,0.1
9.8e-14,-8.56249e-08,8.52529e-08,3.512,0.0,0.1
-1e-13,-9.91191e-08,9.8676e-08,3.659,0.0,0.1
5.02e-13,-1.1361e-07,1.1308e-07,3.806,0.0,0.1
3e-14,-1.2908e-07,1.29e-07,3.953,0.0,0.1
2.14e-13,-1.4517e-07,1.4526e-07,4.101,0.0,0.1
3.8e-13,-1.6265e-07,1.6247e-07,4.248,0.0,0.1
2.62e-13,-1.8002e-07,1.7953e-07,4.395,0.0,0.1
3.6e-13,-1.981e-07,1.9819e-07,4.543,0.0,0.1
2.7e-13,-2.1687e-07,2.1678e-07,4.69,0.0,0.1
7.82e-13,-2.3589e-07,2.3583e-07,4.837,0.0,0.1
1.74e-13,-2.5601e-07,2.5584e-07,4.985,0.0,0.1
8.52e-13,-2.7577e-07,2.7611e-07,5.132,0.0,0.1
4.9e-13,-2.9682e-07,2.9654e-07,5.279,0.0,0.1
5.22e-13,-3.173e-07,3.1713e-07,5.426,0.0,0.1
