I_BG,I_S,I_D,V_BG,V_S,V_D
-2.958e-12,-5.6e-13,7.12489e-12,-3.0,0.0,0.1
-2.93e-12,-5.76e-13,7.12796e-12,-2.95,0.0,0.1
-2.672e-12,-6.72e-13,7.15537e-12,-2.9,0.0,0.1
-2.886e-12,2.94e-13,7.13591e-12,-2.85,0.0,0.1
-3.012e-12,2.82e-13,7.08874e-12,-2.8,0.0,0.1
-2.664e-12,5.68e-13,7.08655e-12,-2.75,0.0,0.1
-3.288e-12,-3.36e-13,7.09642e-12,-2.7,0.0,0.1
-3.14e-12,-5.64e-13,7.0765e-12,-2.65,0.0,0.1
-2.482e-12,-7.8e-13,7.05282e-12,-2.6,0.0,0.1
-2.486e-12,-3.08e-13,7.08357e-12,-2.55,0.0,0.1
-2.532e-12,-1.76e-13,7.07487e-12,-2.5,0.0,0.1
-3.256e-12,-3.4e-14,7.0847e-12,-2.45,0.0,0.1
-2.9e-12,-4.44e-13,7.07479e-12,-2.4,0.0,0.1
-2.232e-12,-1.17e-12,7.04663e-12,-2.35,0.0,0.1
-2.516e-12,-6.98e-13,7.0864e-12,-2.3,0.0,0.1
-2.486e-12,-7.4e-13,7.08912e-12,-2.25,0.0,0.1
-2.834e-12,-3.32e-13,7.06248e-12,-2.2,0.0,0.1
-2.92e-12,-5.56e-13,7.04002e-12,-2.15,0.0,0.1
-2.688e-12,-4.66e-13,7.02378e-12,-2.1,0.0,0.1
-2.632e-12,-8.32e-13,7.02128e-12,-2.05,0.0,0.1
-2.516e-12,-7.78e-13,7.03948e-12,-2.0,0.0,0.1
-2.61e-12,-7.76e-13,7.03174e-12,-1.95,0.0,0.1
-2.384e-12,-8.68e-13,7.0538e-12,-1.9,0.0,0.1
-2.608e-12,-2.22e-13,7.04356e-12,-1.85,0.0,0.1
-3.006e-12,-7.86e-13,7.02883e-12,-1.8,0.0,0.1
-2.798e-12,-1.02e-12,6.97899e-12,-1.75,0.0,0.1
-2.15e-12,-9.9e-13,6.97343e-12,-1.7,0.0,0.1
-2.598e-12,-7.8e-13,6.97208e-12,-1.65,0.0,0.1
-2.228e-12,-5.7e-13,6.9908e-12,-1.6,0.0,0.1
-2.318e-12,-4e-13,6.99711e-12,-1.55,0.0,0.1
-2.72e-12,-8.8e-14,6.98965e-12,-1.5,0.0,0.1
-2.588e-12,-4.48e-13,6.96272e-12,-1.45,0.0,0.1
-2.476e-12,-5.88e-13,6.95644e-12,-1.4,0.0,0.1
-2.386e-12,-9.94e-13,6.98549e-12,-1.35,0.0,0.1
-2.166e-12,-7.4e-13,6.97077e-12,-1.3,0.0,0.1
-2.346e-12,2e-15,6.96105e-12,-1.25,0.0,0.1
-2.87e-12,-1.2e-13,6.93625e-12,-1.2,0.0,0.1
-2.908e-12,-7.82e-13,6.9441e-12,-1.15,0.0,0.1
-2.188e-12,-1.52e-12,6.92854e-12,-1.1,0.0,0.1
-2.596e-12,-1.178e-12,6.9265e-12,-1.05,0.0,0.1
-2.394e-12,-9.44e-13,6.91843e-12,-1.0,0.0,0.1
-2.268e-12,-6.6e-13,6.88657e-12,-0.95,0.0,0.1
-2.764e-12,2.3e-13,6.89962e-12,-0.9,0.0,0.1
-2.502e-12,-9.68e-13,6.90326e-12,-0.85,0.0,0.1
-2.564e-12,-9.76e-13,6.91213e-12,-0.8,0.0,0.1
-2.362e-12,-1.032e-12,6.89096e-12,-0.75,0.0,0.1
-1.906e-12,-8.86e-13,6.89071e-12,-0.7,0.0,0.1
-2.35e-12,-7.4e-13,6.87494e-12,-0.65,0.0,0.1
-2.424e-12,-4.62e-13,6.85814e-12,-0.6,0.0,0.1
-2.292e-12,-7.52e-13,6.8658e-12,-0.55,0.0,0.1
-2.546e-12,-1.24e-12,6.82935e-12,-0.5,0.0,0.1
-2.616e-12,-8.64e-13,6.88636e-12,-0.45,0.0,0.1
-2.13e-12,-8.62e-13,6.86698e-12,-0.4,0.0,0.1
-2.352e-12,-7.56e-13,6.88441e-12,-0.35,0.0,0.1
-2.308e-12,-1.86e-13,6.9006e-12,-0.3,0.0,0.1
